Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
J4SCKULJ,"Townes, Emilie",2018,"Townes, Emilie Maureen",,2641-2799,10.7916/btpp.v4i1.3868,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAiHB-USER200914001091&site=ehost-live&scope=site,,2018,11/15/22 18:21,11/15/22 18:21,11/15/22 18:21,1-3,,1,4,,,,,,,,,,,,,,,EBSCOhost,,,,C:\Users\xus12\Zotero\storage\2A59DW9P\Townes - 2018 - Outcasts in the Deserts of Hopelessness.pdf; C:\Users\xus12\Zotero\storage\QH38V9QG\;.html,,,"Womanist theology; Cannon, Katie Geneva,   , 1950-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Outcasts in the Deserts of Hopelessness,Black Theology Papers Project
BYKRBZUA,"Segovia, Fernando F.",2019,"Segovia, Fernando F",,1540-4579,,,,2019,11/15/22 20:49,11/15/22 20:50,,69-85,,,12,,,La Liberación y la Biblia,,,,,,,Spanish,,,,,EBSCOhost,,,,; C:\Users\xus12\Zotero\storage\ZRZM87JU\offerings.html,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAi5IE221021000428&site=ehost-live&scope=site&scope=cite,,Liberation theology; Contextual Bible study; Latin America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,La Liberación y la Biblia: Cincuenta años después,Offerings
U4JB3MLU,"Segovia, Fernando F.",2019,"Segovia, Fernando F",,1540-4579,,,,2019,11/15/22 20:49,11/15/22 20:49,,53-68,,,12,,,Liberation and the Bible,,,,,,,,,,,,EBSCOhost,,,,; C:\Users\xus12\Zotero\storage\NZ3J2ZHR\offerings.html,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAi5IE221021000427&site=ehost-live&scope=site&scope=cite,,Liberation theology; Contextual Bible study; Latin America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Liberation and the Bible: Fifty Years Later,Offerings
MZ4QUGFV,"Barnes, Sandra L.",2016,"Barnes, S.L.; Brinkley-Rubinstein, L.; Doykos, B.; Martin, N.C.; McGuire, A.",,,10.5422/fordham/9780823268795.003.0001,,,2016,11/22/22 15:55,11/22/22 15:55,,1-21,,,,,,,,,,,,,English,,,Scopus,,Scopus,,ISBN: 9780823268795,,C:\Users\xus12\Zotero\storage\W9VF47RY\display.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Introduction,"Academics in Action!: A Model for Community-Engaged Research, Teaching, and Service"
VWTVXZ9Q,"Azzoni, Annalisa",2015,"Azzoni, Annalisa; Stolper, Matthew W.",,,,www.achemenet.com/pdf/arta/ARTA_2015.004-Azzoni-Stolper.pdf,,2015,1/31/18 21:56,7/13/20 23:42,,,,4,2015,,ARTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,"From the Persepolis Fortification Archive Project, 5:	The Aramaic Epigraph ns(y)ḥ on Elamite Persepolis Fortification Documents",Achaemenid Research on Texts and Archaeology
LMVUG9WV,"Azzoni, Annalisa",2019,"Azzoni, Annalisa; Chandler, Christina; Garrison, Mark; Daly, Erin; Johnson, Jan; Muhs, Brian",,,,http://www.achemenet.com/pdf/arta/ARTA_2019_003_Azzoni.pdf,"This article publishes two tablets in the Persepolis Fortification archive, one of which is certainly inscribed in Demotic, and possibly the other as well. They join a small number of tablets written in Old Persian, Neo-Babylonian, Greek, and Phrygian, alongside the vast majority of tablets written in Elamite or Aramaic or left uninscribed.",2019,6/11/20 18:42,7/13/20 23:42,3/30/20 22:11,,,3,2019,,ARTA,,,,,,,,en-GB,,,,,,,http://www.achemenet.com/pdf/arta/ARTA_2019_003_Azzoni.pdf,,C:\Users\xus12\Zotero\storage\2FD9P7WZ\a-demotic-tablet-or-two-in-the-persepolis-fortification-archive.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,A Demotic Tablet or Two in the Persepolis Fortification Archive,Achaemenid Research on Texts and Archaeology
R7G9CHN3,"Townes, Emilie",1995,"Townes, Emilie M.",,,,,,1995,8/6/14 22:08,8/6/14 22:08,,18-25,,September/October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,A Conversation with Tex Sample and Emilie Townes,Alive Now
U7W2HCKE,"Townes, Emilie",1993,"Townes, Emilie M.",,,,,,1993-06,8/4/14 21:06,8/4/14 21:09,,40-52,,no. 350,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Living in the New Jerusalem: the Rhetoric and Movement of Liberation in the House of Evil,AME Church Review
UBNSFS5P,"Levine, Amy-Jill",2014,"Levine, Amy-Jill",,,,America: The National Catholic Review,,9/29/14,11/3/16 19:54,11/3/16 19:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Who Is My Neighbor: In the Footsteps of the Samaritan,America: The National Catholic Review
PMPQ4HHI,"Townes, Emilie",1993,"Townes, Emilie M.",,,,,,1993,8/4/14 21:33,12/10/14 15:29,,187-188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Introduction to Appropriation and Reciprocity in Feminist and Womanist Ethics,Annual of the Society of Christian Ethics
