Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
MC9UEGUE,"Morrill, Bruce T.",2012,"Morrill, Bruce T.",,0002-7049,,http://search.ebscohost.com/login.aspx?direct=true&db=rlh&AN=79648801&site=ehost-live,"The article reviews the book ""How God Became King: The Forgotten Story of the Gospels,"" by N.T. Wright.",9/10/12,7/30/14 18:45,7/30/14 18:45,7/30/14 18:45,31-32,,6,207,,America,,,,,,,,,,,,,EBSCOhost,,,,,,Book review,"Nonfiction; BOOKS -- Reviews; GOD; HOW God Became King: The Forgotten Story of the Gospels (Book); WRIGHT, N. T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Way of Forgiving,America
HFZ4U584,"Townes, Emilie",2011,"Townes, Emilie M.",,0745-3698,,,,9/1/11,7/23/14 20:00,7/23/14 20:00,,186-200,,4-Mar,30,,American Baptist Quarterly,"Memory, identity, and hope",,,,,,,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001963954&site=ehost-live&scope=cite,,"African American women; United States--Race relations; Peer reviewed; African Americans--Identity; Stereotype (Psychology); Womanist theology; Prophetic office; Race relations and church; Advertising--Ethical aspects; African Americans--Social conditions; Baldwin, James, 1924-1987; Blackface entertainers; Collective memory; Hope--Religious aspects--Christianity; Jemima, Aunt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,"Memory, identity, and hope: reflections for American Baptist ecclesiology in the 21st century",American Baptist Quarterly
4QR8PJCM,"Geller, Jay",1992,"Geller, Jay",,0065-860X,,http://go.galegroup.com/ps/i.do?id=GALE%7CA12519772&v=2.1&u=tel_a_vanderbilt&it=r&p=AONE&sw=w&asid=86f67fb4d8c994e278fa242ea2ca4eaa,,1992,7/1/14 18:31,1/20/15 19:33,7/1/14 18:31,227-262,,2,49,,,,,,,,,,English,,,Academic OneFile,,Gale,,227,,C:\Users\xus12\Zotero\storage\MK7BGZRM\retrieve.html,,,"Delusions; Jews; Paranoia; Schreber, Daniel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,The unmanning of the Wandering Jew,American Imago
SX22BEKI,"Geller, Jay",1992,"Geller, Jay",,0065-860X,,http://go.galegroup.com/ps/i.do?id=GALE%7CA13307684&v=2.1&u=tel_a_vanderbilt&it=r&p=AONE&sw=w&asid=93e19afaebf16eb97be45a371f4a7f3a,,1992,7/1/14 18:33,7/1/14 18:33,7/1/14 18:33,427+,,4,49,,,"""A glance at the nose""",,,,,,,English,,,Academic OneFile,,Gale,,427,,C:\Users\xus12\Zotero\storage\EAE6GPN6\retrieve.html,,,"Jews; Fetishism (Religion); Freud, Sigmund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,"""A glance at the nose"": Freud's inscription of Jewish difference",American Imago
K28BV2BM,"DeHart, Paul J.",1997,"DeHart, Paul",,0003-3286,,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=rlh&AN=9707220713&site=ehost-live,"Reviews the book `Theological Essays II,' by Eberhard Jungel, edited by J.B. Webster, translated by J.B. Webster and Arnold Neufeldt-Fast.",1997,10/12/16 13:53,10/12/16 13:54,10/12/16 13:53,280,,2,79,,Anglican Theological Review,,,,,,,,,,,,,EBSCOhost,,,,,,Book review,Books; THEOLOGICAL Essays (Book),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,"Review of Eberhard Jüngel, Theological Essays II",Anglican Theological Review
7SC4FC8M,"Thompson, Lisa L.",1989,"Thompson, Lisa",,0003-3286,,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0000581525&site=ehost-live&scope=site,,1989,11/15/22 18:18,11/15/22 18:18,11/15/22 18:18,338-340,,3,71,,,Performer as Priest and Prophet,,,,,,,,,,,,EBSCOhost,,Place: San Francisco,,C:\Users\xus12\Zotero\storage\HIZM5YAD\Thompson - 1989 - Performer as Priest and Prophet Restoring the Int.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Performer as Priest and Prophet: Restoring the Intuitive in Worship through Music and Dance,Anglican Theological Review
H6KM6RNE,"Segovia, Fernando F.",2014,"Segovia, Fernando F.",,0279-9804,,,,2014-09,2/25/15 17:32,8/28/15 14:06,,38-47,,2,34,,,,,,,Apuntes. Reflexiones teológicas desde el contexto Hispano-Latino,,,spa,,,,,Primo,,,,,,,Theology Periodicals; Hispanic Americans Religion Periodicals; Latin Americans United States; Latin Americans United States Religion Periodicals; nne Latin Americans in the U.S; nne Spanish Americans in the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Memorial Service for Monseñor Oscar Arnulfo Romero,Apuntes
UT9D3NPK,"Seow, C.L.",2000,"Seow, C. L. (Choon Leong)",,0045-0308,,,,2000-01,10/21/14 17:42,10/21/14 17:53,,1-16,,,48,,,Beyond mortal grasp,,,,,,,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000647249&site=ehost-live&scope=cite,,Peer reviewed; Bible. Ecclesiastes; Hebrew language--Terms--Hebel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Beyond mortal grasp: the usage of hebel in Ecclesiastes,Australian Biblical Review
KI2SR9UI,"Seow, C.L.",1991,"Seow, C. L. (Choon Leong)",,8755-6316,,,,1991-12,10/21/14 17:42,10/21/14 17:51,,49-50,,6,7,,,,,,,,,,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000845097&site=ehost-live&scope=cite,,Tetragrammaton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,The ineffable name of Israel's God,Bible Review
BNH9MD83,"Floyd-Thomas, Stacey",2004,"Floyd-Thomas, Stacey; Banks, Ingrid",,1089-3148,,http://search.proquest.com/docview/215529929/AD25DFCDBB434344PQ/7?accountid=14816,"In spite of Stanton's having merged anti-slavery sensibilities with a women's movement on the one hand, and Sojourner Truth's fight for both women and Black people on the other, this instance of racial (and class) bonding among middle-class white women emerges as one of many times during U.S. history when white and Black solidarity is forfeited because of racism.",2004,5/13/14 19:29,7/10/20 21:55,5/13/14 19:29,32-44,,1,6,,,BLACK FEMINIST THOUGHT AND DIFFERENCE IN THE THIRD WAVE,,,,,,,English,Copyright Institute of African American Affairs Fall 2004,,,,ProQuest,,,,C:\Users\xus12\Zotero\storage\2W6S5XAJ\Banks - 2004 - BLACK FEMINIST THOUGHT AND DIFFERENCE IN THE THIRD.pdf; C:\Users\xus12\Zotero\storage\BGCSMNJ6\7.html,,,African Americans; Race relations; African American/Caribbean/African; Civil rights; Equal rights; Equality; Ethnic Interests; Feminism; Ideology; Politics; Race; Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Black Feminist Thought and Difference in the Third Wave: The Identity Politics of Postmodern Feminism and Colorblind Ideology,Black Renaissance
