Title,Url
African American Religious Ethics,https://doi.org/10.1002/9781444367072 
"African American Theologies; Black Theology; Dewey,John; Du Bois, W.E.B.; Pragmatism and Christian Theologies; Introductory Entry: Racism and Christianity: Ethnocentrism; Thurman, Howard",http://dx.doi.org/10.1017/CBO9780511780165
A Reasonable Belief: Why God and Faith Make Sense by William Greenway (review),https://muse.jhu.edu/article/685077
"Introduction: Afrofuturism in Black Theology – Race, Gender, Sexuality, and the State of Black Religion in the Black Metropolis",http://dx.doi.org/10.1080/14769948.2015.1131499
Queering the Subject,https://journal.equinoxpub.com/BSOR/article/view/15042
Questions of Proximity: “Woman's Place” in Derrick and Irigaray,http://onlinelibrary.wiley.com/doi/10.1111/j.1527-2001.1997.tb00171.x/abstract
"""Man"" and his ""Others""",http://jffp.pitt.edu/ojs/index.php/jffp/article/view/248
Spiritual geography,http://go.galegroup.com/ps/i.do?id=GALE%7CA20968464&v=2.1&u=tel_a_vanderbilt&it=r&p=AONE&sw=w&asid=8fdf50beea5f73e5e3fe17af82617712
Feminist Theology in Retrospect and in Anticipation,http://www.journals.uchicago.edu/doi/full/10.1086/683834
"Review of Feminism, Sexuality and the Return of Religion",http://ndpr.nd.edu/news/36868-feminism-sexuality-and-the-return-of-religion/
"Review of Powers and Submissions: Spirituality, Philosophy, and Gender",http://www.jstor.org/stable/4139891
"Justice for Alan Kurdi? Philosophy, Photography, and the (Cosmo)Politics of Life and Death - ProQuest",https://www.pdcnet.org/collection/authorizedshow?id=philtoday_2019_0999_8_1_267&pdfname=philtoday_2019_0999_8_1_267.pdf&file_type=pdf&googlescholar=true
Transing the Study of Religion: A (Christian) Theological Response,https://www.jstor.org/stable/10.2979/jfemistudreli.34.1.07
Review: Feminist Theory and Christian Theology: Cartographies of Grace,https://doi.org/10.1093/jaar/71.1.212
Women and Property in Persian Egypt and Mesopotamia,https://archive.chs.harvard.edu/CHS/article/display/1304
"From the Persepolis Fortification Archive Project, 5:	The Aramaic Epigraph ns(y)ḥ on Elamite Persepolis Fortification Documents",www.achemenet.com/pdf/arta/ARTA_2015.004-Azzoni-Stolper.pdf
The Bowman MS and the Aramaic Tablets,http://www.academia.edu/6805494/The_Bowman_MS_and_the_Aramaic_Tablets
A Demotic Tablet or Two in the Persepolis Fortification Archive,http://www.achemenet.com/pdf/arta/ARTA_2019_003_Azzoni.pdf
"Persepolis Administrative Archives: two groups of clay tablets, fragments, and sealings produced and stored by administrative agencies based at Persepolis",http://www.iranicaonline.org/articles/persepolis-admin-archive
Achievement or Ascription Ideology? An Analysis of Attitudes about Future Success for Residents in Poor Urban Neighborhoods,https://www.tandfonline.com/doi/abs/10.1080/00380237.2002.10570698
"Too Poor to Get Sick? The Implications of Place, Race, and Costs on the Health Care Experiences of Residents in Poor Urban Neighborhoods",https://doi.org/10.1016/S0275-4959(04)22003-8
