"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EXDVBBEA","book","1991","Baldwin, Lewis V.","There is a balm in Gilead: the cultural roots of Martin Luther King, Jr.","","978-0-8006-2457-6","","","","""The sources of Martin Luther King, Jr.,'s phenomenal and prophetic impact on life in America and beyond have never been adequately understood. In this path-breaking volume, Lewis Baldwin traces King's vision and activism not to his formal philosophical and theological development but directly to his roots in Southern black culture, where King spent most of his 39 years. King's appropriation of the Bible, Gandhi, American participatory democracy, Boston personalism, and the theologies of Reinhold Niebuhr and the Social Gospel makes sense, Baldwin argues, only against his visceral and abiding identification with black culture and the black Christian tradition. Working directly with the trove of King's sermons, speeches, and unpublished papers, Baldwin has reconstructed the pain and joy, the defeat and triumph King experienced in his formative family relationships, in the black church, in his childhood and education, in his marriage and children, in segregated black Atlanta, and in his leadership of America's civil rights movement."" -- Publisher's website.","1991","2022-05-06 17:24:29","2022-05-06 17:24:57","","","348","","","","","","","","","","Fortress Press","Minneapolis, Minnesota","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 22243653","","","","","Religion; African Americans; États-Unis; Southern States; États-Unis (Sud); États-Unis (Sud) Noirs américains; Religion. African Americans. African Americans; Religion. Civilization. Philosophy. Zeithintergrund Weltanschauung Noirs; Religion. Noirs américains; Southern States. African Americans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LCWK92E4","book","2019","","Reclaiming the great world house: the global vision of Martin Luther King Jr.","","978-0-8203-5603-7","","","","""Reclaiming the Great World House in the 21st Century: Cross-Disciplinary Explorations of the Vision of Martin Luther King, Jr., does just that. Established and emerging scholars explore Martin Luther King, Jr.'s global vision and his lasting relevance to a globalized rights culture. The editors further explain that this edited collection looks at: King afresh in his own historical context, while also refocusing his legacy of ideas and social praxis in broader directions for today and tomorrow. Employing King's metaphor of ""the great world house,"" with major attention to racism, poverty, and war - or what he called 'the evil triumvirate""--The focus is on King's appraisal of and approach to the global-human struggle in the 1950s and 60s, and on the extent to which his social witness and praxis takes on new hues and pertinence not only in the ongoing struggles against racism, poverty and economic injustice, and violence and human destruction, but also in the mounting efforts to eliminate problems such sexism, homophobia, and religious bigotry and intolerance from the global landscape. The conclusion is that King's ideas and models of social protest are not only alive but also growing in vitality and popularity in the 21st century, especially as humans worldwide are struggling daily with the lingering, antiquated thinking and behavior around race and ethnicity, the widening gap between ""the haves"" and ""the have-nots,"" the mounting cycles of violence, torture, and terrorism, and the frustrating and growing chasms resulting from religious pluralism and the subordination and marginalization of certain sectors of the human family based on gender and sexuality""--","2019","2022-05-06 17:25:50","2022-05-06 18:07:07","","","390","","","","","Reclaiming the great world house","The Morehouse College King Collection Series on Civil & Human Rights","","","","University of Georgia Press","Athens","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 1107807831","","","","","Human rights; Aspect social. Droits de l'homme et mondialisation. POLITICAL SCIENCE; Human Rights. Human rights and globalization. Human rights; Social aspects. Human rights and globalization. Droits de l'homme (Droit international); Social aspects. Philosophy","Crawford, Vicki L.; Baldwin, Lewis V.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HAW2E49U","book","2002","Baldwin, Lewis V.; Burrow, Jr., Rufus; Holmes, Barbara A.; Winfield, Susan Holmes","The legacy of Martin Luther King, Jr.: the boundaries of law, politics, and religion","","978-0-268-03354-5","","","","Explores the development of Martin Luther King, Jr.'s understanding of the relationship between religion, morality, law, and politics. Provides an in-depth analysis of King's views on the roles that religion and morality ought to play, not only in public debate concerning political choices and law, but also in efforts to create political and legal structures that are just and to perpetuate participatory democracy. The Legacy of Martin Luther King, Jr. focuses considerable attention on King's refusal to separate religious faith and moral considerations from politics, legal matters, and social reformism. In so doing, it demonstrates King's remarkable ability to transcend church-state boundaries and to formulate an alliance that permeated every facet of American life. This volume reveals how King moved beyond southern particularism to create a more democratic America and a more inclusive world. Among the topics covered are King's relationship to various American political traditions and figures, King's theories of civil disobedience and his understanding of the Constitution, and the influence of moral law and personal idealism on King's teachings.","2002","2022-05-06 17:27:19","2022-05-06 17:28:56","","","316","","","","","The legacy of Martin Luther King, Jr.","","","","","University of Notre Dame Press","Notre Dame, Ind.","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 48884945","","","","","United States; History; Histoire; États-Unis; 20th century; Religion and politics; 20e siècle. Moral conditions. Political and social views. Politics and government Religion. Religion and politics. Aufsatzsammlung Maatschappijkritiek. Juridische aspecten. Politieke aspecten. Ethische aspecten. Religion and politics; 20th century. Religion et politique","","","","Burrow, Jr., Rufus; Holmes, Barbara A.; Winfield, Susan Holmes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SRQAGFY4","book","2002","Baldwin, Lewis V.; Al-Hadid, Amiri YaSin","Between cross and crescent: Christian and Muslim perspectives on Malcolm and Martin","","978-0-8130-2457-8","","","","The interconnections between Martin Luther King, Jr. and Malcolm X -- their faith claims, their perspectives on culture, and their visions of an ideal society and world -- are brought to light by a Christian and a Muslim scholar.","2002","2022-05-06 17:30:01","2022-05-06 17:32:20","","","475","","","","","","The history of African-American religions","","","","University Press of Florida","Gainesville","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 48014737","","","","","Relations; Islam; Christianity. Christianity and other religions; Black Muslims. African Americans; Christianisme. Christianisme; Islam. African Americans; Islam. Noirs américains; Religion. Black Muslims. Christianity. Interfaith relations. Islam. Religion. Aufsatzsammlung Black Muslims. African Americans; Religion. Islam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"596AWJXX","bookSection","2006","Baldwin, Lewis V.","Foreword","God and human dignity: the personalism, theology, and ethics of Martin Luther King, Jr.","","","","","","2006","2022-05-06 17:32:45","2022-05-06 17:33:25","","","","","","","","","","","","","University of Notre Dame Press","Notre Dame, Ind.","English","","","","","OCLC WorldCat FirstSearch","","","","","","","Personalism. Personalism. Personalismus","","","","","","Burrow, Rufus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"366GHSQD","book","1992","Baldwin, Lewis V.","To make the wounded whole: the cultural legacy of Martin Luther King, Jr.","","978-0-8006-2543-6","","","","This book is a conscious effort to explore the dimensions of King's cultural legacy, and aspires to demonstrate how King's vision gradually transcended southern particularism to assume national and international implications.","1992","2022-05-06 17:34:04","2022-05-06 17:34:53","","","324","","","","","","","","","","Fortress Press","Minneapolis","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 24541819","","","","","Black theology. Théologie noire. Black theology. Philosophy. Theologie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X9FU5758","book","2012","King, Martin Luther","""In a single garment of destiny"": a global vision of justice","","978-0-8070-8605-6","","","","An unprecedented and timely collection that captures the global vision of Dr. King--in his own words. Too many people continue to think of Dr. King only as ""a southern civil rights leader"" or ""an American Gandhi,"" thus ignoring his impact on poor and oppressed people around the world. """"In a Single Garment of Destiny"""" is the first book to treat King's positions on global liberation struggles through the prism of his own words and activities. From the pages of this extraordinary collection, King emerges not only as an advocate for global human rights but also as a towering figure who collaborated with Eleanor Roosevelt, Albert J. Luthuli, Thich Nhat Hanh, and other national and international figures in addressing a multitude of issues we still struggle with today--from racism, poverty, and war to religious bigotry and intolerance. Introduced and edited by distinguished King scholar Lewis Baldwin, this volume breaks new ground in our understanding of King.","2012","2022-05-06 17:35:28","2022-05-06 17:36:36","","","226","","","","","""In a single garment of destiny""","The King Legacy series","","","","Beacon Press","Boston","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 792880743","","","","","","Baldwin, Lewis V.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VESXIDLP","book","2012","King, Martin Luther","""Thou, dear God"": prayers that open hearts and spirits","","978-0-8070-8603-2","","","","""""Thou, Dear God"" is the first and only collection of sixty-eight prayers by Martin Luther King, Jr. Arranged thematically in six parts--with prayers for spiritual guidance, special occasions, times of adversity, times of trial, uncertain times, and social justice--Baptist minister and King scholar Lewis Baldwin introduces the book and each section with short essays. Included are both personal and public prayers King recited as a seminarian, graduate student, preacher, pastor, and, finally, civil rights leader, along with a special section that reveals the biblical sources that most inspired King. Collectively they illustrate how King turned to private prayer for his own spiritual fulfillment and to public prayer as a way to move, inspire, and reaffirm a quest for peace and social justice. With a foreword by Rev. Dr. Julius R. Scruggs, it is the perfect gift for people and leaders of all faiths, and an invaluable resource for spiritual individuals and those who lead worship.""--Publisher Description.","2012","2022-05-06 17:38:07","2022-05-06 17:38:48","","","245","","","","","""Thou, dear God""","The King Legacy series","","","","Beacon Press","Boston","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 714724658","","","","","Prayers. Prières. Prayers. Prayers. Genre/Form: Prayers. Prayers. Prayers. Prières","Baldwin, Lewis V.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8E4ATCRT","book","2016","Baldwin, Lewis V.","Behind the public veil: the humanness of Martin Luther King Jr.","","978-1-5064-0562-9","","","","In this groundbreaking volume, the noted King scholar Lewis V. Baldwin reveals what Martin Luther King, Jr. was really like, focusing primarily on the man himself rather than the ""great public figure."" Adding much-needed biographical background to the discussion, Baldwin treats King in terms of his fundamental and vivid humanness, giving special attention to those personal qualities that endeared him to the many common, ordinary people he encountered daily. Even more, this book provides a lens through which King's social and cultural context can be better understood.","2016","2022-05-06 17:39:24","2022-05-06 18:07:28","","","381","","","","","Behind the public veil","","","","","Fortress Press","","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 933438404","","","","","United States; Clergy; African American civil rights workers; Biography. Baptists; Biography. POLITICAL SCIENCE; Civil Rights. POLITICAL SCIENCE; Human Rights. African American civil rights workers. Baptists; Political Freedom & Security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YK4WJ6N6","book","2010","Baldwin, Lewis V.","The voice of conscience: the church in the mind of Martin Luther King, Jr.","","978-0-19-538030-9","","","","Before he was a civil rights leader, Martin Luther King Jr. was was a man of the church. His father was a pastor, and much of young Martin's time was spent in Baptist churches. Here, Baldwin explores King's complex relationship with the Christian church.","2010","2022-05-06 17:43:03","2022-05-06 17:43:57","","","365","","","","","","","","","","Oxford University Press","Oxford ; New York","English","","","","","OCLC WorldCat FirstSearch","","OCLC: 426065986","","","","","attityder till; Church. Religion. Church. Ekklesiologie. Schwarze Theologie. Kyrkan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
