Key,reason,Item Type,ISBN,ISSN,Publication Title,Publication Year,Author,Title,OCLC,ISBN extra,NOTES,,
HT8TGN9G,Article or chapter without published_in.,bookSection,9780028661179,,International Encyclopedia of the Social Sciences,2008,"Barnes, Sandra L.",Ghetto,,"9780028664187, 0028661176, 0028664183",,,
GPE3DBS8,Article or chapter without published_in.,dictionaryEntry,9780060698638,,Harper's Bible Dictionary,1985,"Knight, Douglas A.",Ethics,,"9780060698621, 0060698632, 0060698624",,,
KISEARIS,Article or chapter without published_in.,dictionaryEntry,9780060698638,,Harper's Bible Dictionary,1985,"Knight, Douglas A.","Oral Materials, Sources and Traditions",,"9780060698621, 0060698632, 0060698625",,,
ZHTYV26S,Article or chapter without published_in.,bookSection,9780190213411,,"The Oxford Handbook of New Testament, Gender, and Sexuality",2019,"Levine, Amy-Jill","The Gospels and Acts: Oxford Handbook of New Testament, Gender, and Sexuality",,"9780190213404, 0190213418, 019021340X",,,
L2ZF35RB,Article or chapter without published_in.,bookSection,9780190261184,,The Oxford Handbook of the Historical Books of the Hebrew Bible,2020,"Marbury, Herbert Robinson",Exogamy and Divorce in Ezra and Nehemiah: Oxford Handbook of the Historical Books of the Hebrew Bible,,"780190074111, 9780190261177, 0190261188, 0190074116, 019026117X",,,
HASDG9QL,Article or chapter without published_in.,bookSection,9780191791239,,The Oxford Handbook of Reformed Theology,2020,"Lim, Paul C H; Martin, Drew",Reformed Theology in North America: Oxford Handbook of Reformed Theology,,"9780191035838, 0191791237, 0191035831",,,
X8KED8FF,Article or chapter without published_in.,bookSection,9780195046458,,The Oxford companion to the Bible,1994,"Knight, Douglas A.","Hebrews (pp. 273–74); Idols, Idolatry (pp. 297–98)",,"9780199891023, 0195046455, 0199891028",,,
FLGTSBS2,Article or chapter without published_in.,bookSection,9780197669402,,Oxford Encyclopedias of the Bible: Digital Collection,2022,"Quigley, Jennifer A.",Philippi,,197669409,,,
RWU46RAY,Article or chapter without published_in.,bookSection,9780199381081,,The Oxford handbook of African American theology,2014,"Anderson, Victor",Black ontology and theology: Oxford handbook of African American theology,,"9780199983100, 0199381089, 0199983100",,,
CMTIFAG6,Article or chapter without published_in.,bookSection,9780231508957,,Queer theory and the Jewish question,2003,"Geller, Jay","Freud, Blüher, and the Secessio Inversa: Männerbünde, Homosexuality, and Freud's  Theory of Cultural Formation",,231508956,,,
D8N3D6X4,Article or chapter without published_in.,bookSection,9780300185034,,Cultures in Contact: From Mesopotamia to the Mediterranean in the Second Millennium B.C.,2013,"Sasson, Jack M.",Beyond Babylon: closing remarks,,"9781588394750, 0300185030, 1588394751",,,
SXFN5QM4,Article or chapter without published_in.,dictionaryEntry,9780385193511,,The Anchor Bible dictionary,1992,"Knight, Douglas A.",Tradition History,,"9780385193603, 9780385425834, 9780385193610, 9780385193627, 9780385193634, 9780385261906, 0385193513, 0385193602, 038542583X, 0385193610, 0385193629, 0385193637, 038526190X",,,
GAVJ5G2E,Article or chapter without published_in.,dictionaryEntry,9780385193511,,The Anchor Bible dictionary,1992,"Sasson, Jack M.",Gilgamesh Epic,,"9780385193511, 9780385193603, 9780385425834, 9780385193610, 9780385193627, 9780385193634, 9780385261906, 0385193513, 0385193602, 038542583X, 0385193610, 0385193629, 0385193637, 038526190X",,,
2SN73SZT,Article or chapter without published_in.,bookSection,9780429289750,,"Crucifixion, State Terror, and Sexual Abuse: Text and Context",2018,"Segovia, Fernando F",Jesus as Victim of State Terror: A Critical Reflection Twenty Years Later,,"9781000836868, 9781000836912, 0429289758, 100083686X, 1000836916",,,
9P4CK4VM,Article or chapter without published_in.,bookSection,9780567656025,,A Feminist Companion to Tobit and Judith,2015,"Levine, Amy-Jill",Redrawing the Boundaries: A New Look at ‘Diaspora as Metaphor: Bodies and Boundaries in the Book of Tobit,,567656020,,,
DCIFV9G6,Article or chapter without published_in.,bookSection,9780567675170,,T & T Clark handbook of Christian theology and climate change,2020,"Rieger, Joerg; Rieger, Annika",Chapter 1.3. Working with environmental economists: T & T Clark handbook of Christian theology and climate change,1124608619,567675173,,,
IK762VJ2,Article or chapter without published_in.,dictionaryEntry,9780585328737,,Dictionary of feminist theologies,1996,"Levine, Amy-Jill",Hermeneutics of Suspicion,,585328730,,,
Q3E8WJEI,Article or chapter without published_in.,bookSection,9780687003358,,Christian social ethics in a global era,1995,"Meeks, M. Douglas; Stackhouse, Max L.; Berger, Peter L.; McCann, Dennis P.",God's oikonomia and the New World Economy,,687003350,,,
NZR5PRQK,Article or chapter without published_in.,bookSection,9780687028382,,The Sunday after Tuesday : college pulpits respond to 9/11,2002,"Rieger, Joerg",A Sermon,,687028388,,,
6M84AC6D,Article or chapter without published_in.,bookSection,9780687051557,,The poor and the people called Methodists : 1729-1999,2002,"Rieger, Joerg","Contemporary Issues and Models of Ministry with the Poor, the Underrepresented, and the Ignored: Introductory Comments",,0068705155X,,,
QRK3K9BZ,Article or chapter without published_in.,bookSection,9780687051557,,The poor and the people called Methodists : 1729-1999,2002,"Rieger, Joerg",Between God and the Poor: Rethinking the Means of Grace in the Wesleyan Tradition,,0068705155X,,,
KZM9RRUZ,Article or chapter without published_in.,dictionaryEntry,9780687055319,,"Dictionary of biblical interpretation. v 1, A-J",1999,"Knight, Douglas A.",James Barr,,687055318,,,
ZQRBKN7H,Article or chapter without published_in.,encyclopediaArticle,9780716601197,,World Book,2018,"Morrill, Bruce T",Beatification | Article | World Book Online InfoFinder,,716601192,,,
ZQRBKN7H,Article or chapter without published_in.,encyclopediaArticle,9780716601197,,World Book,2018,"Morrill, Bruce T",Beatification | Article | World Book Online InfoFinder,,716601192,,,
LR9X9TZS,Article or chapter without published_in.,encyclopediaArticle,9780716601197,,World Book Encyclopedia,2018,"Morrill, Bruce T",Canonization | Article | World Book Online InfoFinder,,716601192,,,
SDGPVQPX,Article or chapter without published_in.,bookSection,9780739144947,,Philosophical Meditations on Richard Wright,2012,"Anderson, Victor",Fear and Trembling in the Everyday of Richard Wright’s Black Boy: A Quare Reading,,739144944,,,
6CN8H2PX,Article or chapter without published_in.,bookSection,9780754632566,,Rise and demise of black theology,2008,"Anderson, Victor",Introduction,,754632563,,,
Y6APQHF2,Article or chapter without published_in.,bookSection,9780786467808,,Godly heretics: essays on alternative Christianity in literature and popular culture,2013,"Rieger, Jeorg","Reclaiming the Relation of Religion, Politics, and Economics",,786467800,,,
VZTIU64U,Article or chapter without published_in.,bookSection,9780800626976,,Transfigurations: Feminist Theology and the French Feminists.,1993,"Armour, Ellen T.","Questioning ""Woman"" in Feminist/Womanist Theology: Irigaray, Ruether and Daly",,800626974,,,
7XJNWTXC,Article or chapter without published_in.,bookSection,9780800631437,,"Liberating the Future: God, Mammon, and Theology",1998,"Rieger, Jeorg",Introduction: Watch the Money & Developing a Common Interest Theology from the Underside,,800631439,,,
AB75C6KD,Article or chapter without published_in.,bookSection,9780800637941,,"Theology that Matters: Ecology, Economy, and God",2006,"Armour, Ellen T.",Toward an Elemental Theology: A Constructive Proposal,,800637941,,,
2PFUSDFN,Article or chapter without published_in.,bookSection,9780802806475,,The Church's Public Role: Retrospect and Prospect,1993,"Hudnut-Beumler, Jim; Hessell, Dieter T.",The public church in retrospect and prospect,,802806473,,,
TRF46B35,Article or chapter without published_in.,bookSection,9780802879295,,The Pharisees,2021,"Levine, Amy-Jill",Preaching and Teaching the Pharisees: Pharisees,,802879292,,,
ETC7JJ6M,Article or chapter without published_in.,bookSection,9780814728574,,Liberation theologies in the United States an introduction,2010,"Floyd-Thomas, Stacey M.; Pinn, Anthony B.",Womanist Theology,,"9781441638243, 9780814727935, 081472857X, 1441638245, 081472793X",,,
TH7KTMPD,Article or chapter without published_in.,bookSection,9780823250646,,Living together Jacques Derrida's communities of violence and peace,2013,"Armour, Ellen T.",Reponsi/ability After Derrida,,y823250644,,,
BR2AHSVN,Article or chapter without published_in.,bookSection,9780827214484,,Handbook of U.S. theologies of liberation,2004,"Floyd-Thomas, Stacey M.",The Church Here and Now: Critical Reflections,,827214480,,,
RVWWYNED,Article or chapter without published_in.,bookSection,9780827214484,,Handbook of U.S. theologies of liberation,2004,"Floyd-Thomas, Stacey M",Church: Handbook of U.S. theologies of liberation,,827214480,,,
GGP7NNQK,Article or chapter without published_in.,bookSection,9780827229693,,Preaching 1 Corinthians 13,2001,"Andrews, Dale P.",Possibly a Porcupine Problem,,827229690,,,
NIRVTXMF,Article or chapter without published_in.,dictionaryEntry,9780865542990,,Mercer Dictionary of the Bible,1990,"Knight, Douglas A.","Cosmology (pp. 175–76); Ethics in the Old Testament (pp. 267–70); Family (pp. 294–95);  Genre, Old Testament (pp. 322–23); Sources, Literary (pp. 852–53); Tradition in the Old  Testament (pp. 927–28)",,"9780865543737, 0865542996, 0865543739",,,
7CMNLWBB,Article or chapter without published_in.,bookSection,9780884145370,,Ve-'Ed Ya'aleh (Gen 2:6): Essays in Biblical and Ancient Near Eastern Studies Presented to Edward L. Greenstein,2021,"Sasson, Jack M",Samson as Riddle: Ve-'Ed Ya'aleh (Gen 2:6): Essays in Biblical and Ancient Near Eastern Studies Presented to Edward L. Greenstein,,884145379,,,
3UEL7ZVF,Article or chapter without published_in.,bookSection,9780884145455,,The struggle over class: socioeconomic analysis of ancient Christian texts,2021,"Quigley, Jennifer",Class-ifying the Gods: The Christ Commodity in Philippians 3,,"9781628374155, 088414545X, 1628374152",,,
NCNBAVXX,Article or chapter without published_in.,bookSection,9780887481017,,"The Church and Contemporary Cosmology: Proceedings of a Consultation of the Presbyterian Church, USA",1990,"Knight, Douglas A.",Ancient Israelite Cosmology: Images and Evaluations,,887481019,,,
2ECTYSQA,Article or chapter without published_in.,bookSection,9781119133766,,Wiley Blackwell Companion to Political Theology,2019,Joerg Rieger,Grassroots Social Movements and Political Theology,,"9781119133759, 9781119133735, 9781119133742, 1119133769, 1119133750, 1119133734, 1119133742",,,
YWQAIAVC,Article or chapter without published_in.,bookSection,9781137339249,,"Religion, theology, and class: fresh engagements after long silence",2013,"Rieger, Joerg","Preface: Religion, theology, and class: fresh engagements after long silence",,"9781137351371, 9781137351425, 1137339241, 1137351373, 113735142X",,,
ISQT4L3L,Article or chapter without published_in.,bookSection,9781137568434,,"Religious Experience and New Materialism: Movement Matters, Radical Theologies",2017,"Rieger, Jeorg",Why Movements Matter Most: A Conversation with the New Materialism,,"9781137568441, 1137568437, 1137568445",,,
6UCASUQ3,Article or chapter without published_in.,dictionaryEntry,9781139007924,,Cambridge Dictionary of Christianity,2010,"Anderson, Victor","African American Theologies; Black Theology; Dewey,John; Du Bois, W.E.B.; Pragmatism and Christian Theologies; Introductory Entry: Racism and Christianity: Ethnocentrism; Thurman, Howard",,"9781139010078, 9781139009027, 9780511780165, 9781283017220, 9781107209602, 9786613017222, 9781139006811, 1139007920, 1139010077, 1139009028, 0511780168, 1283017229, 1107209609, 6613017221, 1139006819",,,
