qid,label,orcid
Q100329,Michael Welker,
Q104214797,Dorothy C Bass,
Q104214905,Diane Apostolos-Cappadona,
Q1045851,Carter Heyward,
Q104618706,Bernard J. Cooke,
Q105077555,Mohammed Rustom,
Q105439147,R. Alan Culpepper,
Q105547867,Carmen M. Nanko-Fernández,
Q106085446,John Wesley Cook,
Q106477302,Everett K. Rowson,
Q106784918,Jin Young Choi,
Q106860497,Anthony G. Reddie,
Q107072775,W. Eugene March,
Q107266742,Karen Baker-Fletcher,
Q107279588,Stephen D. Moore,
Q107464477,Peter Admirand,
Q108337839,Mark B. Garrison,
Q1086340,Christophe Jaffrelot,
Q109108528,Helena Hansen,0000-0003-0569-1392
Q109600229,Randall C. Bailey,
Q110266420,Paula M. Cooey,
Q110504666,Pamela D. Couture,0000-0002-2206-0739
Q111083862,R. David Nelson,
Q111363628,Raymond A. Hinnebusch,
Q111995042,Valerie Greenberg,
Q1120816,Roland Faber,
Q112316965,Julia M. O'Brien,
Q112366141,Allen C. Myers,
Q112369242,Alice L. Laffey,
Q112385647,Trevor A. Hart,
Q112399890,William R. Myers,
Q112432347,Edward Foley,
Q112439072,Kristin E. Heyer,
Q112472096,Joseph Sievers,
Q112506623,J. Patout Burns,
Q112511016,Anne Llewellyn Barstow,
Q112530409,Mark D. Ellison,
Q112532820,Theodore Walker,
Q112534567,T. J. Wray,
Q112560387,Kate M. Ott,
Q112565003,James R. Nieman,
Q113005908,Robin W. Lovin,
Q113717461,Frederick R. Trost,
Q113721057,Frederick A. Niedner,
Q113730933,Allen Dwight Callahan,
Q113731488,Dennis E. Tamburello,
Q113735559,Michael Sherwood Koppel,
Q113736641,Nancy Pineda-Madrid,
Q113738236,Rosemarie Henkel-Rieger,
Q113758848,Herman C. Waetjen,
Q113760258,Alexandra Kleinerman,
Q113772819,Rosemary Skinner Keller,
Q113775364,Thia Cooper,
Q113782082,Shelly Matthews,
Q113791303,Charles Yrigoyen,
Q113792935,Nancy Lynne Westfield,
Q113794157,John Nawas,
Q113798099,Silas W. Allard,
Q113800973,Peter Thacher Lanfer,
Q113801010,Holly E. Hearon,
Q113802120,Susan M. St. Ville,
Q113802355,Edward N. McNulty,
Q113808994,Philip Tallon,
Q113810907,Brett Younger,
Q113810931,Isabel N. Docampo,
Q113823123,Marsha Snulligan Haney,
Q113823707,Fred Guyette,
Q113824251,Elaine Padilla,
Q113832046,Denis Matringe,
Q113834603,Ryan LaMothe,
Q113844371,Ronald Wallenfels,
Q113844392,Sammy Alfaro,
Q114841451,Foster R. McCurley,
Q115689040,Daniel L. Schwartz,
Q115970415,Len Travers,
Q117202267,Joanna E. Ziegler,
Q1176885,David Tracy,
Q1240353,"Donald S. Lopez, Jr.",
Q12482381,Eleazar S. Fernandez,
Q12493238,Kwok Pui-lan,
Q12523708,Virginia Fabella,
Q1267435,Luise Schottroff,
Q1328650,Stanley Hauerwas,
Q1336892,John Dominic Crossan,
Q1381905,Gudrun Krämer,
Q1384317,Jacob Neusner,
Q15129872,Vance T. Holliday,0000-0002-7361-3911
Q15431263,Bilal Orfali,
Q15451923,Volkhard Krech,0000-0002-9013-4461
Q15486387,Frederick Herzog,
Q15513988,William Henry Willimon,
Q15605198,Lieven Boeve,
Q15715715,John Coffey,
Q15941382,Keith N. Knapp,
Q16106324,Richard Lischer,
Q16202612,Serene Jones,
Q16499815,Pamela Cooper-White,0000-0003-2605-3867
Q16730327,John Swinton,0000-0002-3991-8949
Q16830980,Daniel Louw,
Q16973499,Dennis McCann,
Q16973881,Marcia Y. Riggs,
Q17318684,Joseph Cumming,
Q1810168,Ruard Ganzevoort,0000-0003-3395-1497
Q1817914,Lenn Evan Goodman,0000-0003-3368-2303
Q1821248,Letty Russell,
Q18390705,Robert K. Ritner,
Q18685631,David Morgan,
Q18720284,Susan Brooks Thistlethwaite,
Q1884258,Magne Sæbø,
Q1898981,Mario Pino Quivira,0000-0001-6181-353X
Q1909619,Matthew Stolper,
Q194754,Mary E. Hunt,
Q19564315,Maryanne Cline Horowitz,
Q1957972,Roel Sterckx,
Q19664952,Samuel Torvend,
Q19753601,Leslie C. Allen,
Q19768173,Matthew Levering,
Q198346,Rosemary Radford Ruether,
Q1995603,Brethren of Purity,
Q20081152,Amanda Porterfield,
Q201998,Roger S. Bagnall,0000-0002-9817-3326
Q2020395,Oliver Leaman,
Q20708438,Jonathan Boyarin,
Q20807390,F. W. Dobbs-Allsopp,
Q21294582,Philippe Bordeyne,
Q22096456,Anna Carter Florence,
Q22096894,Adam Sabra,
Q2225677,Saskia Wendel,
Q2323474,John Louis Esposito,
Q235470,Martha Nussbaum,
Q241488,Richard Shweder,
Q25176144,Jon M. Sweeney,
Q25455836,Patrick S. Cheng,
Q26251393,Jann Aldredge-Clanton,
Q26465444,Juan Battle,
Q2668049,J. Gordon Melton,
Q2732144,Isolde Karle,
Q27443414,David J. Meltzer,0000-0001-8084-9802
Q27662966,Manan Ahmed Asif,
Q28940963,George Yancy,
Q28975200,Katharine Doob Sakenfeld,
Q29469348,Peter Machinist,
Q29653414,Todd Lawson,
Q29829075,James Lewis Heft,
Q30146162,Isabel Rey,0000-0002-2122-5124
Q30302655,Don S. Browning,
Q3065290,Richard Bauckham,
