qid,label,doi,pmid
Q100146585,Chinese Accounts of the Strange: A Study in the History of Religions,,
Q101000606,Buddhism and Race,10.1093/OXFORDHB/9780190221171.013.34,
Q105645735,Long Time Coming: Reckoning with Race in America,,
Q106421012,Mystery Unveiled,10.1093/ACPROF:OSO/9780195339468.001.0001,
Q106509639,"The Chinese Dreamscape, 300 BCE-800 CE",,
Q106732015,"Jinnealogy: Time, Islam, and Ecological Thought in the Medieval Ruins of Delhi",,
Q106787199,"Being Buddha, Staying Woke: Racial Formation in Black Buddhist Writing",10.1093/JAAREL/LFY019,
Q106787200,Ann Gleig. American Dharma: Buddhism beyond Modernity,10.1093/AHR/RHAA506,
Q106787201,"The Generative Power of Disgust:  Aesthetics, Morality, and the Abject Preta Body",10.2143/JIABS.43.0.3289054,
Q106807642,Celestial Seductresses and Hungry Ghosts: Preta Narratives in Early Indian Buddhism,,
Q106807643,"Cosmopolitan Dharma: Race, Sexuality, and Gender in British Buddhism",,
Q106807644,"Buddhism in America: Global Religion, Local Contexts",,
Q106872446,Circumcision in the ancient Near East,,
Q106873310,Short note on a 'mayor' subject,,
Q106877202,The Theology and Provenance of John 15:1-17,10.2307/3260444,
Q106877421,"The Structure, Tendenz, and Sitz im Leben of John 13:31-14:31",10.2307/3260925,
Q106927449,Linguistic Evidence and the Dating of Qoheleth,10.2307/3266347,
Q106975970,Qohelet's Eschatological Poem,,
Q106976566,"Orthography, Textual Criticism, and the Poetry of Job",10.2307/41304188,
Q106976698,An exquisitely poetic introduction to the Psalter,10.1353/JBL.2013.0032,
Q106976755,"Introduction to the Society of Biblical Literature presidential address, N 23 2013",10.15699/JBIBLLITE.133.1.3,
Q106976805,Criticism in critical times: reflections on vision and task,10.1353/JBL.2015.0002,
Q107275810,Commentary on Zaman: Taneja,,
Q107275811,Sewer Gas,,
Q107275812,"The Calls of Islam: Sufis, Islamists, and Mass Mediation in Urban Morocco",10.1086/693118,
Q107275814,Jinnealogy: Everyday Life and Islamic Theology in Post-Partition Delhi,10.14318/HAU3.3.007,
Q107275815,Poetry Among the Ruins,,
Q107275816,Saintly Animals: The Shifting Moral and Ecological Landscapes of North India,10.1215/1089201X-3138988,
Q107275817,"Book Review: Ruth Vanita, Gender, Sex, and the City: Urdu Rekhti Poetry in India, 1780–1870",10.1177/0019464614527537,
