qid,unique_identifier,label_en,description_en,instance_of_uuid,instance_of,full_work_available_uuid,full_work_available,full_work_available_ref1_hash,full_work_available_ref1_retrieved_nodeId,full_work_available_ref1_retrieved_val,full_work_available_ref1_retrieved_prec,edition_version_uuid,edition_version,language_uuid,language,number_pages_uuid,number_pages_nodeId,number_pages_val,number_pages_unit,doi_uuid,doi,doi_ref1_hash,doi_ref1_referenceUrl,doi_ref1_stated_in,doi_ref1_retrieved_nodeId,doi_ref1_retrieved_val,doi_ref1_retrieved_prec,pmid_uuid,pmid,pmid_ref1_hash,pmid_ref1_referenceUrl,pmid_ref1_stated_in,pmid_ref1_retrieved_nodeId,pmid_ref1_retrieved_val,pmid_ref1_retrieved_prec,publication_date_uuid,publication_date_nodeId,publication_date_val,publication_date_prec,publication_date_ref1_hash,publication_date_ref1_referenceUrl,publication_date_ref1_stated_in,publication_date_ref1_retrieved_nodeId,publication_date_ref1_retrieved_val,publication_date_ref1_retrieved_prec,title_en_uuid,title_en,title_en_ref1_hash,title_en_ref1_referenceUrl,title_en_ref1_stated_in,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec,published_in_uuid,published_in,published_in_ref1_hash,published_in_ref1_referenceUrl,published_in_ref1_stated_in,published_in_ref1_retrieved_nodeId,published_in_ref1_retrieved_val,published_in_ref1_retrieved_prec,volume_uuid,volume,volume_ref1_hash,volume_ref1_referenceUrl,volume_ref1_stated_in,volume_ref1_retrieved_nodeId,volume_ref1_retrieved_val,volume_ref1_retrieved_prec,page_uuid,page,page_ref1_hash,page_ref1_referenceUrl,page_ref1_stated_in,page_ref1_retrieved_nodeId,page_ref1_retrieved_val,page_ref1_retrieved_prec,issue_uuid,issue,issue_ref1_hash,issue_ref1_referenceUrl,issue_ref1_stated_in,issue_ref1_retrieved_nodeId,issue_ref1_retrieved_val,issue_ref1_retrieved_prec,isbn10_uuid,isbn10,isbn10_ref1_hash,isbn10_ref1_referenceUrl,isbn10_ref1_stated_in,isbn10_ref1_retrieved_nodeId,isbn10_ref1_retrieved_val,isbn10_ref1_retrieved_prec,isbn13_uuid,isbn13,isbn13_ref1_hash,isbn13_ref1_referenceUrl,isbn13_ref1_stated_in,isbn13_ref1_retrieved_nodeId,isbn13_ref1_retrieved_val,isbn13_ref1_retrieved_prec,publisher_uuid,publisher,publisher_ref1_hash,publisher_ref1_referenceUrl,publisher_ref1_stated_in,publisher_ref1_retrieved_nodeId,publisher_ref1_retrieved_val,publisher_ref1_retrieved_prec,place_of_publication_uuid,place_of_publication,place_of_publication_ref1_hash,place_of_publication_ref1_referenceUrl,place_of_publication_ref1_stated_in,place_of_publication_ref1_retrieved_nodeId,place_of_publication_ref1_retrieved_val,place_of_publication_ref1_retrieved_prec
Q115683704,KR4DKNNI,"Correcting Anti-Jewish Stereotypes, The Gospel of Luke",academic book chapter,,Q21481766,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2011,,,,Q114403967,,2022-12-12,,,"Correcting Anti-Jewish Stereotypes, The Gospel of Luke",,,Q114403967,,2022-12-12,,,Q115682391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q217595,,,Q114403967,,2022-12-12,,,Q60,,,Q114403967,,2022-12-12,
Q115683705,JTQ6SKKP,"A Marginal Jew: Rethinking the Historical Jesus. Volume 5, Probing the Authenticity of the Parables.",journal article,,Q18918145,,,,,,,,,,Q1860,,,2,Q1069725,,,,,,,,,,,,,,,,,,,2018,,,,Q114403967,,2022-12-12,,,"A Marginal Jew: Rethinking the Historical Jesus. Volume 5, Probing the Authenticity of the Parables.",,,Q114403967,,2022-12-12,,,Q6056454,,,Q114403967,,2022-12-12,,,72,,,Q114403967,,2022-12-12,,,84-85,,,Q114403967,,2022-12-12,,,1,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683706,B4HQCICT,The New Testament : methods and meanings,book,,Q3331189,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2013,,,,Q114403967,,2022-12-12,,,The New Testament : methods and meanings,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-1-4267-4190-6,,,Q114403967,,2022-12-12,,,Q4667842,,,Q114403967,,2022-12-12,,,Q23197,,,Q114403967,,2022-12-12,
Q115683707,KZFZJ84P,"Religious writings and religious systems : systemic analysis of holy books in Christianity, Islam, Buddhism, Greco-Roman religions, ancient Israel, and Judaism",book,,Q3331189,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,1989,,,,Q114403967,,2022-12-12,,,"Religious writings and religious systems : systemic analysis of holy books in Christianity, Islam, Buddhism, Greco-Roman religions, ancient Israel, and Judaism",,,Q114403967,,2022-12-12,,,,,,,,,,,2,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,1-55540-333-6,,,Q114403967,,2022-12-12,,,,,,,,,,,Q98690484,,,Q114403967,,2022-12-12,,,Q23556,,,Q114403967,,2022-12-12,
Q115683708,ZKLRB7ZR,"Medjugorje and the supernatural: science, mysticism, and extraordinary religious experience.",journal article,,Q18918145,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2018,,,,Q114403967,,2022-12-12,,,"Medjugorje and the supernatural: science, mysticism, and extraordinary religious experience.",,,Q114403967,,2022-12-12,,,Q1766173,,,Q114403967,,2022-12-12,,,56,,,Q114403967,,2022-12-12,,,348,,,Q114403967,,2022-12-12,,,3,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683709,E8E59V5N,Light of the world: a beginner's guide to Advent,book,,Q3331189,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2019,,,,Q114403967,,2022-12-12,,,Light of the world: a beginner's guide to Advent,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-1-5018-8435-1,,,Q114403967,,2022-12-12,,,Q4667842,,,Q114403967,,2022-12-12,,,Q23197,,,Q114403967,,2022-12-12,
Q115683710,2EDS3Y3S,A Saint for East and West: Maximus the Confessor's contribution to Eastern and Western Christian theology,journal article,,Q18918145,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2019,,,,Q114403967,,2022-12-12,,,A Saint for East and West: Maximus the Confessor's contribution to Eastern and Western Christian theology,,,Q114403967,,2022-12-12,,,Q1766173,,,Q114403967,,2022-12-12,,,57,,,Q114403967,,2022-12-12,,,316–316,,,Q114403967,,2022-12-12,,,3,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683711,KFL4HIB5,Exploring Biblical Kinship: Festschrift in Honor of John J. Pilch,book,,Q3331189,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2018,,,,Q114403967,,2022-12-12,,,Exploring Biblical Kinship: Festschrift in Honor of John J. Pilch,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-0-915170-54-8,,,Q114403967,,2022-12-12,,,Q40358,,,Q114403967,,2022-12-12,,,Q61,,,Q114403967,,2022-12-12,
Q115683712,3TAVKRZJ,Entering the passion of Jesus: a beginner's guide to Holy Week,book,,Q3331189,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2018,,,,Q114403967,,2022-12-12,,,Entering the passion of Jesus: a beginner's guide to Holy Week,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-1-5018-6955-6,,,Q114403967,,2022-12-12,,,Q4667842,,,Q114403967,,2022-12-12,,,Q23197,,,Q114403967,,2022-12-12,
Q115683713,CI9MXUJ5,Who Is My Neighbor?,book,,Q3331189,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2019,,,,Q114403967,,2022-12-12,,,Who Is My Neighbor?,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-1-947888-07-4,,,Q114403967,,2022-12-12,,,Q98273615,,,Q114403967,,2022-12-12,,,Q43668,,,Q114403967,,2022-12-12,
Q115683714,URUFWZXB,The marvelous mustard seed,book,,Q3331189,,,,,,,,First edition.,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2018,,,,Q114403967,,2022-12-12,,,The marvelous mustard seed,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-0-664-26275-4,,,Q114403967,,2022-12-12,,,Q98273615,,,Q114403967,,2022-12-12,,,Q43668,,,Q114403967,,2022-12-12,
Q115683715,IPYZVPSK,The Magdalene in the Reformation.,journal article,,Q18918145,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2019,,,,Q114403967,,2022-12-12,,,The Magdalene in the Reformation.,,,Q114403967,,2022-12-12,,,Q1766173,,,Q114403967,,2022-12-12,,,56,,,Q114403967,,2022-12-12,,,886,,,Q114403967,,2022-12-12,,,7,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683716,J9G62XWI,The Gospel of Luke,book,,Q3331189,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2018,,,,Q114403967,,2022-12-12,,,The Gospel of Luke,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-0-521-85950-9,,,Q114403967,,2022-12-12,,,Q912887,,,Q114403967,,2022-12-12,,,Q350,,,Q114403967,,2022-12-12,
Q115683717,LBRMJJIZ,The Bible and Feminism: Remapping the Field,journal article,,Q18918145,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2018,,,,Q114403967,,2022-12-12,,,The Bible and Feminism: Remapping the Field,,,Q114403967,,2022-12-12,,,Q1766173,,,Q114403967,,2022-12-12,,,57,,,Q114403967,,2022-12-12,,,316–316,,,Q114403967,,2022-12-12,,,3,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683719,4WYDFW5G,Jewish radical feminism: voices from the women's liberation movement.,journal article,,Q18918145,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2019,,,,Q114403967,,2022-12-12,,,Jewish radical feminism: voices from the women's liberation movement.,,,Q114403967,,2022-12-12,,,Q1766173,,,Q114403967,,2022-12-12,,,56,,,Q114403967,,2022-12-12,,,626,,,Q114403967,,2022-12-12,,,5,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683720,ZZFNREPG,The house of the mother: the social roles of maternal kin in biblical Hebrew narrative and poetry,journal article,,Q18918145,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2017,,,,Q114403967,,2022-12-12,,,The house of the mother: the social roles of maternal kin in biblical Hebrew narrative and poetry,,,Q114403967,,2022-12-12,,,Q1766173,,,Q114403967,,2022-12-12,,,54,,,Q114403967,,2022-12-12,,,1511,,,Q114403967,,2022-12-12,,,10,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
