qid,type,label,object_description,form_description,design_description,includes
Q102961421,work of art,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel) with a Design of a Dragon,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel),,of a Dragon,
Q102961432,work of art,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel) with a Design of a Landscape in the Rain,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel),,of a Landscape in the Rain,
Q102961438,work of art,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel) with a Design of Clouds and Lightning,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel),,of Clouds and Lightning,
Q102961447,work of art,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel) with a Design of Four Geese Flying in the Rain Over Fishnets,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel),,of Four Geese Flying in the Rain Over Fishnets,
Q106568478,sculpture,Abstract Figure(s),Abstract Figure(s),,,
Q105091588,ceramics,Affair with Vanity,Affair,,,Vanity
Q102961533,sculpture,Airplane,Airplane,,,
Q103296689,sculpture,Allegorical Group,Allegorical Group,,,
Q104030928,sculpture,Allegorical Scene,Allegorical Scene,,,
Q104030929,sculpture,Allegorical Scene,Allegorical Scene,,,
Q103296709,work of art,"Altar vase, ku shape, square form from antique bronze shape with deep relief design of clouds and geometric patterns","Altar vase, ku shape, square form from antique bronze shape",,,deep relief design of clouds and geometric patterns
Q103296715,work of art,"Altar vase, triangular shaped vessel in the shape of a gu (antique bronze) Decorated in low relief of clouds and dancing leopards","Altar vase, triangular shaped vessel",a gu (antique bronze) Decorated in low relief of clouds and dancing leopards,,
Q105096027,sculpture,Aluminum Sculpture,Aluminum Sculpture,,,
Q103296780,ceramics,Amphora,Amphora,,,
Q103296793,ceramics,Amphora-shaped urn with drip glaze,Amphora-shaped urn,,,drip glaze
Q102961645,sculpture,Anatolian amulet with an eye design,Anatolian amulet,,,an eye design
Q103296908,ceramics,Angular pot with painted abstract design,Angular pot,,,painted abstract design
Q102961655,ceramics,Animal vase,Animal vase,,,
Q102961661,ceramics,Annamese ware dish with blue underglaze painting,Annamese ware dish,,,blue underglaze painting
Q103296926,ceramics,Anthropomorphic pot decorated with red and yellow slip,Anthropomorphic pot decorated,,,red and yellow slip
Q102961684,coin,Antioch Coin in irregular ovoid shape,Antioch Coin in irregular ovoid shape,,,
Q102961692,coin,Antioch coin in irregular ovoid shape,Antioch coin in irregular ovoid shape,,,
Q103296950,sculpture,Antique menorah,Antique menorah,,,
Q103296962,work of art,Antique white jade garment hook,Antique white jade garment hook,,,
Q103297009,sculpture,Apsara Standing upon a Lotus Pedestal,Apsara Standing upon a Lotus Pedestal,,,
Q102961727,ceramics,Arita ware sake cup with a design in blue underglaze of three fish,Arita ware sake cup,,in blue underglaze of three fish,
Q102961734,ceramics,Arita ware tea cup with a design in blue underglaze of bamboo,Arita ware tea cup,,in blue underglaze of bamboo,
