qid,type,noun,label,object_description,form_description,design_description,includes,noun
Q102315563,ceramics,figure,Seated female funerary figure,Seated female funerary figure,,,,figure
Q102315787,sculpture,head,Head of a Young Girl or a Goddess,Head of a Young Girl or a Goddess,,,,head
Q102961421,work of art,ferrule,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel) with a Design of a Dragon,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel),,of a Dragon,,ferrule
Q102961432,work of art,ferrule,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel) with a Design of a Landscape in the Rain,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel),,of a Landscape in the Rain,,ferrule
Q102961438,work of art,ferrule,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel) with a Design of Clouds and Lightning,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel),,of Clouds and Lightning,,ferrule
Q102961447,work of art,ferrule,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel) with a Design of Four Geese Flying in the Rain Over Fishnets,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel),,of Four Geese Flying in the Rain Over Fishnets,,ferrule
Q102961533,sculpture,airplane,Airplane,Airplane,,,,airplane
Q102961645,sculpture,amulet,Anatolian amulet with an eye design,Anatolian amulet,,,an eye design,amulet
Q102961655,ceramics,vase,Animal vase,Animal vase,,,,vase
Q102961661,ceramics,dish,Annamese ware dish with blue underglaze painting,Annamese ware dish,,,blue underglaze painting,dish
Q102961684,coin,coin,Antioch Coin in irregular ovoid shape,Antioch Coin in irregular ovoid shape,,,,coin
Q102961692,coin,coin,Antioch coin in irregular ovoid shape,Antioch coin in irregular ovoid shape,,,,coin
Q102961727,ceramics,cup,Arita ware sake cup with a design in blue underglaze of three fish,Arita ware sake cup,,in blue underglaze of three fish,,cup
Q102961734,ceramics,cup,Arita ware tea cup with a design in blue underglaze of bamboo,Arita ware tea cup,,in blue underglaze of bamboo,,cup
Q102961744,ceramics,cup,Arita ware tea cup with a design in overglaze enamel of flowers and vines,Arita ware tea cup,,in overglaze enamel of flowers and vines,,cup
Q102961750,ceramics,cup,Arita ware tea cup with design in blue underglaze of figures and buildings in a landscape,Arita ware tea cup,,in blue underglaze of figures and buildings in a landscape,,cup
Q102961755,ceramics,suiteki,Arita ware water dropper (suiteki) with a design in blue underglaze of a crane and pine trees,Arita ware water dropper (suiteki),,in blue underglaze of a crane and pine trees,,suiteki
Q102961763,work of art,rest,"Arm Rest with a Design of a Crane, Chinese Characters, & Sacred Fungus",Arm Rest,,"of a Crane, Chinese Characters, & Sacred Fungus",,rest
Q102961768,work of art,rest,Arm Rest With a Design of a Persimmon,Arm Rest,,of a Persimmon,,rest
Q102961772,work of art,rest,Arm Rest with a Design of a Table with a Basket of Fruit & Buddha's Hand Fruit,Arm Rest,,of a Table with a Basket of Fruit & Buddha's Hand Fruit,,rest
Q102961781,work of art,rest,Arm rest with a design of man in boat with inscription,Arm rest,,of man in boat with inscription,,rest
Q102961790,work of art,rest,Arm rest with a landscape design and inscription,Arm rest,,,a landscape design and inscription,rest
Q102961795,work of art,rest,Arm Rest with a Peony Design,Arm Rest,,,a Peony Design,rest
Q102961804,work of art,rest,Arm rest with Chinese inscription,Arm rest,,,Chinese inscription,rest
Q102961911,work of art,container,Bamboo container with carved inscription,Bamboo container,,,carved inscription,container
Q102962001,ceramics,beaker,Beaker,Beaker,,,,beaker
Q102962054,work of art,buckle,Belt buckle with a design of a beast,Belt buckle,,of a beast,,buckle
Q102962062,work of art,hook,Belt hook in the shape of two facing dragons,Belt hook,two facing dragons,,,hook
Q102962078,ceramics,bowl,Bent bowl with a fish design,Bent bowl,,,a fish design,bowl
Q102962087,ceramics,kogo,Beppu ware incense container (Kogo) in the shape of an ox,Beppu ware incense container (Kogo),an ox,,,kogo
Q102962116,sculpture,disc,Bi disc,Bi disc,,,,disc
Q102962145,textile,cloth,"Bingata Cloth With Design of Camellia, a Stream, and Two Other Flowers",Bingata Cloth,,"of Camellia, a Stream, and Two Other Flowers",,cloth
