noun,freq,nomenclature,n_pref,wikidata,w_pref,getty,g_pref
figurine,177,12978,Figurine,Q1066288,figurine,300047455,figurines
sculpture,163,12956,Sculpture,Q860861,sculpture,300047090,sculpture (visual works)
bowl,140,11792,Bowl,Q153988,bowl,300203596,bowls (vessels)
soba-choko,121,,,Q20983127,Soba Choko,,
vase,82,1508,Vase,Q191851,vase,300132254,vases
cup,73,4771,Cup,Q81727,cup,300043202,cups (drinking vessels)
bottle,60,11787,Bottle,Q80228,bottle,300045627,bottles
dish,60,4849,Eating Dish,Q99513137,dish,300423925,eating dish
jar,54,11795,Jar,Q1207302,jar,300195347,jars
menuki,40,,,Q111739028,menuki,,
netsuke,38,2936,Netsuke,Q543901,netsuke,300184865,netsukes
mirror,35,1403,Mirror,Q35197,mirror,300037682,mirrors
seal,34,13997,Seal,Q162919,seal,300028877,seals (artifacts)
pot,29,4088,Crockpot,Q3399907,crock,300199857,crockpot
plate,24,4867,Food Plate,Q57216,plate,300042973,dishes (vessels for food)
container,23,11743,Containers,Q987767,container,300197197,containers (receptacles)
hair ornament,23,1977,Hair Ornament,Q21369154,hairstyle accessory,300209287,hair ornaments
pitcher,22,5246,Pitcher,Q132397,pitcher,300194765,pitchers (vessels)
kogo,20,1520,Incense Box,Q11667200,Kōgō,300426439,incense boxes
unclassified,20,14923,Unidentified Object,Q18563147,unidentified object,300431978,unidentified works
mask,19,13203,Ritual Mask,Q21550451,ceremonial mask,300263916,ceremonial masks
mold,19,5402,Mold,Q1941820,mold,300024814,molds (shaping equipment)
tsuba,19,,,Q1758043,tsuba,300312096,tsuba
box,18,11754,Box,Q188075,box,300045643,boxes (containers)
teapot,18,5256,Teapot,Q245005,teapot,300043022,teapots
textile,18,15103,Textile Art,Q10988986,textile art,300386843,textile art (visual works)
carving,17,12958,Carving,Q97570030,carving,300047203,carvings (visual works)
vessel,17,11785,Vessel,Q16896124,bin,300193015,vessels (containers)
coin,16,13826,Coin,Q41207,coin,300037222,coins (money)
case,13,11762,Case,Q987767,container,300045659,cases (containers)
suiteki,13,,,Q2153373,water-dropper,,
armrest,12,,,Q2822867,armrest,300299135,armrests (object genre)
cloth,12,,,Q5849500,cloth,300162391,cloth
yatate,12,11591,Scribe Set,Q1894855,yatate,300431552,scribe sets
ferrule,11,6581,Ferrule,Q3761748,ferrule,300233319,ferrules
plaque,11,12953,Decorative Plaque,Q4364339,plaque,300424370,decorative plaque
doll,10,14747,Doll,Q168658,doll,300211087,dolls (figurines)
fan,10,2772,Hand Fan,Q193220,hand fan,300426942,hand fans
