accession_number,height,width,max_height,max_width
1956.031,225,141,225,141
1957.003,1000,1706,2859,4878
1957.004,397,488,397,488
1957.005,364,438,364,438
1957.012,460,304,460,304
1957.014,425,340,425,340
1957.016,245,386,245,386
1957.017,492,354,492,354
1957.018,410,304,410,304
1957.019,456,355,456,355
1957.020,409,297,409,297
1957.034,501,366,501,366
1957.035,460,304,460,304
1957.043,442,306,442,306
1957.044,409,495,409,495
1957.046,443,226,443,226
1964.001,384,500,384,500
1964.002,381,500,381,500
1964.003,387,500,387,500
1964.004,500,407,500,407
1964.005,394,500,394,500
1964.006,382,500,382,500
1964.007,500,412,500,412
1964.008,500,434,500,434
1964.009,356,500,356,500
1964.010,363,500,363,500
1964.011,379,500,379,500
1964.012,500,414,500,414
1964.013,310,500,310,500
1964.014,500,402,500,402
1964.015,390,500,390,500
1964.016,388,500,388,500
1964.017,386,500,386,500
1964.018,395,500,395,500
1964.019,500,408,500,408
1964.020,398,500,398,500
1965.002,1258,999,2100,1668
1965.003,999,1345,2521,3393
1966.001,1026,1000,2486,2423
1966.002,379,500,379,500
1966.004,1143,1000,2694,2356
1966.005,1358,1000,4352,3204
1966.011,1000,1333,2448,3264
1968.002,999,1295,2161,2800
1968.012,1391,999,4006,2878
1969.005,1345,1000,3727,2770
1969.007,1472,1000,3975,2700
1969.010,1357,1000,3664,2699
1969.015,162,552,162,552
1969.072,1239,1000,3906,3151
1969.075,482,360,482,360
1969.077,1326,1000,1341,1011
1969.079,1000,1362,2974,4051
1970.003,342,257,342,257
1970.006,1363,1000,4033,2958
1970.009,1253,999,2915,2325
1970.011,999,1473,2946,4342
1970.012,1000,1429,3140,4489
1970.013,1507,1000,4584,3041
1970.014,1000,1358,3404,4624
1970.015,1000,1447,3242,4692
1970.020,1000,1385,3294,4565
1970.021,1373,1000,4161,3030
1970.023,1053,999,3654,3467
1970.024,1026,1000,3654,3559
1970.027,1318,999,4765,3613
1970.034,1333,1000,2448,3264
1970.035,1465,1000,4837,3300
1970.042,1000,1370,3509,4809
1970.044,1000,1470,3124,4595
1970.047,1473,1000,5040,3420
1970.051,1285,1000,2655,2066
1970.056,1147,1000,3542,3088
1971.009,1000,1247,2465,3075
1971.014,1277,1000,4102,3212
1971.019,1469,1000,4858,3306
1971.043,1000,1391,1329,1849
1971.050,1000,1466,2521,3697
1971.056,1000,1717,1255,2155
1971.067,1385,1000,4072,2939
1972.010,1313,1000,3927,2990
1972.014,1326,999,3256,2454
1972.015,1567,999,4398,2805
1972.067,1484,1000,3529,2378
1972.079,1391,1000,2109,2934
1973.003,477,360,477,360
1973.004,504,326,504,326
1973.007,1385,999,4390,3168
1973.024,1366,999,4724,3456
1973.026,999,1008,2373,2394
1974.003,1255,999,3948,3144
1974.004,1000,1007,3283,3307
1974.005,1000,1333,2448,3264
1974.006,999,1245,3063,3816
1974.008,1000,1600,1758,2813
1974.009,1000,1552,1812,2813
1974.010,1000,1580,1812,2863
1974.011,1000,1602,1797,2880
1974.011a,999,1469,2613,3841
1974.016,999,1305,2377,3104
1974.017,999,1003,3184,3196
1974.018,1000,1412,1818,2568
1974.019,1000,1412,1818,2568
1974.020,1000,1412,1818,2568
1975.008,291,394,291,394
1975.014,600,441,600,441
1975.015,1000,1366,3416,4668
1975.017,1331,1000,3127,2349
1975.030,1253,1000,3902,3114
1975.034,1266,1000,3938,3110
1975.036,1494,1000,3961,2650
1975.046,1302,1000,3858,2963
1975.055,999,1004,2645,2656
1975.056,1317,1000,4324,3283
1975.057,1494,1000,4303,2879
1975.058,1501,999,4277,2848
1975.060,1000,2478,1040,2578
1976.004,1000,1500,3456,5184
1976.010,1272,1000,4138,3253
1976.013,1000,1597,1115,1781
1976.015,1301,1000,2991,2298
1976.017,1000,1648,2296,3784
1976.019,1000,1175,3206,3768
1976.021,462,360,462,360
1976.033,1341,1000,2979,2221
1978.028,1522,1000,4090,2687
1978.029,1504,1000,4830,3211
1978.035,999,1356,1768,2399
1978.041,1000,1350,2332,3149
1979.0028,999,1263,2539,3208
1979.0055,2083,1000,4529,2174
1979.0056,1492,999,4443,2976
1979.0060,1341,1000,4007,2987
1979.0062,1393,999,4141,2971
1979.0063,1333,1000,2448,3264
1979.0064,1276,999,4187,3279
1979.0065,1575,1000,5400,3428
1979.0075,1280,1000,4280,3343
1979.0076,1000,1500,3456,5184
1979.0077,1500,1000,5184,3456
1979.0078,1000,1500,3456,5184
1979.0079,1000,1500,3456,5184
1979.0080,1500,1000,5184,3456
1979.0081,999,1543,3358,5184
1979.0082,1000,1500,3456,5184
1979.0083,1469,1000,4833,3289
1979.0084,1000,1500,3456,5184
1979.0089,1520,1000,1945,1279
1979.0090,999,1181,1338,1581
1979.0178,1519,1000,5438,3579
1979.0179,1208,1000,4269,3532
1979.0332P,1002,1000,3532,3524
1979.0333P,1283,1000,3980,3102
1979.0334P,999,1286,3133,4032
1979.0336P,1000,1300,1968,2559
1979.0337P,1138,1000,2541,2232
1979.0342P,1609,1000,5151,3201
1979.0347P,1296,999,3732,2878
1979.0350P,1427,1000,4434,3107
1979.0351P,1000,1335,2966,3961
1979.0352P,1313,1000,3920,2985
1979.0356P,1343,1000,3896,2900
1979.0359P,999,1085,1096,1190
1979.0360P,1000,1222,2884,3525
1979.0363P,999,1364,3323,4535
1979.0364P,999,1343,3565,4791
1979.0365P,1000,2424,1423,3450
1979.0366P,999,1271,2526,3213
1979.0368P,999,1366,2787,3808
1979.0377P,360,554,360,554
1979.0379P,1015,999,3304,3252
1979.0677P,1559,1000,4990,3200
1979.0678P,1272,1000,4080,3206
1979.0682P,1363,999,2371,3234
1979.0683P,600,400,600,400
1979.0684P,999,1261,3173,4004
1979.0685P,1313,1000,4174,3177
1979.0687P,1402,1000,4765,3398
1979.0690P,1000,1306,3288,4297
1979.0691P,999,1528,3217,4918
1979.0693P,999,1210,3472,4204
1979.0694P,1453,1000,4612,3174
1979.0697P,1510,1000,4748,3144
1979.0704P,1111,1000,3636,3271
1979.0706P,1408,1000,4531,3218
1979.0708P,1000,1276,2960,3777
1979.0709P,1334,1000,4268,3198
1979.0710P,1000,1245,3114,3877
1979.0712P,1500,1000,3561,2374
1979.0713P,1000,1316,2868,3775
1979.0720P,1000,1378,3118,4298
1979.0722P,1000,1412,3080,4349
1979.0724P,1313,999,4295,3269
1979.0725P,1670,999,5061,3029
1979.0731P,1000,1307,3350,4380
1979.0735P,1000,2147,2138,4592
1979.0736P,999,1715,2823,4844
1979.0750P,999,1299,3023,3928
1979.0751P,1343,999,4190,3118
1979.0752P,1000,1291,2938,3795
1979.0753P,1000,1385,2194,3040
1979.0754P,999,1319,2490,3286
1979.0761P,1000,1241,3336,4143
1979.0763P,1297,1000,4236,3265
1979.0764P,1257,1000,4222,3358
1979.0765P,1000,1381,3235,4468
1979.0767P,1324,1000,4290,3240
1979.0768P,999,1340,3051,4090
1979.0773P,1416,1000,5142,3631
1979.0775P,1363,1000,4196,3077
1979.0779P,1000,1589,3203,5090
1979.0780P,999,1338,3129,4189
1979.0807P,1260,999,3857,3059
1979.0808P,2756,1000,4832,1753
1979.0835P,874,1152,874,1152
1979.0837P,1508,999,2437,1615
1979.0838P,1410,1000,3175,2251
1979.0884P,1000,1668,1194,1992
1979.0908P,500,367,500,367
1979.0909P,1000,1017,1332,1355
1979.0911P,1275,999,1396,1781
1979.0916P,1006,1000,1546,1556
1979.0919P,999,1340,2887,3871
1979.0921P,1333,999,2662,1996
1979.1132P,1000,1913,2317,4434
1979.1186P,1000,1513,3000,4539
1979.1187P,1376,1000,3316,2409
1979.1188P,3045,1000,4726,1552
1979.1189P,1518,999,4578,3014
1979.1190P,1529,1000,4653,3042
1979.1191P,1507,999,4631,3071
1979.1192P,1529,1000,4612,3015
1979.1193P,1517,999,4607,3035
1979.1194P,1526,1000,4627,3032
1979.1196P,1771,999,4770,2692
1979.1197P,1000,1517,3023,4588
1979.1198P,1526,1000,4786,3136
1979.1199P,1547,999,4775,3085
1979.1200P,1522,1000,4587,3013
1979.1210P,1603,1000,4849,3024
1979.1245P,1401,999,2327,1660
1980.003,1000,1689,3019,5100
1980.010,999,1019,2832,2888
1980.015,1078,918,918,1078
1980.018,1000,1429,3310,4730
1980.024,1342,1000,4267,3178
1980.041,1000,1462,2025,2961
1980.042,1000,1512,2000,3025
1980.043,1000,1462,2015,2946
1980.044,1510,1000,2941,1947
1980.045,1508,1000,2971,1970
1980.046,1289,1000,4456,3456
1980.047,999,1333,2391,3189
1980.048,1000,1217,2958,3600
1980.053,999,1300,2933,3814
1980.056,1000,1511,3121,4716
1980.057,1000,1333,2448,3264
1980.058,1000,2037,2189,4460
1980.065,1000,2014,2172,4375
1980.066,1000,2031,2175,4418
1980.067,1000,2022,2196,4442
1980.068,1000,2035,2161,4398
1980.069,1000,2011,2210,4446
1980.070,1000,1314,2377,3124
1980.071,999,1376,3181,4378
1980.086,1283,999,3854,3002
1980.089,1570,1000,5056,3219
1980.090,1262,999,4183,3312
1980.091,1187,1000,3684,3103
1980.096,1333,1000,2448,3264
1980.097,1000,1316,3106,4088
1980.098,1000,1318,3106,4094
1980.099,1000,1318,3106,4094
1980.100,1000,1318,3106,4094
1980.101,1000,1318,3106,4094
1980.102,1000,1340,3055,4094
1980.103,1000,1318,3106,4094
1980.104,999,1332,3073,4094
1980.105,1000,1304,3106,4053
1980.106,1000,1318,3106,4094
1980.107,1000,1298,3106,4032
1980.108,1000,1308,3106,4064
1980.109,1000,1318,3106,4094
1980.111,384,504,384,504
1980.112,1000,1343,3275,4399
1980.113,384,504,384,504
1980.114,1000,1319,3094,4082
1980.117,999,1355,3245,4399
1980.118,1000,1310,3305,4331
1980.119,1000,1309,3244,4248
1980.120,1000,1351,3260,4407
1980.121,1000,1312,3282,4309
1980.123,1000,1361,3230,4399
1980.125,1000,1332,2742,3654
1980.126,999,1331,3298,4392
1981.015,1000,1229,3186,3916
1981.016,1000,1303,3121,4067
1981.017,1000,1259,3286,4138
1981.018,1344,1000,3127,2326
1981.020,1000,1256,2948,3704
1981.021,1304,1000,3534,2710
1981.022,1333,1000,2448,3264
1981.023,1000,1011,3160,3196
1981.024a,1303,1000,2105,1615
1981.024b,1064,1000,1903,1788
1981.024c,1000,1362,1753,2388
1981.024d,1000,1066,2001,2134
1981.024e,999,1443,1638,2365
1981.024f,1163,999,1892,1626
1981.024g,1000,1297,1725,2238
1981.024h,1194,1000,2088,1748
1981.024i,1000,1984,1401,2780
1981.024j,1359,999,1961,1442
1981.027,1364,1000,4575,3352
1981.029,1000,1333,2448,3264
1982.002,1253,999,3796,3028
1982.003,1270,1000,3834,3018
1982.009,1025,1000,1762,1719
1982.011,1025,1000,1762,1719
1982.012,1025,1000,1762,1719
1982.015,1002,999,1696,1691
1982.016,999,1007,1678,1691
1982.017,1003,1000,1668,1663
1982.018,1003,1000,1668,1663
1982.019,1019,999,1743,1709
1982.020,1014,1000,1696,1672
1982.022,1008,999,1687,1672
1982.027,1025,999,1715,1672
1982.028,1025,999,1715,1672
1982.030,1008,999,1687,1672
1982.031,1032,1000,1706,1653
1982.035,1031,999,1734,1681
1982.036,1000,1011,3488,3528
1982.037,1014,999,1706,1681
1982.038,999,1007,1650,1663
1982.040,1000,1019,3500,3568
1982.041,1014,999,1725,1700
1982.044,1003,999,1706,1700
1982.051,999,1014,3468,3520
1982.052,999,1021,3532,3608
1982.053,1016,1000,1608,1582
1982.054,1006,999,1588,1577
1982.055,1004,1000,1567,1560
1982.057,999,1014,1569,1592
1982.058,1004,1000,1581,1574
1982.060,1071,1000,1771,1653
1982.061,999,1230,3353,4126
1982.062,999,1297,2925,3796
1982.063,1000,1291,2971,3836
1982.065,1333,1000,2448,3264
1982.069,1299,1000,3527,2715
1982.070,1262,1000,2832,2243
1982.071,1533,1000,2553,1665
1982.072,1302,1000,2381,1828
1982.073,1540,1000,2619,1700
1982.074,1273,1000,2924,2296
1982.075,1366,999,2839,2077
1982.080,1005,999,3552,3532
1982.081,1001,1000,3548,3543
1982.082,1007,1000,3564,3537
1982.083,999,1009,3547,3582
1982.084,1000,1002,3565,3573
1982.085,1000,1007,3559,3584
1982.086,1004,1000,3548,3533
1982.087,999,1000,3542,3544
1982.088,1000,1002,3542,3550
1982.089,1004,1000,3571,3556
1982.090,1009,1000,3571,3538
1982.091,1000,999,3559,3556
1982.092,1002,999,3548,3538
1982.093,1005,999,3564,3544
1982.094,1001,1000,3548,3544
1982.095,999,1000,3554,3556
1982.096,1008,1000,3612,3582
1982.097,999,1003,3536,3550
1982.098,1001,1000,3531,3527
1982.099,1000,1008,3548,3579
1982.100,999,1000,3530,3533
1984.039,1523,1000,4676,3070
1984.045,1190,1000,2451,2059
1984.048,1000,3384,1402,4745
1985.007,999,1362,3249,4426
1985.014,1179,1000,3392,2876
1985.019,1000,1997,1452,2900
1986.011,1524,1000,4676,3068
1986.012,1510,1000,4091,2708
1986.019,1000,1500,3456,5184
1988.002,1000,1508,2960,4464
1988.008,1000,1373,3037,4171
1988.011,1000,1500,3456,5184
1988.017,755,591,755,591
1988.019,537,654,537,654
1988.027,1000,1295,5159,6684
1988.028,1391,1000,3416,4753
1988.031,999,1368,1687,2309
1988.032,1525,999,3575,2343
1988.033a,1000,1469,2887,4243
1988.033b,1000,1483,2887,4283
1988.033c,1000,1490,2877,4288
1988.033d,1000,1477,2882,4258
1988.033e,1000,1484,2892,4293
1988.033f,1000,1491,2872,4283
1988.033g,1000,1482,2882,4273
1988.033h,1000,1458,2906,4238
1988.036,1373,1000,5768,4201
1988.037,3128,1000,4805,1536
1988.039,999,1307,3338,4366
1988.040,1417,1000,4194,2959
1988.041,1314,1000,3393,2581
1988.042,1000,1175,3102,3646
1988.043,663,324,663,324
1988.044,1316,1000,3121,2371
1988.047,2237,1000,3650,1631
1988.048,2152,1000,3392,1576
1988.049,2429,1000,3659,1506
1988.073,1347,1000,4287,3182
1988.080,1000,1308,2550,3337
1988.082,1000,1583,1687,2671
1988.083,1000,1596,1650,2634
1988.084,1000,1333,2448,3264
1988.085,1477,1000,4863,3292
1988.102b,1000,1568,2671,4190
1989.007,999,1450,2508,3639
1989.008,535,349,535,349
1989.009,1386,1000,3486,2514
1989.026,1249,1000,1771,2212
1989.027,1000,1537,1640,2521
1989.042,1458,999,3593,2463
1989.043,490,667,490,667
1989.044,1000,2229,2010,4482
1989.045,528,1125,528,1125
1989.047,1000,1397,3100,4332
1989.050,1000,1523,2752,4193
1990.011,1000,1004,1389,1395
1990.012,1022,999,1384,1353
1991.025,1333,1000,2448,3264
1991.026,1333,1000,2448,3264
1992.100,880,1100,880,1100
1992.108,999,1333,1809,2413
1992.109,1000,1327,1818,2413
1992.110,999,1345,1790,2409
1992.115,999,1555,2682,4173
1992.116,1000,1368,2400,3284
1992.118,1000,1330,3384,4503
1992.129,1473,1000,4632,3144
1992.130,1499,1000,3823,2550
1992.131,1421,1000,3744,2634
1992.132,1342,1000,3384,2521
1992.133,1000,1359,2540,3453
1992.138,1501,1000,4363,2906
1992.250,999,1028,4554,4684
1992.258,999,1238,1528,1893
1992.272,1487,1000,4356,2928
1992.296,999,1403,2921,4100
1992.297,1000,1135,3184,3614
1992.298,999,1012,3199,3238
1992.300,1115,1000,3159,2832
1992.301,999,1123,3075,3456
1992.302,1000,1126,2941,3312
1992.303,999,1376,3139,4322
1992.304,1166,1000,3090,2649
1992.305,1000,1119,3238,3624
1992.306,1000,1163,2911,3387
1992.307,1000,1042,3169,3303
1992.308,1000,1187,3114,3699
1992.309,1000,1022,3090,3159
1992.339,999,1424,2118,3018
1992.340,1000,1428,2076,2965
1992.391A-F,1116,1000,3196,2863
1992.392,1208,1000,2828,2340
1992.393,1247,999,2900,2324
1992.394,1202,1000,2723,2265
1992.395,1249,1000,2907,2327
1992.396,1212,1000,2784,2296
1992.398,1195,999,2756,2305
1992.399,1269,1000,2763,2177
1992.404,1539,999,5066,3290
1992.406,1000,1664,2847,4738
1992.407,1000,1131,3015,3411
1992.408,1000,1380,3060,4223
1992.409,999,1398,3164,4426
1992.410,1000,1280,3005,3847
1992.411,999,1243,2931,3644
1992.412,999,1308,3159,4134
1992.413,999,1307,3184,4164
1992.414,1000,1261,2956,3728
1992.415,1000,1362,3253,4431
1992.416,1000,1374,3199,4397
