local_filename,qid,commons_id,accession_number,rank,kilobytes,height,width,photo_inception,extension,directory,label_en,commons_image_name,iiif_manifest,manifest_label,upload_notes
1956-001.tif,Q102961253,M122562148,1956.001,primary,73531,2611,4805,2020-07-23,tif,1956,A group of muffs and other articles of dress on a table,A group of muffs and other articles of dress on a table - Vanderbilt Fine Arts Gallery - 1956-001.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.001.json,,
1956.002.tif,Q103296446,M122617251,1956.002,primary,86058,4471,3284,2012-10-17,tif,1956,A Flower Piece (after Jan van Huysum),A Flower Piece (after Jan van Huysum) - Vanderbilt Fine Arts Gallery - 1956.002.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.002.json,,
1956-003.tif,Q103297456,M122641532,1956.003,primary,47806,3600,2265,2020-08-18,tif,1956,Bishop Hacket,Bishop Hacket - Vanderbilt Fine Arts Gallery - 1956-003.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.003.json,,
1956.004.jpg,Q103310070,M122695514,1956.004,primary,122,696,452,2010-02-22,jpg,1956,The Raising of Lazarus (after Leandro Bassano),The Raising of Lazarus (after Leandro Bassano) - Vanderbilt Fine Arts Gallery - 1956.004.jpg,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.004.json,,
1956.006.jpg,Q102974173,M122611522,1956.006,primary,58,365,436,2010-02-22,jpg,1956,The Farmhouse by the Water,The Farmhouse by the Water - Vanderbilt Fine Arts Gallery - 1956.006.jpg,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.006.json,,
1956.007.tif,Q103306172,M122676580,1956.007,primary,33728,3888,2958,2010-02-03,tif,1956,Ornament designs,Ornament designs - Vanderbilt Fine Arts Gallery - 1956.007.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.007.json,,
1956.008.jpg,Q102962018,M122564608,1956.008,primary,34,461,295,2010-02-22,jpg,1956,"Beggar Woman with a Bowl, from Les Gueux (The Beggars), a series of 25 etchings","Beggar Woman with a Bowl, from Les Gueux (The Beggars), a series of 25 etchings - Vanderbilt Fine Arts Gallery - 1956.008.jpg",https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.008.json,,
1956.009.jpg,Q103298861,M122649995,1956.009,primary,29,407,272,2010-02-22,jpg,1956,"Corpulent Beggar with Empty Cap, plate 21, from Les Gueux (The Beggars), a series of 25 etchings","Corpulent Beggar with Empty Cap, plate 21, from Les Gueux (The Beggars), a series of 25 etchings - Vanderbilt Fine Arts Gallery - 1956.009.jpg",https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.009.json,,
1956.010.jpg,Q102962009,M122564601,1956.010,primary,78,737,479,2010-02-22,jpg,1956,"Beggar with Dog, from Les Gueux (The Beggars), a series of 25 etchings","Beggar with Dog, from Les Gueux (The Beggars), a series of 25 etchings - Vanderbilt Fine Arts Gallery - 1956.010.jpg",https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.010.json,,
1956.011.jpg,Q102962014,M122564604,1956.011,primary,32,435,287,2010-02-22,jpg,1956,"Beggar Woman Holding Coins, from Les Gueux (The Beggars), a series of 25 etchings","Beggar Woman Holding Coins, from Les Gueux (The Beggars), a series of 25 etchings - Vanderbilt Fine Arts Gallery - 1956.011.jpg",https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.011.json,,
