qid,local_filename,local_identifier,rank,label,notes,kilobytes,height,width,photo_inception,subdir
Q102305506,2017.001.062.tif,2017.001.062,primary,,,29145,2492,3992,2018-06-20,2017
Q102961140,2016.002.01.tif,2016.002.01,primary,,,28842,2731,1801,2016-03-22,2016
Q102961146,2016.002.03.tif,2016.002.03,primary,,,46193,2366,3330,2016-03-22,2016
Q102961155,2016.002.04.tif,2016.002.04,primary,,,50677,2553,3386,2016-03-22,2016
Q102961211,2004.065.jpg,2004.065,primary,,,32,292,375,2010-02-24,2004
Q102961454,2015.037qq.tif,2015.037qq,primary,,,32867,2936,3821,2015-09-22,2015
Q102961486,2015.038j.tif,2015.038j,primary,,,21951,2918,3814,2014-05-21,2015
Q102961491,1970.044.tif,1970.044,primary,,,84134,3124,4595,2012-03-22,1970
Q102961498,2012.008o.tif,2012.008o,primary,,,34677,3011,3928,2013-05-31,2012
Q102961514,1991.025.JPG,1991.025,primary,,,1383,2448,3264,2017-04-13,1991
Q102961521,1976.013.tif,1976.013,primary,,,5819,1115,1781,2010-04-08,1976
Q102961573,1994.538d.tif,1994.538d,primary,,,104999,3456,5184,2012-03-20,1994
Q102961681,1982.081.tif,1982.081,primary,,,36848,3548,3543,2014-11-06,1982
Q102961720,2015.037u.tif,2015.037u,primary,,,32795,2925,3827,2015-09-22,2015
Q102961809,1966.002.jpg,1966.002,primary,,,295,379,500,2010-02-21,1966
Q102961870,1979.0363P.tif,1979.0363P,primary,,,88325,3323,4535,2012-11-29,1979
Q102961996,2015.038a.tif,2015.038a,primary,,,22900,2916,3812,2015-09-28,2015
Q102962026,2012.008y.tif,2012.008y,primary,,,34049,2984,3892,2013-05-31,2012
Q102962043,2004.077.jpg,2004.077,primary,,,39,330,441,2010-02-24,2004
Q102962130,1970.012.tif,1970.012,primary,,,82615,3140,4489,2012-05-02,1970
Q102962233,2012.008jj.tif,2012.008jj,primary,,,34673,3928,3011,2013-05-31,2012
Q102962260,2002.024.jpg,2002.024,primary,,,298,354,504,2010-02-23,2002
Q102962318,1980.123.tif,1980.123,primary,,,41665,3230,4399,2012-03-12,1980
