qid,local_filename,local_identifier,rank,label,notes,kilobytes,height,width,photo_inception,subdir
Q65080716,1956-032.tif,1956.032,primary,,,144511,5993,4114,2020-07-23,1956
Q76552832,1965.002.tif,1965.002,primary,,,10263,2100,1668,2010-02-02,1965
Q102973699,1972.007lg.jpg,1972.007,primary,,,7169,2652,3424,2009-02-16,1972
Q102974797,1972.009lg.jpg,1972.009,primary,,,5920,2420,3052,2009-02-16,1972
Q94971493,1975.059_front.jpg,1975.059,primary,,,5750,2588,3408,2009-05-05,1975
Q102966191,1976.020.tif,1976.020,primary,,,444,0,0,2010-02-22,1976
Q80566046,1979.0659P.tif,1979.0659P,primary,,,40262,5009,2740,2008-11-10,1979
Q105091596,1980.060c.tif,1980.060c,primary,,,36680,3980,2359,2015-10-27,1980
Q103300555,2000.003.tif,2000.003,primary,,,27297,3516,2647,2010-04-07,2003
Q105091744,2000.072.JPG,2000.072,primary,,,1561,3000,1919,2008-05-09,2000
Q94002062,2002.014.jpg,2002.014,primary,,,2837,1926,3471,2010-07-11,2002
Q102976419,2003.005a.tif,2003.005a,primary,,,62285,3307,3213,2012-03-22,2011
Q105092118,2009.028.jpg,2009.028,primary,,,104,600,472,2008-05-09,2009
Q103311583,2013.035k.tif,2013.035k,primary,,,126598,7200,6000,2014-02-05,1974
