accession_number,mid,description,score,topicality
1978.164,/m/0gkxy13,Handwriting,0.89032775,0.89032775
1978.164,/m/03gq5hm,Font,0.8413516,0.8413516
1978.164,/m/0641k,Paper,0.67719483,0.67719483
1978.164,/m/0h8p59j,Paper product,0.64200383,0.64200383
1978.164,/m/015bv3,Document,0.6370939,0.6370939
1978.164,/m/05fwb,Number,0.54919875,0.54919875
1978.164,/m/01mwkf,Monochrome,0.5371643,0.5371643
1978.164,/m/03yhk,Ink,0.5273747,0.5273747
1978.164,/m/0jjw,Art,0.5050735,0.5050735
1978.164,/m/01h1dd,Publication,0.50428784,0.50428784
1978.166,/m/05nnm,Organism,0.86650485,0.86650485
1978.166,/m/03gq5hm,Font,0.8424982,0.8424982
1978.166,/m/0jjw,Art,0.834418,0.834418
1978.166,/m/05qdh,Painting,0.77953804,0.77953804
1978.166,/m/0j62f,Rectangle,0.7411273,0.7411273
1978.166,/m/01kr8f,Illustration,0.72086734,0.72086734
1978.166,/m/02csf,Drawing,0.71530735,0.71530735
1978.166,/m/0641k,Paper,0.71480715,0.71480715
1978.166,/m/030zfn,Parallel,0.6814066,0.6814066
1978.166,/m/0h8p59j,Paper product,0.6766108,0.6766108
1978.167,/m/03gq5hm,Font,0.82438314,0.82438314
1978.167,/m/0gkxy13,Handwriting,0.787936,0.787936
1978.167,/m/030zfn,Parallel,0.7496009,0.7496009
1978.167,/m/0641k,Paper,0.569698,0.569698
1978.167,/m/0hwky,Pattern,0.5028861,0.5028861
1978.168,/m/01k9lj,Jaw,0.8823468,0.8823468
1978.168,/m/05nnm,Organism,0.86929584,0.86929584
1978.168,/m/0244x1,Gesture,0.85260487,0.85260487
1978.168,/m/03gq5hm,Font,0.83971244,0.83971244
1978.168,/m/0jjw,Art,0.8186926,0.8186926
1978.168,/m/0hwky,Pattern,0.7338582,0.7338582
1978.168,/m/01kr8f,Illustration,0.72091335,0.72091335
1978.168,/m/02csf,Drawing,0.7161634,0.7161634
1978.168,/m/0919rx,Line art,0.6978064,0.6978064
1978.168,/m/0p9xx,Visual arts,0.65636367,0.65636367
1978.169,/m/03gq5hm,Font,0.8296603,0.8296603
1978.169,/m/0457gc6,Material property,0.801449,0.801449
1978.169,/m/030zfn,Parallel,0.7048738,0.7048738
1978.169,/m/0gkxy13,Handwriting,0.6780212,0.6780212
1978.169,/m/05fwb,Number,0.5928165,0.5928165
1978.169,/m/0hwky,Pattern,0.56776386,0.56776386
1978.169,/m/01h1dd,Publication,0.5561038,0.5561038
1978.169,/m/0jjw,Art,0.53286,0.53286
1979.0014,/m/0838f,Water,0.9346995,0.9346995
1979.0014,/m/05y4t,Paint,0.8625454,0.8625454
1979.0014,/m/0j62f,Rectangle,0.8600406,0.8600406
1979.0014,/m/0jjw,Art,0.8405077,0.8405077
1979.0014,/m/05qdh,Painting,0.82196105,0.82196105
1979.0014,/m/025s3q0,Landscape,0.7509425,0.7509425
1979.0014,/m/034srq,Wind wave,0.7218686,0.7218686
1979.0014,/m/0p9xx,Visual arts,0.70007575,0.70007575
1979.0014,/m/01kr8f,Illustration,0.6950727,0.6950727
1979.0014,/m/02csf,Drawing,0.6926818,0.6926818
1979.0015,/m/06z37_,Picture frame,0.9409943,0.9409943
1979.0015,/m/0cblv,Ecoregion,0.9274303,0.9274303
1979.0015,/m/0j62f,Rectangle,0.9047874,0.9047874
1979.0015,/m/03d28y3,Natural landscape,0.8550468,0.8550468
1979.0015,/m/0jjw,Art,0.8550297,0.8550297
1979.0015,/m/01bqvp,Sky,0.83303136,0.83303136
1979.0015,/m/05s2s,Plant,0.827928,0.827928
1979.0015,/m/05y4t,Paint,0.8230554,0.8230554
1979.0015,/m/0dw9f6,Creative arts,0.80740726,0.80740726
1979.0015,/m/05qdh,Painting,0.80634886,0.80634886
1979.0016,/m/0h90w5d,Art paint,0.97284937,0.97284937
1979.0016,/m/05s2s,Plant,0.91034293,0.91034293
1979.0016,/m/05y4t,Paint,0.89768225,0.89768225
1979.0016,/m/03d28y3,Natural landscape,0.8681348,0.8681348
1979.0016,/m/05qdh,Painting,0.8233273,0.8233273
1979.0016,/m/08t9c_,Grass,0.82079935,0.82079935
1979.0016,/m/0jjw,Art,0.80923283,0.80923283
1979.0016,/m/083vt,Wood,0.7985127,0.7985127
1979.0016,/m/07j7r,Tree,0.7884081,0.7884081
1979.0016,/m/025s3q0,Landscape,0.7704864,0.7704864
1979.0026,/m/09q2t,Brown,0.98046786,0.98046786
1979.0026,/m/0j62f,Rectangle,0.8853946,0.8853946
1979.0026,/m/036k5h,Grey,0.841537,0.841537
1979.0026,/m/0jjw,Art,0.8197863,0.8197863
1979.0026,/m/05qdh,Painting,0.7588003,0.7588003
1979.0026,/m/0p9xx,Visual arts,0.6625175,0.6625175
1979.0026,/m/083vt,Wood,0.6299151,0.6299151
1979.0026,/m/06z37_,Picture frame,0.6191222,0.6191222
1979.0026,/m/0dgsmq8,Artwork,0.5702041,0.5702041
1979.0026,/m/01cbzq,Rock,0.5522314,0.5522314
