accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1978.166,Person,0.68367344,0.8057862,0.873877,0.5783271,0.8750244,1115,1209,578,875
1978.166,Person,0.6784566,0.66038144,0.7325383,0.6062475,0.8531813,914,1014,606,853
1978.166,Person,0.656343,0.27114835,0.33223173,0.6116881,0.8445134,375,460,612,845
1978.166,Person,0.6411661,0.6043989,0.6829094,0.61375165,0.8366974,836,945,614,837
1978.166,Animal,0.6406792,0.5302385,0.59391433,0.6752446,0.8800363,734,822,675,880
1978.166,Person,0.6214819,0.12461636,0.18006235,0.6090308,0.8536985,172,249,609,854
1978.166,Person,0.62124044,0.73416704,0.8078475,0.61262006,0.8770248,1016,1118,613,877
1978.166,Person,0.6102019,0.3185319,0.3929807,0.62803715,0.88627595,441,544,628,886
1978.166,Person,0.60030454,0.5295034,0.5957683,0.6763622,0.8906285,733,825,676,891
1978.166,Person,0.59904265,0.23264004,0.2933051,0.5961155,0.8649716,322,406,596,865
1978.168,Person,0.6245764,0.041447636,0.24739033,0.50156707,0.95617086,64,383,502,956
1978.168,Person,0.6181788,0.5267386,0.7091964,0.088994734,0.35366714,816,1099,89,354
1978.168,Person,0.59644455,0.827336,0.94099647,0.53255117,0.9016824,1282,1459,533,902
1978.168,Person,0.5914841,0.5637002,0.70129675,0.4947311,0.8894353,874,1087,495,889
1978.168,Person,0.5885828,0.7077678,0.84216493,0.51897687,0.8718827,1097,1305,519,872
1978.168,Clothing,0.543993,0.5298061,0.7047971,0.09231445,0.3537223,821,1092,92,354
1978.168,Person,0.51433796,0.26676032,0.4379644,0.45134616,0.81133866,413,679,451,811
1979.0014,Animal,0.66822916,0.356868,0.9255892,0.8045826,0.94493717,420,1089,805,945
1979.0014,Animal,0.6675725,0.43364015,0.59875876,0.49163964,0.5896757,510,705,492,590
1979.0014,Animal,0.6288074,0.054109577,0.16794151,0.51027733,0.60052854,64,198,510,601
1979.0014,Animal,0.5899519,0.114819355,0.25126138,0.48009333,0.5722559,135,296,480,572
1979.0014,Packaged goods,0.52533484,0.029270964,0.9635017,0.05159125,0.9622199,34,1134,52,962
1979.0015,Picture frame,0.92645144,0.049206108,0.942049,0.03842368,0.959138,49,942,52,1289
1979.0015,Animal,0.6200288,0.49475622,0.6702927,0.6090146,0.6718884,495,670,819,903
1979.0015,Animal,0.59512514,0.4650922,0.5809876,0.5804348,0.6593146,465,581,780,886
1979.0016,Animal,0.66699696,0.35279772,0.49440467,0.5821895,0.70141953,532,746,582,701
1979.0016,Animal,0.63953394,0.76189375,0.82879156,0.45325652,0.61249584,1150,1251,453,612
1979.0016,Animal,0.6280453,0.7594337,0.9893221,0.672203,0.7615568,1146,1493,672,761
1979.0016,Animal,0.6253576,0.7254591,0.823384,0.5868903,0.70693034,1095,1242,586,706
1979.0016,Animal,0.6052268,0.30790326,0.39320445,0.42303225,0.5333679,465,593,423,533
1979.0016,Animal,0.6002055,0.44714645,0.5188107,0.4590117,0.5943439,675,783,459,594
