accession_number,mid,description,score,topicality
1979.0650P,/m/037p5b,Cheek,0.9794443,0.9794443
1979.0650P,/m/014sv8,Eye,0.9360531,0.9360531
1979.0650P,/m/0jjw,Art,0.8441268,0.8441268
1979.0650P,/m/0lxkm,Iris,0.84270525,0.84270525
1979.0650P,/m/05qdh,Painting,0.8401269,0.8401269
1979.0650P,/m/08v4gh,Vintage clothing,0.74604195,0.74604195
1979.0650P,/m/0jnvp,Baby,0.74219745,0.74219745
1979.0650P,/m/0p9xx,Visual arts,0.7002009,0.7002009
1979.0650P,/m/02csf,Drawing,0.697203,0.697203
1979.0650P,/m/01bgsw,Toddler,0.6962787,0.6962787
1979.0651P,/m/0jjw,Art,0.8319774,0.8319774
1979.0651P,/m/083vt,Wood,0.800325,0.800325
1979.0651P,/m/05qdh,Painting,0.76031536,0.76031536
1979.0651P,/m/0p9xx,Visual arts,0.6841357,0.6841357
1979.0651P,/m/03g3w,History,0.67901343,0.67901343
1979.0651P,/m/065zs54,Holy places,0.6720283,0.6720283
1979.0651P,/m/01kr8f,Illustration,0.6569054,0.6569054
1979.0651P,/m/0djmp,Ancient history,0.6456206,0.6456206
1979.0651P,/m/02skpt,Artifact,0.637273,0.637273
1979.0651P,/m/02csf,Drawing,0.6157477,0.6157477
1979.0652P,/m/0h8p5l_,Religious item,0.8383858,0.8383858
1979.0652P,/m/0jjw,Art,0.8290709,0.8290709
1979.0652P,/m/05qdh,Painting,0.7862515,0.7862515
1979.0652P,/m/06z37_,Picture frame,0.6830212,0.6830212
1979.0652P,/m/065zs54,Holy places,0.6736941,0.6736941
1979.0652P,/m/03g3w,History,0.6706546,0.6706546
1979.0652P,/m/0173tc,Chapel,0.6700341,0.6700341
1979.0652P,/m/0p9xx,Visual arts,0.6684159,0.6684159
1979.0652P,/m/0h64tv6,Religious institute,0.6497025,0.6497025
1979.0652P,/m/02nvjx,Place of worship,0.6447239,0.6447239
1979.0653P,/m/0jjw,Art,0.8453482,0.8453482
1979.0653P,/m/0h8p5l_,Religious item,0.8381369,0.8381369
1979.0653P,/m/05qdh,Painting,0.83351994,0.83351994
1979.0653P,/m/022ch,Cross,0.7563476,0.7563476
1979.0653P,/m/01kr8f,Illustration,0.7349607,0.7349607
1979.0653P,/m/065zs54,Holy places,0.7046155,0.7046155
1979.0653P,/m/09ddf,Symbol,0.69318557,0.69318557
1979.0653P,/m/03g3w,History,0.67832196,0.67832196
1979.0653P,/m/02skpt,Artifact,0.6545831,0.6545831
1979.0653P,/m/04zhd,Mythology,0.64934105,0.64934105
1979.0654P,/m/0jjw,Art,0.8476523,0.8476523
1979.0654P,/m/05qdh,Painting,0.84096795,0.84096795
1979.0654P,/m/0jnvp,Baby,0.79668367,0.79668367
1979.0654P,/m/06z37_,Picture frame,0.77933234,0.77933234
1979.0654P,/m/0p9xx,Visual arts,0.6894853,0.6894853
1979.0654P,/m/01kr8f,Illustration,0.66654056,0.66654056
1979.0654P,/m/0h8p5l_,Religious item,0.665328,0.665328
