accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1979.0650P,en,"SONDENCREAREAS
DEUTETTIIN",0.741,0.88,0.009672619047619048,0.05952380952380952,741,880,13,80
1979.0650P,,SONDENCREAREAS,0.741,0.88,0.011160714285714286,0.015625,741,880,15,21
1979.0650P,,DEUTETTIIN,0.78,0.835,0.05431547619047619,0.05952380952380952,780,835,73,80
1979.0651P,und,"Fa
PKA
003",0.403,0.743,0.07252822442695861,0.42080054738282585,403,743,212,1230
1979.0651P,,Fa,0.667,0.742,0.4050632911392405,0.42080054738282585,667,742,1184,1230
1979.0651P,,PKA,0.727,0.703,0.0766335956209374,0.0735545672254533,727,703,224,215
1979.0651P,,003,0.532,0.405,0.2654806705439617,0.24563804310639753,532,405,776,718
1979.0652P,it,"FR
0000000
GOOOD
ROTORO
RE
22
FOLLOWER OF
For BICCI DI LORENZO
HERYLLECTING",0.159,0.806,0.16448230668414154,0.9836173001310616,159,806,251,1501
1979.0652P,,FR,0.195,0.17,0.16448230668414154,0.20052424639580602,195,170,251,306
1979.0652P,,0000000,0.303,0.321,0.3669724770642202,0.42791612057667106,303,321,560,653
1979.0652P,,GOOOD,0.328,0.32,0.4508519003931848,0.4167758846657929,328,320,688,636
1979.0652P,,ROTORO,0.559,0.537,0.36959370904325034,0.33748361730013104,559,537,564,515
1979.0652P,,RE,0.574,0.56,0.399737876802097,0.4108781127129751,574,560,610,627
1979.0652P,,22,0.409,0.806,0.8709043250327654,0.9370904325032765,409,806,1329,1430
1979.0652P,,FOLLOWER,0.43,0.469,0.9698558322411533,0.9737876802096985,430,469,1480,1486
1979.0652P,,OF,0.472,0.483,0.9698558322411533,0.9737876802096985,472,483,1480,1486
1979.0652P,,For,0.457,0.481,0.9698558322411533,0.9757536041939712,457,481,1480,1489
1979.0652P,,BICCI,0.485,0.511,0.9692005242463958,0.9750982961992136,485,511,1479,1488
1979.0652P,,DI,0.516,0.528,0.9685452162516383,0.9750982961992136,516,528,1478,1488
1979.0652P,,LORENZO,0.53,0.576,0.9685452162516383,0.9744429882044561,530,576,1478,1487
1979.0652P,,HERYLLECTING,0.487,0.542,0.9783748361730014,0.9829619921363041,487,542,1493,1500
