accession_number,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y,roll_angle,pan_angle,tilt_angle,"landmarking, confidence",joy_likelihood,sorrow_likelihood,anger_likelihood,surprise_likelihood,under_exposed_likelihood,blurred_likelihood,headwear_likelihood,landmarking_confidence
1979.1039P,0.70703125,0.6631657914478619,0.735933983495874,0.089,0.201,884,981,89,201,64.84361,-1.7111442,24.39565,,1,1,1,1,1,1,1,0.46703026
1979.1177P,0.75390625,0.534,0.602,0.5998509687034277,0.6587183308494784,534,602,805,884,-1.9904857,-5.690874,-6.0262375,,4,1,1,1,1,1,1,0.8107629
1979.1177P,0.69140625,0.353,0.421,0.6065573770491803,0.665424739195231,353,421,814,893,5.466932,12.6098175,-8.755341,,1,1,1,1,1,1,1,0.6231712
1979.1182P,0.68359375,0.069,0.277,0.5182884748102139,0.6853002070393375,69,277,751,993,4.997524,-9.997893,-4.081001,,1,1,1,1,1,1,1,0.40653294
1979.1212P,0.58203125,0.433,0.57,0.1095166163141994,0.229607250755287,433,570,145,304,-7.2900596,2.9945726,3.1689851,,1,1,1,1,1,1,4,0.7870361
1979.1213P,0.51171875,0.244,0.464,0.13618157543391188,0.30640854472630175,244,464,204,459,18.545383,10.437009,-5.1229067,,5,1,1,1,1,1,5,0.71851707
1979.1227P,0.58984375,0.367,0.662,0.16055962691538975,0.38907395069953365,367,662,241,584,-3.4366112,-4.624834,-1.2995465,,5,1,1,1,1,1,1,0.722622
1979.1240P,0.578125,0.423,0.677,0.10762032085561497,0.3054812834224599,423,677,161,457,2.455417,-56.36488,0.5810843,,3,1,1,1,1,1,1,0.29625756
1979.1244P,0.69140625,0.358,0.589,0.4109406270847232,0.590393595730487,358,589,616,885,-22.153378,-22.000864,-4.698882,,1,1,1,1,1,1,1,0.049618643
1980.025,0.90625,0.396,0.737,0.1042535446205171,0.4353628023352794,396,737,125,522,0.49969357,-28.423395,1.8812866,,1,1,1,1,1,1,1,0.48520204
1981.008,0.8046875,0.46,0.579,0.08702175543885972,0.19129782445611404,460,579,116,255,1.0953387,-0.098064594,-8.538018,,1,1,1,1,1,1,2,0.45939913
