accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1979.1034P,Packaged goods,0.71956193,0.19787402,0.7540925,0.22025311,0.7569528,264,1005,220,757
1979.1039P,Sculpture,0.7140446,0.17884801,0.7479418,0.072012454,0.56941414,238,997,72,569
1979.1122P,Packaged goods,0.7638073,0.0007690972,0.98503995,0.0110655585,0.99712485,1,985,15,1309
1979.1122P,Person,0.546745,0.43631467,0.52741385,0.40153885,0.65715784,436,527,527,863
1979.1127P,Packaged goods,0.5713419,0.015635228,0.98470646,0.0034494635,0.98859423,16,985,5,1317
1979.1127P,Sock,0.54793704,0.647409,0.7449567,0.5551109,0.7521024,647,745,739,1002
1979.1136P,Person,0.52735734,0.048530877,0.17133872,0.39603987,0.8422002,75,264,396,842
1979.1136P,Person,0.51733994,0.29247496,0.41377094,0.41199502,0.83011895,451,638,412,830
1979.1136P,Packaged goods,0.51557034,0.009977308,0.9907133,0.020659031,0.97055364,15,1529,21,971
1979.1140P,Packaged goods,0.5399443,0.017684063,0.980066,0.018801028,0.9847834,18,980,24,1271
1979.1174P,Packaged goods,0.75746286,0.0068093073,0.9712169,0.036342148,0.9869494,7,971,58,1582
1979.1174P,Person,0.51556337,0.40436697,0.6246995,0.12871353,0.41293323,404,625,206,662
1979.1177P,Shoe,0.7360681,0.25083756,0.36426708,0.39049354,0.49073794,251,364,524,659
1979.1177P,Person,0.72000825,0.28730533,0.46132267,0.60778797,0.8536691,287,461,816,1146
1979.1177P,Person,0.5564511,0.46764588,0.6577435,0.6196447,0.84777457,468,658,832,1138
1979.1178P,Shoe,0.8910958,0.52895635,0.61266154,0.6138243,0.7941789,529,613,810,1048
1979.1178P,Shoe,0.8907572,0.640957,0.72135895,0.6348659,0.7882047,641,721,838,1040
1979.1178P,Shoe,0.88492197,0.719048,0.7980535,0.6383783,0.78960705,719,798,843,1042
1979.1178P,Shoe,0.87575626,0.8220658,0.89438987,0.61976624,0.79119176,822,894,818,1044
1979.1178P,Footwear,0.53525007,0.5292543,0.6140314,0.6111821,0.79891557,529,614,807,1055
1979.1178P,Shoe,0.50408286,0.3401189,0.41425955,0.35015777,0.45801875,340,414,462,605
1979.1180P,Hat,0.61907345,0.33372697,0.47886243,0.033837363,0.13195269,398,571,34,132
