accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1984.032,nl,"Edward Bridgen Esq. FR.S.
S.A.Died July 28.1787.",0.03,0.416,0.01278772378516624,0.06905370843989769,30,416,15,81
1984.032,,Edward,0.03,0.136,0.013640238704177323,0.0392156862745098,30,136,16,46
1984.032,,Bridgen,0.14,0.247,0.013640238704177323,0.0392156862745098,140,247,16,46
1984.032,,Esq,0.255,0.31,0.013640238704177323,0.0392156862745098,255,310,16,46
1984.032,,.,0.317,0.325,0.013640238704177323,0.0392156862745098,317,325,16,46
1984.032,,FR.S.,0.33,0.416,0.013640238704177323,0.0392156862745098,330,416,16,46
1984.032,,S.A.Died,0.053,0.181,0.041773231031543054,0.06820119352088662,53,181,49,80
1984.032,,July,0.189,0.251,0.042625745950554135,0.06820119352088662,189,251,50,80
1984.032,,28.1787,0.252,0.371,0.042625745950554135,0.06905370843989769,252,371,50,81
1984.032,,.,0.362,0.375,0.043478260869565216,0.06820119352088662,362,375,51,80
1984.040,la,"2
Sal Kleiner I.E.M.
HE PIDE A are four
FARLA RICMS
11
my
Joannes Philippus Franciscus, gloriosae memoria, edificavit et primum lapidem anno 1720. die zz.May posuit, hujus Iohann Philippus Francifcus lorwurdiger gedachimus, A. 1720. den . May angelegt und den ersten Stein in das
Palaty fundamenta jecit
Fundament gelegt haben.
Cum Pi S.C. Maj
thane pana pune prom four
I.A. Corvinus souls.",0.018659295093296474,0.9730476848652384,0.432,0.984,27,1408,432,984
1984.040,,2,0.28818244644091223,0.29440221147201107,0.506,0.513,417,426,506,513
1984.040,,Sal,0.018659295093296474,0.029716655148583276,0.976,0.984,27,43,976,984
1984.040,,Kleiner,0.033863165169315826,0.05459571527297857,0.976,0.984,49,79,976,984
1984.040,,I.E.M.,0.05736005528680028,0.08431237042156185,0.976,0.984,83,122,976,984
1984.040,,HE,0.21078092605390464,0.23151347615756737,0.598,0.606,305,335,598,606
1984.040,,PIDE,0.23635107118175536,0.25017277125086385,0.598,0.606,342,362,598,606
1984.040,,A,0.2543192812715964,0.25846579129232894,0.598,0.606,368,374,598,606
1984.040,,are,0.2709053213545266,0.2833448514167243,0.598,0.606,392,410,598,606
1984.040,,four,0.2895646164478231,0.29993089149965446,0.598,0.606,419,434,598,606
1984.040,,FARLA,0.35176226675881134,0.3697304768486524,0.452,0.46,509,535,452,460
1984.040,,RICMS,0.3724948168624741,0.3973738769868694,0.452,0.459,539,575,452,459
1984.040,,11,0.4892881824464409,0.5044920525224602,0.608,0.618,708,730,608,618
1984.040,,my,0.7042156185210781,0.7353144436765722,0.432,0.448,1019,1064,432,448
1984.040,,Joannes,0.0248790601243953,0.05597788527988943,0.923,0.939,36,81,923,939
1984.040,,Philippus,0.061506565307532825,0.09744298548721493,0.923,0.939,89,141,923,939
1984.040,,Franciscus,0.10366275051831375,0.14581893572909468,0.923,0.939,150,211,923,939
1984.040,,",",0.14720110573600553,0.15065653075328264,0.923,0.939,213,218,923,939
1984.040,,gloriosae,0.15342087076710437,0.18659295093296477,0.923,0.939,222,270,923,939
1984.040,,memoria,0.19073946095369732,0.22529371112646857,0.923,0.939,276,326,923,939
1984.040,,",",0.22391154111955772,0.22736696613683482,0.923,0.939,324,329,923,939
1984.040,,edificavit,0.23013130615065652,0.26399447131997233,0.923,0.939,333,382,923,939
1984.040,,et,0.26744989633724947,0.2736696613683483,0.923,0.939,387,396,923,939
1984.040,,primum,0.27574291637871456,0.3061506565307533,0.923,0.939,399,443,923,939
1984.040,,lapidem,0.3102971665514858,0.3400138217000691,0.923,0.939,449,492,923,939
1984.040,,anno,0.3455425017277125,0.36281962681409813,0.923,0.939,500,525,923,939
1984.040,,1720.,0.3655839668279198,0.38562543192812715,0.923,0.939,529,558,923,939
1984.040,,die,0.387007601935038,0.39875604699378026,0.923,0.939,560,577,923,939
1984.040,,zz.May,0.40221147201105734,0.43538355217691777,0.923,0.939,582,630,923,939
1984.040,,posuit,0.4388389771941949,0.4637180373185902,0.923,0.939,635,671,923,939
1984.040,,",",0.4637180373185902,0.4671734623358673,0.923,0.939,671,676,923,939
1984.040,,hujus,0.46855563234277814,0.48859709744298546,0.923,0.939,678,707,923,939
1984.040,,Iohann,0.49896337249481687,0.5259156876295784,0.923,0.939,722,761,923,939
1984.040,,Philippus,0.530062197650311,0.5653075328265377,0.923,0.939,767,818,923,939
1984.040,,Francifcus,0.5701451278507257,0.612992398064962,0.923,0.939,825,887,923,939
1984.040,,lorwurdiger,0.626123013130615,0.6731167933655839,0.923,0.939,906,974,923,939
