accession_number,height,width,max_height,max_width
1988.098,1000,1538,2718,4181
1988.099,999,1520,2718,4134
1988.100,1000,1515,2784,4218
1988.101,1546,1000,4218,2728
1988.102a,1000,1568,2671,4190
1988.104,2237,1000,3316,1482
1988.106,1500,1000,5184,3456
1988.108,1625,1000,5184,3189
1988.109,1500,1000,5184,3456
1988.114,1068,999,1898,1776
1988.143a,1000,2856,1667,4762
1988.143b,1000,2903,1618,4698
1988.144,1483,846,1483,846
1988.145,1451,811,1451,811
1989.010,1000,1396,2906,4059
1989.011,1261,999,1715,1359
1989.012,1401,1000,1931,1378
1989.013,999,1324,2137,2831
1989.014,1000,1397,3622,5062
1989.015,1227,999,1553,1265
1989.016,999,1487,1115,1659
1989.017,1504,1000,3440,2287
1989.018,815,1715,815,1715
1989.020,1000,1370,2960,4056
1989.024,1000,1339,2100,2812
1989.025,1000,1315,2084,2741
1989.029,1357,999,2512,1850
1989.030,1545,1000,2180,1411
1989.031,1000,1340,5108,6848
1989.032,1278,1000,4200,3285
1989.033,1386,1000,1893,2625
1989.039,1302,1000,3736,2869
1989.040,1000,1558,2876,4483
1990.004,2235,1000,4700,2102
1991.006,1603,1000,3937,2456
1991.007,1000,1177,3034,3572
1991.010,1391,1000,1953,1404
1991.011,999,1003,1032,1036
1991.013,1330,999,1537,1155
1991.014,2067,1000,2494,1206
1991.016,1457,1000,2438,1673
1991.018,577,360,577,360
1991.023,1213,1000,4478,3691
1991.024,1393,1000,5100,3659
1991.027,1000,1002,3392,3399
1992.081,385,504,385,504
1992.082,629,825,629,825
1992.083,999,1304,2215,2890
1992.084,389,504,389,504
1992.085,1000,1306,2186,2855
1992.086,1000,1321,2192,2896
1992.087,1000,1314,2086,2742
1992.088,575,775,575,775
1992.089,560,750,560,750
1992.090,1000,1321,1589,2100
1992.091,565,750,565,750
1992.092,560,750,560,750
1992.093,561,750,561,750
1992.094,567,750,567,750
1992.095,563,750,563,750
1992.096,564,750,564,750
1992.097,1000,1302,2192,2855
1992.098,576,750,576,750
1992.099,1000,1311,2142,2809
1992.101,999,1321,2109,2788
1992.102,1000,1275,2094,2671
1992.103,569,750,569,750
1992.104,559,750,559,750
1992.105,593,756,593,756
1992.106,583,755,583,755
1992.107,1335,1000,2428,1818
1992.111,1472,999,2015,1368
1992.112,1424,1000,2296,1612
1992.113,1470,999,2343,1593
1992.114,1500,1000,1940,1293
1992.117,1000,1540,2673,4117
1992.121,1333,1000,2448,3264
1992.128,1489,1000,4325,2904
1992.134,1172,864,1172,864
1992.137,1501,1000,4363,2906
1992.139 a-c,598,1200,598,1200
1992.140,1471,1000,4344,2953
1992.141,1000,1393,2962,4128
1992.143,1500,1000,4344,2896
1992.227,480,360,480,360
1992.228,1000,1000,2448,2448
1992.229,1000,1000,2448,2448
1992.232,1000,3187,1000,3187
1992.249,999,1784,2558,4566
1992.253,1313,1000,5361,4083
1992.256,695,568,695,568
1992.257,1442,1000,2128,1475
1992.259,1445,1000,2497,1728
1992.262,1440,1000,4456,3093
1992.263,1487,1000,4559,3065
1992.264,1478,1000,4559,3084
1992.273,1200,837,1200,837
1992.310,1000,1575,2850,4490
1992.311,1000,1575,2850,4490
1992.312,1000,1575,2850,4490
