accession_number,mid,description,score,topicality
1975.029,/m/01k9lj,Jaw,0.87829375,0.87829375
1975.029,/m/05qdh,Painting,0.86018026,0.86018026
1975.029,/m/0jjw,Art,0.83040655,0.83040655
1975.029,/m/05y4t,Paint,0.82854694,0.82854694
1975.029,/m/0dzdr,Chest,0.7916278,0.7916278
1975.029,/m/02csf,Drawing,0.72864014,0.72864014
1975.029,/m/031vtq,Trunk,0.71773463,0.71773463
1975.029,/m/0p9xx,Visual arts,0.7002411,0.7002411
1975.029,/m/04sk75,Figure drawing,0.69942445,0.69942445
1975.029,/m/0266180,Self-portrait,0.6875682,0.6875682
1975.030,/m/0jjw,Art,0.85979134,0.85979134
1975.030,/m/05qdh,Painting,0.8062395,0.8062395
1975.030,/m/08v4gh,Vintage clothing,0.7541112,0.7541112
1975.030,/m/0p9xx,Visual arts,0.7116505,0.7116505
1975.030,/m/01kr8f,Illustration,0.67221236,0.67221236
1975.030,/m/01n5jq,Poster,0.6652234,0.6652234
1975.030,/m/015c4z,Sitting,0.6611857,0.6611857
1975.030,/m/03g3w,History,0.64198476,0.64198476
1975.030,/m/0266180,Self-portrait,0.63868684,0.63868684
1975.030,/m/036jvk,Stock photography,0.62849355,0.62849355
1975.032,/m/050h26,Drinkware,0.9204853,0.9204853
1975.032,/m/04k94,Liquid,0.88987094,0.88987094
1975.032,/m/02p0tk3,Human body,0.88557386,0.88557386
1975.032,/m/0h8kxbv,Body jewelry,0.8590004,0.8590004
1975.032,/m/0h8n22v,Serveware,0.85184324,0.85184324
1975.032,/m/064rk,Pottery,0.8273564,0.8273564
1975.032,/m/02skpt,Artifact,0.7729576,0.7729576
1975.032,/m/0768fx,Automotive lighting,0.76166826,0.76166826
1975.032,/m/083vt,Wood,0.75303406,0.75303406
1975.032,/m/0404d,Jewellery,0.75052786,0.75052786
1975.034,/m/05s2s,Plant,0.937804,0.937804
1975.034,/m/0c9ph5,Flower,0.9177722,0.9177722
1975.034,/m/09t49,Leaf,0.891786,0.891786
1975.034,/m/05qdh,Painting,0.8309735,0.8309735
1975.034,/m/0jjw,Art,0.80837524,0.80837524
1975.034,/m/0fbflw,Terrestrial plant,0.8063172,0.8063172
1975.034,/m/01kr8f,Illustration,0.73695046,0.73695046
1975.034,/m/03gq5hm,Font,0.71177,0.71177
1975.034,/m/02csf,Drawing,0.69809234,0.69809234
1975.034,/m/0p9xx,Visual arts,0.66900474,0.66900474
1975.036,/m/015p6,Bird,0.95184964,0.95184964
1975.036,/m/01c4rd,Beak,0.8750942,0.8750942
1975.036,/m/05qdh,Painting,0.81309175,0.81309175
1975.036,/m/0jjw,Art,0.80747503,0.80747503
1975.036,/m/0dfgf,Feather,0.7951547,0.7951547
1975.036,/m/0k9mr,Songbird,0.7627305,0.7627305
1975.036,/m/0h90w5d,Art paint,0.73391557,0.73391557
1975.036,/m/01f849,Jay,0.7245728,0.7245728
1975.036,/m/02csf,Drawing,0.70412743,0.70412743
1975.036,/m/01kr8f,Illustration,0.68916863,0.68916863
1975.037,/m/0csby,Cloud,0.92743963,0.92743963
1975.037,/m/019jd,Boat,0.9257158,0.9257158
1975.037,/m/01rzcn,Watercraft,0.9240022,0.9240022
1975.037,/m/0838f,Water,0.91362303,0.91362303
1975.037,/m/05y4t,Paint,0.893674,0.893674
1975.037,/m/0h90w5d,Art paint,0.8893765,0.8893765
1975.037,/m/01bqvp,Sky,0.87754875,0.87754875
1975.037,/m/0jjw,Art,0.82893354,0.82893354
1975.037,/m/07yv9,Vehicle,0.8048709,0.8048709
1975.037,/m/05qdh,Painting,0.8025144,0.8025144
1975.038,/m/03k3r,Horse,0.98151225,0.98151225
1975.038,/m/0cblv,Ecoregion,0.9219889,0.9219889
1975.038,/m/07_gml,Working animal,0.8652225,0.8652225
1975.038,/m/03pgm,Horse tack,0.85501355,0.85501355
1975.038,/m/0h8m5n6,Horse supplies,0.853227,0.853227
1975.038,/m/04jkpd,Bridle,0.84211063,0.84211063
1975.038,/m/05qdh,Painting,0.817695,0.817695
1975.038,/m/0g2zmg,Saddle,0.8089516,0.8089516
1975.038,/m/0jxw5,Equestrianism,0.7974885,0.7974885
1975.038,/m/0zvk5,Helmet,0.78878814,0.78878814
1975.040,/m/0cgh4,Building,0.933767,0.933767
1975.040,/m/03k3r,Horse,0.9291236,0.9291236
1975.040,/m/01bqvp,Sky,0.8773108,0.8773108
1975.040,/m/07_gml,Working animal,0.83570534,0.83570534
1975.040,/m/0jjw,Art,0.82899314,0.82899314
1975.040,/m/05qdh,Painting,0.8288576,0.8288576
1975.040,/m/0csby,Cloud,0.82309294,0.82309294
1975.040,/m/01kr8f,Illustration,0.7283459,0.7283459
1975.040,/m/01n32,City,0.7114698,0.7114698
1975.040,/m/0464z4,Pack animal,0.7064599,0.7064599
1975.041,/m/0cgh4,Building,0.91339946,0.91339946
1975.041,/m/0jjw,Art,0.7838137,0.7838137
1975.041,/m/05qdh,Painting,0.7783609,0.7783609
1975.041,/m/07_gml,Working animal,0.73896503,0.73896503
1975.041,/m/01n32,City,0.71103877,0.71103877
1975.041,/m/065zs54,Holy places,0.6800116,0.6800116
1975.041,/m/01x314,Facade,0.67754793,0.67754793
1975.041,/m/01bqvp,Sky,0.6768046,0.6768046
1975.041,/m/03g3w,History,0.6764393,0.6764393
1975.041,/m/0djmp,Ancient history,0.67354274,0.67354274
1975.042,/m/0cgh4,Building,0.91637605,0.91637605
1975.042,/m/0d4v4,Window,0.86570734,0.86570734
1975.042,/m/01bqvp,Sky,0.8646121,0.8646121
1975.042,/m/01x314,Facade,0.79479796,0.79479796
1975.042,/m/02q_bfg,Tints and shades,0.76582474,0.76582474
1975.042,/m/0jjw,Art,0.76489145,0.76489145
1975.042,/m/0csby,Cloud,0.73486197,0.73486197
1975.042,/m/01ht1r,Medieval architecture,0.7318803,0.7318803
1975.042,/m/01n32,City,0.7034382,0.7034382
1975.042,/m/07_gml,Working animal,0.6932834,0.6932834
1975.043,/m/0838f,Water,0.9641769,0.9641769
1975.043,/m/019jd,Boat,0.9386021,0.9386021
1975.043,/m/01rzcn,Watercraft,0.85982317,0.85982317
1975.043,/m/0jjw,Art,0.7900861,0.7900861
1975.043,/m/02q_bfg,Tints and shades,0.7676264,0.7676264
1975.043,/m/017m8l,Waterway,0.76590115,0.76590115
1975.043,/m/0j62f,Rectangle,0.7405424,0.7405424
1975.043,/m/01bqvp,Sky,0.737263,0.737263
1975.043,/m/03g3w,History,0.6841727,0.6841727
1975.043,/m/05qdh,Painting,0.6683109,0.6683109
1975.045,/m/04hgtk,Head,0.9715271,0.9715271
1975.045,/m/014sv8,Eye,0.9405262,0.9405262
1975.045,/m/0jjw,Art,0.818221,0.818221
1975.045,/m/013_1c,Statue,0.80205375,0.80205375
1975.045,/m/06msq,Sculpture,0.7805039,0.7805039
1975.045,/m/02fbqn,Headpiece,0.76632595,0.76632595
1975.045,/m/05qdh,Painting,0.7217917,0.7217917
1975.045,/m/03f52z,Eyelash,0.71684754,0.71684754
1975.045,/m/0404d,Jewellery,0.70531785,0.70531785
1975.045,/m/0hgs2h_,Bridal accessory,0.6664623,0.6664623
1975.046,/m/0c9ph5,Flower,0.97817147,0.97817147
1975.046,/m/05s2s,Plant,0.9590364,0.9590364
1975.046,/m/01bwr,Botany,0.902918,0.902918
1975.046,/m/016q19,Petal,0.85594624,0.85594624
1975.046,/m/05qdh,Painting,0.8485416,0.8485416
1975.046,/m/0jjw,Art,0.84090346,0.84090346
1975.046,/m/0dw9f6,Creative arts,0.79561037,0.79561037
1975.046,/m/0csby,Cloud,0.79075795,0.79075795
1975.046,/m/04sjm,Flowering plant,0.7525545,0.7525545
1975.046,/m/01kr8f,Illustration,0.7417348,0.7417348
1975.050,/m/09q2t,Brown,0.98046786,0.98046786
1975.050,/m/0j62f,Rectangle,0.90093756,0.90093756
1975.050,/m/083vt,Wood,0.88921463,0.88921463
1975.050,/m/03hzcs,Beige,0.79657406,0.79657406
1975.050,/m/0jjw,Art,0.7830756,0.7830756
1975.050,/m/02q_bfg,Tints and shades,0.7555235,0.7555235
1975.050,/m/0hwky,Pattern,0.72170293,0.72170293
1975.050,/m/05qdh,Painting,0.6862166,0.6862166
1975.050,/m/0p9xx,Visual arts,0.67687935,0.67687935
1975.050,/m/04t7l,Metal,0.65565217,0.65565217
1975.051,/m/09q2t,Brown,0.98046786,0.98046786
1975.051,/m/083vt,Wood,0.8876653,0.8876653
1975.051,/m/0j62f,Rectangle,0.8759101,0.8759101
1975.051,/m/0jjw,Art,0.80860186,0.80860186
1975.051,/m/05qdh,Painting,0.8064081,0.8064081
1975.051,/m/0dw9f6,Creative arts,0.79205436,0.79205436
1975.051,/m/05y4t,Paint,0.76990813,0.76990813
1975.051,/m/07j7r,Tree,0.75912523,0.75912523
1975.051,/m/0hwky,Pattern,0.7359541,0.7359541
1975.051,/m/0p9xx,Visual arts,0.68525666,0.68525666
1975.054,/m/083vt,Wood,0.8303326,0.8303326
1975.054,/m/0jjw,Art,0.8027253,0.8027253
1975.054,/m/05qdh,Painting,0.78887045,0.78887045
1975.054,/m/025s3q0,Landscape,0.75550854,0.75550854
1975.054,/m/02q_bfg,Tints and shades,0.75519687,0.75519687
1975.054,/m/03d28y3,Natural landscape,0.7095167,0.7095167
1975.054,/m/02csf,Drawing,0.68786997,0.68786997
1975.054,/m/016nqt,Twig,0.67924947,0.67924947
1975.054,/m/0p9xx,Visual arts,0.65722805,0.65722805
1975.054,/m/01kr8f,Illustration,0.64522725,0.64522725
1975.055,/m/0jjw,Art,0.84629405,0.84629405
1975.055,/m/03gq5hm,Font,0.8089858,0.8089858
1975.055,/m/07jx7,Triangle,0.80707824,0.80707824
1975.055,/m/05qdh,Painting,0.78017074,0.78017074
1975.055,/m/01vkl,Circle,0.751884,0.751884
1975.055,/m/0hwky,Pattern,0.7414764,0.7414764
1975.055,/m/02vwbzz,Electric blue,0.7190413,0.7190413
1975.055,/m/09ddf,Symbol,0.70639986,0.70639986
1975.055,/m/021sdg,Graphics,0.6999876,0.6999876
1975.055,/m/0dwx7,Logo,0.67848384,0.67848384
1975.056,/m/04hgtk,Head,0.972303,0.972303
1975.056,/m/02p0tk3,Human body,0.88484305,0.88484305
1975.056,/m/01443y,Headgear,0.8117734,0.8117734
1975.056,/m/0jjw,Art,0.78241134,0.78241134
1975.056,/m/07_gml,Working animal,0.77082765,0.77082765
1975.056,/m/03gq5hm,Font,0.7621958,0.7621958
1975.056,/m/0hwky,Pattern,0.73159105,0.73159105
1975.056,/m/05mqq3,Snout,0.73005956,0.73005956
1975.056,/m/0j62f,Rectangle,0.6852118,0.6852118
1975.056,/m/07j7r,Tree,0.659719,0.659719
1975.057,/m/014sv8,Eye,0.93460214,0.93460214
1975.057,/m/09d5_,Owl,0.8886998,0.8886998
1975.057,/m/01_3kg,Great horned owl,0.8170003,0.8170003
1975.057,/m/0jjw,Art,0.80749416,0.80749416
1975.057,/m/05qdh,Painting,0.7997947,0.7997947
1975.057,/m/07k6w8,Small to medium-sized cats,0.77787715,0.77787715
1975.057,/m/01kr8f,Illustration,0.73017,0.73017
1975.057,/m/06h5_j,Child art,0.72730696,0.72730696
1975.057,/m/0hwky,Pattern,0.72105396,0.72105396
1975.057,/m/0p9xx,Visual arts,0.68982744,0.68982744
1975.058,/m/09q2t,Brown,0.98046786,0.98046786
1975.058,/m/015p6,Bird,0.96852356,0.96852356
1975.058,/m/09d5_,Owl,0.89849705,0.89849705
1975.058,/m/083vt,Wood,0.8650497,0.8650497
1975.058,/m/036k5h,Grey,0.8420741,0.8420741
1975.058,/m/02tcwp,Trunk,0.8163312,0.8163312
1975.058,/m/01_3kg,Great horned owl,0.7895274,0.7895274
1975.058,/m/0f6x8,Bird of prey,0.7551435,0.7551435
1975.058,/m/0jjw,Art,0.73882467,0.73882467
1975.058,/m/03hjrvl,Screech owl,0.68823373,0.68823373
1975.060,/m/083vt,Wood,0.85103506,0.85103506
1975.060,/m/03gq5hm,Font,0.8426633,0.8426633
1975.060,/m/012f08,Motor vehicle,0.7896571,0.7896571
1975.060,/m/0j62f,Rectangle,0.7716863,0.7716863
1975.060,/m/02q_bfg,Tints and shades,0.7599266,0.7599266
1975.060,/m/0jjw,Art,0.74382496,0.74382496
1975.060,/m/0hwky,Pattern,0.74186325,0.74186325
1975.060,/m/0h8pb3l,Automotive tire,0.68522763,0.68522763
1975.060,/m/0p9xx,Visual arts,0.68479687,0.68479687
1975.060,/m/01kr8f,Illustration,0.6843658,0.6843658
