accession_number,status,description,image_url
1956.005,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.005_p-1814atrecto.tif/pct:10.7421875,5.419922,82.2265625,90.673828/!512,512/0/default.jpg"
1956.007,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.007.tif/pct:2.4780273,1.9042969,94.0063477,94.9707031/!512,512/0/default.jpg"
1956.008,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.008.jpg/pct:15.527344000000001,4.5654297,61.035156,90.7470703/full/0/default.jpg"
1956.009,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.009.jpg/pct:4.711913999999999,2.1606444999999996,87.475586,94.7143555/full/0/default.jpg"
1956.010,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.010.jpg/pct:20.117188,9.326172000000001,52.539062,85.595703/!512,512/0/default.jpg"
1956.010,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.010.jpg/pct:20.019530999999997,2.9174805000000004,54.199219,93.1762695/!512,512/0/default.jpg"
1956.010,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.010.jpg/pct:63.671875,75.0,29.6875,21.09375/!512,512/0/default.jpg"
1956.010,uploaded,Footwear,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.010.jpg/pct:39.257811999999994,90.234375,12.695313000000002,7.421875/!512,512/0/default.jpg"
1956.011,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.011.jpg/pct:11.035156,4.4189453,69.042969,90.1123047/full/0/default.jpg"
1956.011,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.011.jpg/pct:11.035156,4.4189453,69.042969,90.1123047/full/0/default.jpg"
1956.012,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.012.tif/pct:3.3203125,3.4423828,94.3359375,91.8701172/!512,512/0/default.jpg"
1956.013,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.013.tif/pct:3.466797,6.1523438,91.455078,90.33203119999999/!512,512/0/default.jpg"
1956.014,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.014.tif/pct:4.321288999999999,4.8339844,90.991211,92.0410156/!512,512/0/default.jpg"
1956.015,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.015.tif/pct:3.564453,3.9306639999999997,94.482422,92.553711/!512,512/0/default.jpg"
1956.017,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.017.jpg/pct:0.6134033000000001,0.7751465,98.9959717,92.5842285/full/0/default.jpg"
1956.018,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.018.tif/pct:10.6933594,5.0048828,75.6347656,67.6513672/!512,512/0/default.jpg"
1956.019,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.019.tif/pct:19.238280999999997,23.339844000000003,62.402344,62.597656/!512,512/0/default.jpg"
1956.019,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.019.tif/pct:19.238280999999997,23.339844000000003,62.402344,62.597656/!512,512/0/default.jpg"
1956.019,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.019.tif/pct:19.824219000000003,39.0625,61.816406,44.921875/!512,512/0/default.jpg"
1956.020,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.020.tif/pct:6.7871094,6.542969,87.7441406,88.769531/!512,512/0/default.jpg"
1956.021,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.021.tif/pct:4.5898438,3.8085938,90.33203119999999,91.50390619999999/!512,512/0/default.jpg"
1956.022,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.022.jpg/pct:4.0039062,59.765625,11.914062800000002,23.046875/full/0/default.jpg"
1956.022,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.022.jpg/pct:12.402344,62.109375,10.937500000000002,21.875/full/0/default.jpg"
1956.022,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.022.jpg/pct:21.582030999999997,64.84375,19.042969000000003,26.5625/full/0/default.jpg"
1956.023,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.023.jpg/pct:2.6367188,2.8320312,95.80078119999999,94.04296880000001/full/0/default.jpg"
1956.023,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.023.jpg/pct:16.992188,53.125,27.34375,35.9375/full/0/default.jpg"
1956.023,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.023.jpg/pct:40.039061999999994,46.679688000000006,26.367188000000002,29.101561999999998/full/0/default.jpg"
1956.023,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.023.jpg/pct:38.867188000000006,71.09375,27.929686999999998,18.359375/full/0/default.jpg"
1956.023,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.023.jpg/pct:79.6875,77.34375,17.1875,13.671875/full/0/default.jpg"
1956.024,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.024.jpg/pct:0.36773682,0.9460449000000001,99.24163818,97.8820801/full/0/default.jpg"
1956.025,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.025.tif/pct:0.9033203,1.9897461,98.3154297,95.2758789/!512,512/0/default.jpg"
1956.026,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956-026.tif/pct:35.742188000000006,7.6171875,50.976562,67.7734375/!512,512/0/default.jpg"
