accession_number,mid,description,score,topicality
1979.0751P,/m/0j62f,Rectangle,0.8960291,0.8960291
1979.0751P,/m/03gq5hm,Font,0.7695297,0.7695297
1979.0751P,/m/030zfn,Parallel,0.746939,0.746939
1979.0751P,/m/078hm,Slope,0.74613726,0.74613726
1979.0751P,/m/0hwky,Pattern,0.7372627,0.7372627
1979.0751P,/m/02vwbzz,Electric blue,0.6957604,0.6957604
1979.0751P,/m/02q_bfg,Tints and shades,0.63110363,0.63110363
1979.0751P,/m/01vkl,Circle,0.57586414,0.57586414
1979.0752P,/m/0jjw,Art,0.82200706,0.82200706
1979.0752P,/m/05qdh,Painting,0.76121294,0.76121294
1979.0752P,/m/025s3q0,Landscape,0.720009,0.720009
1979.0752P,/m/07nq4,Tsunami,0.71364707,0.71364707
1979.0752P,/m/078hm,Slope,0.6787883,0.6787883
1979.0752P,/m/01kr8f,Illustration,0.67547995,0.67547995
1979.0752P,/m/0p9xx,Visual arts,0.6668113,0.6668113
1979.0752P,/m/02csf,Drawing,0.65522933,0.65522933
1979.0752P,/m/036jvk,Stock photography,0.6338943,0.6338943
1979.0752P,/m/07j7r,Tree,0.621043,0.621043
1979.0753P,/m/0dnr7,Textile,0.87417454,0.87417454
1979.0753P,/m/03gq5hm,Font,0.84773177,0.84773177
1979.0753P,/m/0jjw,Art,0.81926394,0.81926394
1979.0753P,/m/0hwky,Pattern,0.7632743,0.7632743
1979.0753P,/m/0j62f,Rectangle,0.7365494,0.7365494
1979.0753P,/m/01kr8f,Illustration,0.7094846,0.7094846
1979.0753P,/m/02csf,Drawing,0.7028421,0.7028421
1979.0753P,/m/05qdh,Painting,0.69052184,0.69052184
1979.0753P,/m/0dw9f6,Creative arts,0.68741924,0.68741924
1979.0753P,/m/0p9xx,Visual arts,0.6608717,0.6608717
1979.0754P,/m/0j62f,Rectangle,0.8903768,0.8903768
1979.0754P,/m/0dnr7,Textile,0.87643844,0.87643844
1979.0754P,/m/03gq5hm,Font,0.84623635,0.84623635
1979.0754P,/m/0jjw,Art,0.8382908,0.8382908
1979.0754P,/m/03scnj,Line,0.81552196,0.81552196
1979.0754P,/m/05qdh,Painting,0.7722737,0.7722737
