accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1979.0751P,Pillow,0.5470971,0.010947522,0.9973958,0.032993954,0.8832009,11,996,44,1186
1979.0752P,Animal,0.7246681,0.37512282,0.8529287,0.27778053,0.76168364,484,1101,278,762
1979.0752P,Animal,0.6554901,0.8571408,0.96155167,0.8088613,0.93301934,1107,1241,809,933
1979.0752P,Animal,0.63495123,0.8082095,0.891426,0.8148294,0.9338905,1043,1151,815,934
1979.0752P,Animal,0.6187684,0.67200977,0.85131913,0.840534,0.92983675,868,1099,841,930
1979.0752P,Animal,0.6176273,0.5498797,0.6598249,0.76137877,0.9188209,710,852,761,919
1979.0752P,Animal,0.6000232,0.39653072,0.53743845,0.7475,0.88713765,512,694,748,887
1979.0752P,Person,0.58215433,0.5538948,0.6586862,0.7601371,0.91859263,715,850,760,919
1979.0752P,Person,0.527294,0.39097473,0.50123304,0.7439175,0.8879604,505,647,744,888
1979.0752P,Person,0.51528555,0.25353256,0.3871911,0.6692669,0.819863,327,500,669,820
1979.0753P,Pillow,0.6185342,0.004438048,0.9973958,0.0,0.9943993,6,1381,0,994
1979.0761P,Packaged goods,0.8042968,0.022138683,0.48751888,0.036086276,0.96185136,27,605,36,962
1979.0761P,Packaged goods,0.7240478,0.48869812,0.9423234,0.036952514,0.93969196,606,1169,37,940
1979.0763P,Person,0.5426361,0.00954086,0.9883377,0.0017348233,0.9478132,10,988,2,1229
1979.0764P,Person,0.66154844,0.104192846,0.50898635,0.06372033,0.9430656,104,509,80,1185
1979.0764P,Footwear,0.5611152,0.30442378,0.4897796,0.89499956,0.9588334,304,490,1125,1205
1979.0764P,Clothing,0.55995166,0.29325768,0.48650226,0.21430175,0.6529774,293,487,269,821
1979.0765P,Person,0.62591565,0.44076958,0.613301,0.40371597,0.8131153,609,847,404,813
1979.0765P,Clothing,0.58945113,0.7566393,0.88733,0.33528218,0.7125934,1045,1225,335,713
1979.0765P,Person,0.5550993,0.7152073,0.9155073,0.2565973,0.94315875,988,1264,257,943
1979.0767P,Dog,0.8016749,0.14901178,0.49199122,0.35396764,0.7897115,149,492,469,1046
1979.0767P,Person,0.7758187,0.32043657,0.8311168,0.08395716,0.7827266,320,831,111,1036
1979.0767P,Animal,0.62784237,0.34665892,0.83520937,0.1990637,0.5921176,347,835,264,784
1979.0768P,Animal,0.70941895,0.7555,0.8378013,0.4536053,0.6656759,1012,1123,453,665
1979.0768P,Animal,0.68232346,0.6558032,0.7310817,0.43982235,0.6594233,879,980,439,659
1979.0768P,Animal,0.65278804,0.47930607,0.5457377,0.65488213,0.82419634,642,731,654,823
1979.0768P,Person,0.63078463,0.21688151,0.32313085,0.43855163,0.8880913,291,433,438,887
1979.0768P,Person,0.62705165,0.43289387,0.5055992,0.532201,0.8172341,580,678,532,816
1979.0768P,Animal,0.6041735,0.5803511,0.65001327,0.40700206,0.60770106,778,871,407,607
1979.0768P,Person,0.5949697,0.14367661,0.2116545,0.48928824,0.7938165,193,284,489,793
1979.0768P,Person,0.5540091,0.31003353,0.42829144,0.52360994,0.85964316,415,574,523,859
1979.0768P,Person,0.54612017,0.062392127,0.1617028,0.4707725,0.836603,84,217,470,836
1979.0773P,Pillow,0.5762837,0.0047771777,0.98564297,0.0,0.96053725,5,986,0,1360
1979.0775P,Packaged goods,0.81099576,0.09117597,0.9055574,0.062448025,0.91083986,91,906,85,1241
1979.0779P,Animal,0.6112252,0.78684735,0.9525504,0.42546687,0.52277285,1250,1514,425,523
1979.0837P,Picture frame,0.5261437,0.03558708,0.9498408,0.040850285,0.9499404,36,949,62,1433
1979.0838P,Picture frame,0.8402572,0.06254115,0.90794706,0.049072053,0.9267721,63,908,69,1307
1979.0838P,Person,0.5711437,0.6505682,0.86375445,0.31366548,0.68779427,651,864,442,970
1979.0884P,Person,0.826094,0.36588493,0.44547188,0.70166564,0.8572281,610,743,702,857
1979.0884P,Person,0.72870207,0.27766317,0.36699772,0.7353185,0.85166425,463,612,735,852
1979.0884P,Person,0.6541483,0.48776087,0.55545455,0.7354209,0.8591978,814,926,735,859
1979.0884P,Animal,0.60745317,0.278965,0.3704529,0.73757154,0.8520618,465,618,738,852
1979.0908P,Person,0.73354924,0.058263704,0.36728096,0.36939406,0.9768965,21,135,185,488
1979.0908P,Person,0.6581032,0.534334,0.9363188,0.52423996,0.9349709,196,344,262,467
1979.0908P,Animal,0.6457627,0.06332065,0.551697,0.025257966,0.33941492,23,202,13,170
1979.0908P,Person,0.6437529,0.46326315,0.6314689,0.40355814,0.6648788,170,232,202,332
1979.0908P,Person,0.61161965,0.7706215,0.94929767,0.3446647,0.6316625,283,348,172,316
1979.0908P,Person,0.5888638,0.29471293,0.4792221,0.5266379,0.7483097,108,176,263,374
