accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1979.0752P,fr,Pour être Empereur d'Occident!,0.37025561580170413,0.627420604182804,0.964,0.992,478,810,964,992
1979.0752P,,Pour,0.37025561580170413,0.4136328427575523,0.964,0.992,478,534,964,992
1979.0752P,,être,0.4159566227730441,0.4430673896204493,0.964,0.992,537,572,964,992
1979.0752P,,Empereur,0.4469403563129357,0.5267234701781565,0.964,0.992,577,680,964,992
1979.0752P,,d'Occident,0.5259488768396592,0.6189000774593338,0.964,0.992,679,799,964,992
1979.0752P,,!,0.6142525174283501,0.627420604182804,0.964,0.992,793,810,964,992
1979.0753P,st,"lissb
Bac
THATELE",0.548014440433213,0.5906137184115523,0.704,0.771,759,818,704,771
1979.0753P,,lissb,0.5812274368231047,0.5552346570397112,0.77,0.748,805,769,770,748
1979.0753P,,Bac,0.5862815884476534,0.5552346570397112,0.752,0.725,812,769,752,725
1979.0753P,,THATELE,0.5574007220216607,0.5884476534296029,0.704,0.731,772,815,704,731
1979.0754P,und,ミミ,0.354814253222138,0.47763457164518575,0.39039039039039036,0.5975975975975976,468,630,390,597
1979.0754P,,ミミ,0.4783927217589083,0.3555724033358605,0.3963963963963964,0.5915915915915916,631,469,396,591
1979.0761P,en,"10/70
Army
-John Piper",0.018533440773569703,0.9661563255439162,0.691,0.994,23,1199,691,994
1979.0761P,,10/70,0.018533440773569703,0.0531829170024174,0.97,0.993,23,66,970,993
1979.0761P,,Army,0.2062852538275584,0.33924254633360196,0.694,0.738,256,421,694,738
1979.0761P,,-John,0.8928283642224013,0.9339242546333602,0.966,0.992,1108,1159,966,992
1979.0761P,,Piper,0.9363416599516519,0.9653505237711523,0.967,0.993,1162,1198,967,993
1979.0765P,und,"12
4.",0.46343229543808834,0.666183924692252,0.285,0.723,640,920,285,723
1979.0765P,,12,0.46343229543808834,0.48587979724837077,0.285,0.311,640,671,285,311
1979.0765P,,4,0.6364952932657495,0.6545981173062998,0.691,0.723,879,904,691,723
1979.0765P,,.,0.6574945691527878,0.66545981173063,0.692,0.723,908,919,692,723
1979.0767P,en,"Artists Brong
Signilliet Angers",0.022,0.918,0.9652567975830816,0.9939577039274925,22,918,1278,1316
1979.0767P,,Artists,0.024,0.081,0.9652567975830816,0.9924471299093656,24,81,1278,1314
1979.0767P,,Brong,0.086,0.131,0.9675226586102719,0.9939577039274925,86,131,1281,1316
1979.0767P,,Signilliet,0.681,0.808,0.9697885196374623,0.9916918429003021,681,808,1284,1313
1979.0767P,,Angers,0.825,0.918,0.9697885196374623,0.9916918429003021,825,918,1284,1313
1979.0768P,fr,"TOFELY CAL
TULL
Eſsignillist Argens.",0.2507462686567164,0.8597014925373134,0.22722722722722724,0.968968968968969,336,1152,227,968
1979.0768P,,TOFELY,0.2507462686567164,0.27761194029850744,0.4044044044044044,0.41541541541541543,336,372,404,415
1979.0768P,,CAL,0.27611940298507465,0.28955223880597014,0.4034034034034034,0.4134134134134134,370,388,403,413
1979.0768P,,TULL,0.7365671641791045,0.6888059701492537,0.24324324324324326,0.22822822822822822,987,923,243,228
1979.0768P,,Eſsignillist,0.6425373134328358,0.7544776119402985,0.9209209209209209,0.9669669669669669,861,1011,920,966
1979.0768P,,Argens,0.7686567164179104,0.841044776119403,0.923923923923924,0.968968968968969,1030,1127,923,968
1979.0768P,,.,0.8470149253731343,0.858955223880597,0.9269269269269269,0.968968968968969,1135,1151,926,968
1979.0773P,und,"41/75
springer",0.008,0.96,0.9682203389830508,0.9950564971751412,8,960,1371,1409
1979.0773P,,41/75,0.008,0.075,0.9717514124293786,0.9915254237288136,8,75,1376,1404
1979.0773P,,springer,0.856,0.96,0.9731638418079096,0.9915254237288136,856,960,1378,1404
1979.0807P,und,"O
J",0.23123123123123124,0.93993993993994,0.4150793650793651,0.8293650793650794,231,939,523,1045
1979.0807P,,O,0.3183183183183183,0.23223223223223224,0.4793650793650794,0.4158730158730159,318,232,604,524
1979.0807P,,J,0.7477477477477478,0.93993993993994,0.7119047619047619,0.8222222222222222,747,939,897,1036
1979.0808P,ilo,"-asting
5/10
Carel Lawton Freeman 67",0.031,0.919,0.9898403483309144,0.9992743105950653,31,919,2728,2754
1979.0808P,,-asting,0.031,0.098,0.9909288824383164,0.9956458635703919,31,98,2731,2744
1979.0808P,,5/10,0.141,0.181,0.9898403483309144,0.9952830188679245,141,181,2728,2743
1979.0808P,,Carel,0.675,0.719,0.9916545718432511,0.9981857764876633,675,719,2733,2751
1979.0808P,,Lawton,0.727,0.788,0.9920174165457184,0.9985486211901307,727,788,2734,2752
1979.0808P,,Freeman,0.796,0.875,0.9923802612481858,0.9989114658925979,796,875,2735,2753
1979.0808P,,67,0.892,0.919,0.9931059506531205,0.9989114658925979,892,919,2737,2753
1979.0837P,en,"Aと木
OS
50h 196",0.06306306306306306,0.9069069069069069,0.8660477453580901,0.9641909814323607,63,906,1306,1454
1979.0837P,,A,0.06306306306306306,0.08708708708708708,0.9416445623342176,0.9602122015915119,63,87,1420,1448
1979.0837P,,と,0.1001001001001001,0.11811811811811812,0.9416445623342176,0.9602122015915119,100,118,1420,1448
1979.0837P,,木,0.12712712712712712,0.16816816816816818,0.9416445623342176,0.9602122015915119,127,168,1420,1448
1979.0837P,,OS,0.7197197197197197,0.7467467467467468,0.8660477453580901,0.876657824933687,719,746,1306,1322
1979.0837P,,50h,0.6456456456456456,0.7967967967967968,0.9442970822281167,0.9622015915119363,645,796,1424,1451
1979.0837P,,196,0.8508508508508509,0.9069069069069069,0.9416445623342176,0.9608753315649867,850,906,1420,1449
1979.0884P,fr,"G. Wowbiod
K. Du Jardin",0.31654676258992803,0.894484412470024,0.689,0.962,528,1492,689,962
