accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1988.033b,Packaged goods,0.6988382,0.0,0.99178046,0.0900262,0.9973958,0,1471,90,997
1988.033c,Pillow,0.6170241,0.013554618,0.99435,0.09557631,0.93685,20,1482,96,937
1988.033f,Scarf,0.6489598,0.0,0.9897136,0.10440127,0.93641096,0,1476,104,936
1988.036,Packaged goods,0.7385402,0.026707208,0.9778747,0.025683755,0.990563,27,978,35,1360
1988.037,Animal,0.59273905,0.5439512,0.84778136,0.54813606,0.876971,544,848,1715,2743
1988.039,Person,0.5072778,0.6777808,0.85393786,0.44153157,0.92342407,886,1116,441,923
1988.040,Person,0.77920854,0.22355823,0.7888996,0.17519017,0.76365614,224,789,248,1082
1988.040,Clothing,0.640455,0.22670306,0.7924531,0.2541764,0.76883924,227,792,360,1089
1988.040,Picture frame,0.59116054,0.0026369088,0.9973958,0.0074466052,0.9119661,3,997,11,1292
1988.041,Person,0.8475515,0.118007995,0.8777719,0.048612952,0.9324717,118,878,64,1225
1988.042,Person,0.71829844,0.03320943,0.9551756,0.022076456,0.9696975,39,1122,22,970
1988.042,Animal,0.57117414,0.012807264,0.4379207,0.08556386,0.935605,15,515,86,936
1988.043,Person,0.8410548,0.15446658,0.8635387,0.008214246,0.96050185,50,280,5,637
1988.044,Person,0.8132416,0.12740006,0.8924307,0.062288374,0.88083625,127,892,82,1159
1988.047,Person,0.7583709,0.104727834,0.96142244,0.2709138,0.937217,105,961,606,2097
1988.047,Clothing,0.5952053,0.18714179,0.87814456,0.31690404,0.89775467,187,878,709,2008
1988.048,Person,0.736834,0.10417676,0.916112,0.15928593,0.95321596,104,916,343,2051
1988.048,Hat,0.6067398,0.034415957,0.9504888,0.07541319,0.51582533,34,950,162,1110
1988.048,Clothing,0.60062754,0.22311747,0.79763436,0.30745196,0.9395895,223,798,662,2022
1988.048,Footwear,0.56074345,0.19325055,0.42468175,0.67507,0.75564665,193,425,1453,1626
1988.049,Person,0.809521,0.19241297,0.74732214,0.23959093,0.81054443,192,747,582,1969
1988.049,Clothing,0.65685534,0.19429891,0.7655129,0.36860016,0.7839,194,766,895,1904
1988.073,Hat,0.50464237,0.011606579,0.99098444,0.011016395,0.9897819,12,991,15,1333
