accession_number,mid,description,score,topicality
1996.156,/m/0dw9f6,Creative arts,0.8422054,0.8422054
1996.156,/m/0jjw,Art,0.8201108,0.8201108
1996.156,/m/05qdh,Painting,0.7907601,0.7907601
1996.156,/m/0j62f,Rectangle,0.77009207,0.77009207
1996.156,/m/03gq5hm,Font,0.6959504,0.6959504
1996.156,/m/078hm,Slope,0.69054824,0.69054824
1996.156,/m/07jx7,Triangle,0.6792446,0.6792446
1996.156,/m/02csf,Drawing,0.6763852,0.6763852
1996.156,/m/0p9xx,Visual arts,0.6722601,0.6722601
1996.156,/m/0h90w5d,Art paint,0.6674104,0.6674104
1996.164,/m/0838f,Water,0.9399415,0.9399415
1996.164,/m/0j62f,Rectangle,0.8830911,0.8830911
1996.164,/m/08t9c_,Grass,0.80792814,0.80792814
1996.164,/m/0jjw,Art,0.7869376,0.7869376
1996.164,/m/03gq5hm,Font,0.76719403,0.76719403
1996.164,/m/02q_bfg,Tints and shades,0.7658358,0.7658358
1996.164,/m/0p9xx,Visual arts,0.66590816,0.66590816
1996.164,/m/07sx2n,Natural material,0.6640711,0.6640711
1996.164,/m/01c7cq,Grassland,0.61097634,0.61097634
1996.164,/m/05y4t,Paint,0.60318303,0.60318303
1996.165,/m/09q2t,Brown,0.98046786,0.98046786
1996.165,/m/0j62f,Rectangle,0.8741988,0.8741988
1996.165,/m/083vt,Wood,0.87130785,0.87130785
1996.165,/m/0jjw,Art,0.8065891,0.8065891
1996.165,/m/03gq5hm,Font,0.7892057,0.7892057
1996.165,/m/02q_bfg,Tints and shades,0.7733737,0.7733737
1996.165,/m/0p9xx,Visual arts,0.68463767,0.68463767
1996.165,/m/03g3w,History,0.6460419,0.6460419
1996.165,/m/0h8p59j,Paper product,0.6351791,0.6351791
1996.165,/m/0641k,Paper,0.61792094,0.61792094
1996.166,/m/09q2t,Brown,0.98046786,0.98046786
1996.166,/m/083vt,Wood,0.8403083,0.8403083
1996.166,/m/0jjw,Art,0.8265293,0.8265293
1996.166,/m/02skpt,Artifact,0.8223277,0.8223277
1996.166,/m/02q_bfg,Tints and shades,0.7721088,0.7721088
1996.166,/m/03gq5hm,Font,0.77174896,0.77174896
1996.166,/m/0p9xx,Visual arts,0.6731376,0.6731376
1996.166,/m/0djmp,Ancient history,0.6699681,0.6699681
1996.166,/m/0jwzhtg,Carving,0.6684488,0.6684488
1996.166,/m/02nnps,Relief,0.6623842,0.6623842
1996.167,/m/09q2t,Brown,0.98046786,0.98046786
1996.167,/m/0j62f,Rectangle,0.88744366,0.88744366
1996.167,/m/05y4t,Paint,0.8418339,0.8418339
1996.167,/m/083vt,Wood,0.8378291,0.8378291
1996.167,/m/0jjw,Art,0.80743754,0.80743754
1996.167,/m/08t9c_,Grass,0.7773437,0.7773437
1996.167,/m/01c7cq,Grassland,0.7719487,0.7719487
1996.167,/m/02q_bfg,Tints and shades,0.7657658,0.7657658
1996.167,/m/025s3q0,Landscape,0.76113504,0.76113504
1996.167,/m/05qdh,Painting,0.75123984,0.75123984
1996.182a,/m/0b5gs,Branch,0.8846805,0.8846805
1996.182a,/m/05qdh,Painting,0.8196769,0.8196769
1996.182a,/m/05s2s,Plant,0.8134417,0.8134417
1996.182a,/m/02hnx9,Woody plant,0.8084275,0.8084275
1996.182a,/m/07j7r,Tree,0.8051558,0.8051558
1996.182a,/m/0j62f,Rectangle,0.79691255,0.79691255
1996.182a,/m/0jjw,Art,0.7922045,0.7922045
1996.182a,/m/02tcwp,Trunk,0.7854067,0.7854067
