accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
2001.087,Packaged goods,0.8050317,0.006011288,0.99307126,0.018372102,0.9566322,6,993,30,1588
2001.088,Person,0.5397354,0.07010754,0.39528683,0.28200406,0.486773,70,395,396,683
2001.090,Packaged goods,0.7141297,0.022967214,0.9716871,0.017904473,0.9833615,23,972,28,1554
2001.091,Packaged goods,0.70516795,0.0023300012,0.9941574,0.0,0.9944472,2,994,0,1694
2001.092,1D barcode,0.8695675,0.2622415,0.493858,0.58838975,0.71454096,402,757,588,714
2001.093,Packaged goods,0.72635275,0.0,0.9973948,0.021217914,0.97016865,0,996,33,1519
2001.095,Packaged goods,0.54851073,0.0037976291,0.9973958,0.02210276,0.9632485,4,997,39,1719
2001.097,Person,0.6070042,0.36874965,0.51789826,0.18730076,0.34324786,369,518,286,524
2001.099,Packaged goods,0.76667523,0.023839725,0.98071456,0.017297404,0.96101767,24,981,25,1367
2001.100,Packaged goods,0.5704131,0.007554387,0.9905221,0.016179904,0.96250916,8,991,27,1594
2001.105,Packaged goods,0.70230997,0.0010757373,0.9973958,0.018459314,0.9765858,1,997,29,1546
2001.106,Packaged goods,0.67142475,0.0,0.9973958,0.031104712,0.9874323,0,997,51,1611
2001.110,Scarf,0.6672191,0.040877096,0.96476203,0.15644418,0.32316113,41,964,242,500
2001.110,Scarf,0.6439898,0.066686474,0.9304425,0.4826622,0.64355695,67,930,747,996
2001.110,Scarf,0.6324971,0.044047594,0.9480242,0.6366026,0.873945,44,947,985,1352
2001.110,Scarf,0.61080635,0.05286959,0.93802595,0.32846466,0.47910467,53,937,508,741
2001.112,Packaged goods,0.55983496,0.010903857,0.9973958,0.012911285,0.9707691,11,997,23,1717
2001.113,Packaged goods,0.5964214,0.0,0.9973958,0.007973059,0.97470576,0,997,13,1621
2001.114,Packaged goods,0.6122407,0.010953616,0.97693586,0.009936763,0.9625339,11,977,16,1585
