accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
2001.086,en,"M
Coming
in
PERSON
THE
RAY STEVENS
**
42- 43
OPRYLAND'S
ACUFF THEATRE
**
ON
STAGE
NOV. 17→→DEC. 22
**
HATCH SHOW PRINT NASHVILLE, TENN. - m.fred
●●★",0.043,0.968,-0.0018083182640144665,0.969258589511754,43,968,-3,1608
2001.086,,M,0.109,0.182,0.05183845690174804,0.0753465943339361,109,182,86,125
2001.086,,Coming,0.064,0.485,0.10126582278481013,0.08860759493670886,64,485,168,147
2001.086,,in,0.144,0.331,0.17420132610006028,0.19168173598553345,144,331,289,318
2001.086,,PERSON,0.377,0.96,0.09403254972875226,0.20976491862567812,377,960,156,348
2001.086,,THE,0.39,0.597,0.270042194092827,0.298372513562387,390,597,448,495
2001.086,,RAY,0.053,0.356,0.3074141048824593,0.4701627486437613,53,356,510,780
2001.086,,STEVENS,0.351,0.964,0.30620855937311636,0.46714888487040385,351,964,508,775
2001.086,,**,0.342,0.362,0.512959614225437,0.5171790235081374,342,362,851,858
2001.086,,42-,0.429,0.451,0.5135623869801085,0.517781796262809,429,451,852,859
2001.086,,43,0.47,0.499,0.5123568414707655,0.517781796262809,470,499,850,859
2001.086,,OPRYLAND'S,0.084,0.938,0.540084388185654,0.6094032549728752,84,938,896,1011
2001.086,,ACUFF,0.065,0.405,0.6232670283303194,0.6980108499095841,65,405,1034,1158
2001.086,,THEATRE,0.473,0.954,0.6220614828209765,0.6955997588908981,473,954,1032,1154
2001.086,,**,0.118,0.381,0.7371910789632309,0.7920433996383364,118,381,1223,1314
2001.086,,ON,0.452,0.538,0.7251356238698011,0.7414104882459313,452,538,1203,1230
2001.086,,STAGE,0.421,0.614,0.7637130801687764,0.78541289933695,421,614,1267,1303
2001.086,,NOV,0.058,0.244,0.836045810729355,0.9047619047619048,58,244,1387,1501
2001.086,,.,0.237,0.265,0.836045810729355,0.9047619047619048,237,265,1387,1501
2001.086,,17,0.281,0.408,0.8354430379746836,0.9035563592525618,281,408,1386,1499
2001.086,,→→,0.406,0.564,0.8348402652200121,0.9035563592525618,406,564,1385,1499
2001.086,,DEC,0.579,0.753,0.8348402652200121,0.9029535864978903,579,753,1385,1498
2001.086,,.,0.757,0.783,0.8342374924653405,0.9029535864978903,757,783,1384,1498
2001.086,,22,0.8,0.952,0.8342374924653405,0.9023508137432188,800,952,1384,1497
2001.086,,**,0.841,0.947,0.9162145871006631,0.9409282700421941,841,947,1520,1561
2001.086,,HATCH,0.274,0.327,0.9608197709463532,0.969258589511754,274,327,1594,1608
2001.086,,SHOW,0.335,0.38,0.9608197709463532,0.9686558167570826,335,380,1594,1607
2001.086,,PRINT,0.389,0.436,0.9608197709463532,0.9686558167570826,389,436,1594,1607
2001.086,,NASHVILLE,0.459,0.549,0.9602169981916817,0.9686558167570826,459,549,1593,1607
2001.086,,",",0.549,0.552,0.9602169981916817,0.9680530440024111,549,552,1593,1606
2001.086,,TENN,0.561,0.602,0.9602169981916817,0.9680530440024111,561,602,1593,1606
2001.086,,.,0.606,0.609,0.9602169981916817,0.9680530440024111,606,609,1593,1606
2001.086,,-,0.618,0.624,0.9602169981916817,0.9680530440024111,618,624,1593,1606
2001.086,,m.fred,0.633,0.681,0.9602169981916817,0.9680530440024111,633,681,1593,1606
2001.086,,●●,0.747,0.823,0.919831223628692,0.9415310427968656,747,823,1526,1562
2001.086,,★,0.841,0.882,0.918625678119349,0.9403254972875226,841,882,1524,1560
2001.087,en,"LIVE!
TTEE
LONE STAR
LOUNGE
A CD Compilation Featuring
Premium Texas Music
Available Now In Stores A Compadre Records Project
A Portion of the Proceeds Will Benefit KCTI-FM and
The Lone Star Lounge Radio Program
HATOH SHOW PRINT-JDM",0.04,0.95,0.07349397590361446,0.9710843373493976,40,950,122,1612
2001.087,,LIVE,0.041,0.857,0.07349397590361446,0.186144578313253,41,857,122,309
2001.087,,!,0.816,0.949,0.07710843373493977,0.186144578313253,816,949,128,309
2001.087,,TTEE,0.277,0.909,0.1927710843373494,0.22409638554216868,277,909,320,372
2001.087,,LONE,0.093,0.477,0.6048192771084338,0.7397590361445783,93,477,1004,1228
2001.087,,STAR,0.509,0.911,0.6048192771084338,0.7397590361445783,509,911,1004,1228
2001.087,,LOUNGE,0.093,0.908,0.7451807228915662,0.7783132530120482,93,908,1237,1292
2001.087,,A,0.241,0.269,0.7927710843373494,0.8126506024096386,241,269,1316,1349
2001.087,,CD,0.285,0.336,0.7927710843373494,0.8126506024096386,285,336,1316,1349
2001.087,,Compilation,0.351,0.568,0.7927710843373494,0.8144578313253013,351,568,1316,1352
2001.087,,Featuring,0.583,0.76,0.7939759036144578,0.8156626506024096,583,760,1318,1354
2001.087,,Premium,0.295,0.455,0.8192771084337349,0.8367469879518072,295,455,1360,1389
2001.087,,Texas,0.475,0.582,0.8198795180722892,0.8367469879518072,475,582,1361,1389
2001.087,,Music,0.598,0.707,0.8204819277108434,0.8367469879518072,598,707,1362,1389
2001.087,,Available,0.133,0.252,0.8433734939759037,0.858433734939759,133,252,1400,1425
2001.087,,Now,0.26,0.311,0.8439759036144578,0.858433734939759,260,311,1401,1425
2001.087,,In,0.323,0.345,0.844578313253012,0.858433734939759,323,345,1402,1425
2001.087,,Stores,0.357,0.434,0.844578313253012,0.8590361445783132,357,434,1402,1426
2001.087,,A,0.509,0.526,0.8451807228915663,0.8590361445783132,509,526,1403,1426
2001.087,,Compadre,0.537,0.66,0.8451807228915663,0.8602409638554217,537,660,1403,1428
2001.087,,Records,0.669,0.767,0.8457831325301205,0.8608433734939759,669,767,1404,1429
2001.087,,Project,0.776,0.865,0.8457831325301205,0.8608433734939759,776,865,1404,1429
2001.087,,A,0.166,0.183,0.863855421686747,0.8759036144578313,166,183,1434,1454
2001.087,,Portion,0.194,0.281,0.863855421686747,0.8759036144578313,194,281,1434,1454
2001.087,,of,0.291,0.315,0.863855421686747,0.8759036144578313,291,315,1434,1454
2001.087,,the,0.324,0.362,0.863855421686747,0.8759036144578313,324,362,1434,1454
2001.087,,Proceeds,0.372,0.483,0.863855421686747,0.8759036144578313,372,483,1434,1454
2001.087,,Will,0.497,0.549,0.863855421686747,0.8759036144578313,497,549,1434,1454
2001.087,,Benefit,0.559,0.647,0.863855421686747,0.8759036144578313,559,647,1434,1454
2001.087,,KCTI,0.655,0.716,0.863855421686747,0.8759036144578313,655,716,1434,1454
2001.087,,-,0.717,0.724,0.863855421686747,0.8759036144578313,717,724,1434,1454
2001.087,,FM,0.727,0.764,0.863855421686747,0.8759036144578313,727,764,1434,1454
2001.087,,and,0.775,0.818,0.863855421686747,0.8759036144578313,775,818,1434,1454
2001.087,,The,0.263,0.309,0.880722891566265,0.8945783132530121,263,309,1462,1485
2001.087,,Lone,0.318,0.376,0.880722891566265,0.8945783132530121,318,376,1462,1485
2001.087,,Star,0.385,0.434,0.8813253012048192,0.8951807228915662,385,434,1463,1486
2001.087,,Lounge,0.445,0.535,0.8813253012048192,0.8957831325301204,445,535,1463,1487
2001.087,,Radio,0.543,0.613,0.8819277108433735,0.8963855421686747,543,613,1464,1488
2001.087,,Program,0.623,0.725,0.8825301204819277,0.8969879518072289,623,725,1465,1489
2001.087,,HATOH,0.424,0.476,0.9632530120481928,0.9704819277108434,424,476,1599,1611
2001.087,,SHOW,0.484,0.527,0.9632530120481928,0.9704819277108434,484,527,1599,1611
2001.087,,PRINT,0.536,0.579,0.9626506024096385,0.9698795180722891,536,579,1598,1610
2001.087,,-,0.585,0.594,0.9626506024096385,0.9698795180722891,585,594,1598,1610
2001.087,,JDM,0.601,0.63,0.9620481927710843,0.9698795180722891,601,630,1597,1610
2001.088,en,"ELVIS 65 BIRTHDAY PARTY
BIRTHWEEK 2000
香
GUERRILLAMONSTER & BR2 PRESENT
VEGAS THUNDER
ELVIS
MEETS
MEMPHIS MOVIE PREMIERE BY JMM
PLUS LIVE MUSIC FROM THEE LOCALS:
SUBTEENS
REGINAID
THE
BEATLES
POLI SCI CLoNe
HEARAFTERS
Müller
SAT. JAN. 8, 2000
LAST PLACE ON EARTH",-0.005,0.998,0.0021382751247327157,0.9828937990021382,-5,998,3,1379
2001.088,,ELVIS,0.004,0.2,0.0021382751247327157,0.07840342124019957,4,200,3,110
2001.088,,65,0.232,0.326,0.003563791874554526,0.07982893799002139,232,326,5,112
2001.088,,BIRTHDAY,0.38,0.743,0.0042765502494654314,0.08196721311475409,380,743,6,115
2001.088,,PARTY,0.749,0.994,0.006414825374198147,0.08267997148966501,749,994,9,116
2001.088,,BIRTHWEEK,-0.004,0.652,0.09194583036350677,0.2059871703492516,-4,652,129,289
2001.088,,2000,0.7,0.996,0.0947968638631504,0.2074126870990734,700,996,133,291
2001.088,,香,0.127,0.175,0.29508196721311475,0.33642195295794725,127,175,414,472
2001.088,,GUERRILLAMONSTER,0.218,0.527,0.22523164647184604,0.2459016393442623,218,527,316,345
2001.088,,&,0.538,0.558,0.22879543834640056,0.2459016393442623,538,558,321,345
2001.088,,BR2,0.569,0.626,0.22879543834640056,0.2473271560940841,569,626,321,347
2001.088,,PRESENT,0.642,0.779,0.22950819672131148,0.24875267284390593,642,779,322,349
2001.088,,VEGAS,0.048,0.203,0.6072701354240913,0.6386315039201711,48,203,852,896
2001.088,,THUNDER,0.219,0.424,0.6086956521739131,0.6407697790449037,219,424,854,899
2001.088,,ELVIS,0.487,0.96,0.2729864575908767,0.3292943692088382,487,960,383,462
2001.088,,MEETS,0.512,0.941,0.3292943692088382,0.391304347826087,512,941,462,549
2001.088,,MEMPHIS,0.239,0.38,0.5224518888096935,0.5409836065573771,239,380,733,759
2001.088,,MOVIE,0.395,0.488,0.5238774055595153,0.5416963649322879,395,488,735,760
2001.088,,PREMIERE,0.503,0.653,0.5253029223093372,0.5431218816821097,503,653,737,762
2001.088,,BY,0.662,0.7,0.5267284390591589,0.5438346400570206,662,700,739,763
2001.088,,JMM,0.71,0.774,0.5267284390591589,0.5445473984319316,710,774,739,764
2001.088,,PLUS,0.197,0.276,0.5673556664290805,0.586600142551675,197,276,796,823
2001.088,,LIVE,0.286,0.356,0.5680684248039914,0.5873129009265858,286,356,797,824
2001.088,,MUSIC,0.368,0.464,0.5687811831789024,0.5880256593014968,368,464,798,825
2001.088,,FROM,0.475,0.557,0.5702066999287242,0.5894511760513186,475,557,800,827
2001.088,,THEE,0.575,0.651,0.5709194583036351,0.5901639344262295,575,651,801,828
2001.088,,LOCALS,0.667,0.78,0.571632216678546,0.5915894511760513,667,780,802,830
2001.088,,:,0.784,0.795,0.5730577334283677,0.5908766928011404,784,795,804,829
2001.088,,SUBTEENS,0.119,0.352,0.6550249465431219,0.6878118317890235,119,352,919,965
2001.088,,REGINAID,0.13,0.333,0.7042052744119743,0.7362794012829651,130,333,988,1033
2001.088,,THE,0.656,0.807,0.398431931575196,0.4354953670705631,656,807,559,611
2001.088,,BEATLES,0.477,0.984,0.4419101924447612,0.5003563791874555,477,984,620,702
