accession_number,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y,roll_angle,pan_angle,tilt_angle,"landmarking, confidence",joy_likelihood,sorrow_likelihood,anger_likelihood,surprise_likelihood,under_exposed_likelihood,blurred_likelihood,headwear_likelihood,landmarking_confidence
2013.002,0.66796875,0.11071682044002838,0.19446415897799857,0.258,0.395,156,274,258,395,-2.7458568,32.936535,-2.2706995,,1,1,1,1,5,1,1,0.13592306
2013.002,0.50390625,0.22001419446415899,0.2995031937544358,0.224,0.354,310,422,224,354,-5.056674,-41.58833,7.3018336,,1,1,1,1,1,1,1,0.15548673
2013.002,0.546875,0.6408800567778566,0.6997870830376153,0.547,0.643,903,986,547,643,6.1234484,30.759483,-14.479574,,1,1,1,1,1,1,1,0.06885997
2013.002,0.6953125,0.7430801987224982,0.8289567068843151,0.394,0.534,1047,1168,394,534,22.470747,-44.126072,8.739479,,1,1,1,1,1,1,1,0.2791355
2013.002,0.515625,0.6550745209368346,0.7466288147622427,0.262,0.412,923,1052,262,412,-23.489506,6.262437,-16.934845,,1,1,1,1,1,1,1,0.060936376
2013.002,0.68359375,0.36550745209368346,0.47267565649396737,0.117,0.293,515,666,117,293,3.9550738,-0.73593706,2.4175117,,1,1,1,1,3,1,1,0.045371555
2013.016,0.70703125,0.3281027104136947,0.5064194008559201,0.26226226226226224,0.5535535535535535,460,710,262,553,-2.107189,-2.7723947,0.764272,,1,1,1,1,1,1,1,0.29943225
2013.017,0.5546875,0.299,0.694,0.16516308119361556,0.48438584316446914,299,694,238,698,1.5648146,-3.2840939,1.5061507,,1,1,1,1,4,1,1,0.11182997
2013.018,0.6015625,0.293,0.698,0.16735537190082644,0.49173553719008267,293,698,243,714,0.79312885,-2.2432637,1.7167329,,1,1,1,1,4,1,1,0.09092133
2013.020,0.6328125,0.12,0.656,0.23896285914505958,0.6762438682550805,120,656,341,965,3.0570414,19.678715,-8.808044,,1,1,1,1,1,1,1,0.4553239
2014.005,0.9296875,0.17517517517517517,0.4794794794794795,0.10292953285827396,0.3824228028503563,175,479,130,483,-10.766008,-18.950914,0.8406033,,1,1,1,1,1,1,2,0.3554558
2015.075.02,0.8515625,0.122,0.859,0.05024769992922859,0.656758669497523,122,859,71,928,-4.0717316,2.907803,1.3364891,,1,3,1,1,1,1,3,0.78079325
2015.075.11,0.59765625,0.136,0.871,0.17285714285714285,0.7835714285714286,136,871,242,1097,-5.8169975,6.8407674,6.567785,,1,1,1,1,1,1,1,0.012403416
2015.075.17,0.5,0.141,0.834,0.10091743119266056,0.6697247706422018,141,834,143,949,8.459989,15.955111,-10.723661,,1,1,1,1,1,1,1,0.32857555
