accession_number,mid,description,score,topicality
2012.008bb,/m/07jx7,Triangle,0.84746116,0.84746116
2012.008bb,/m/03gq5hm,Font,0.830925,0.830925
2012.008bb,/m/0jjw,Art,0.81570566,0.81570566
2012.008bb,/m/01vkl,Circle,0.75973916,0.75973916
2012.008bb,/m/0hwky,Pattern,0.75678575,0.75678575
2012.008bb,/m/01kr8f,Illustration,0.7177044,0.7177044
2012.008bb,/m/0gkxy13,Handwriting,0.70665103,0.70665103
2012.008bb,/m/02csf,Drawing,0.7061445,0.7061445
2012.008bb,/m/0j62f,Rectangle,0.6883359,0.6883359
2012.008bb,/m/021sdg,Graphics,0.6612524,0.6612524
2012.008c,/m/0j62f,Rectangle,0.8820137,0.8820137
2012.008c,/m/0jjw,Art,0.8308683,0.8308683
2012.008c,/m/068mqj,Automotive design,0.829684,0.829684
2012.008c,/m/03gq5hm,Font,0.81685686,0.81685686
2012.008c,/m/02q_bfg,Tints and shades,0.7662509,0.7662509
2012.008c,/m/05qdh,Painting,0.7356557,0.7356557
2012.008c,/m/0dwx7,Logo,0.6989343,0.6989343
2012.008c,/m/09ddf,Symbol,0.6782799,0.6782799
2012.008c,/m/021sdg,Graphics,0.67378205,0.67378205
2012.008c,/m/02csf,Drawing,0.67350143,0.67350143
2012.008cc,/m/03q69,Hair,0.9826534,0.9826534
2012.008cc,/m/05s2s,Plant,0.89731675,0.89731675
2012.008cc,/m/07j7r,Tree,0.8458893,0.8458893
2012.008cc,/m/02tcwp,Trunk,0.82096595,0.82096595
2012.008cc,/m/02hnx9,Woody plant,0.80420524,0.80420524
2012.008cc,/m/0jjw,Art,0.78224486,0.78224486
2012.008cc,/m/03gq5hm,Font,0.7779569,0.7779569
2012.008cc,/m/08t9c_,Grass,0.75965786,0.75965786
2012.008cc,/m/0j62f,Rectangle,0.75127256,0.75127256
2012.008cc,/m/083vt,Wood,0.7392824,0.7392824
2012.008d,/m/0h8pb3l,Automotive tire,0.915343,0.915343
2012.008d,/m/04tkfx,Tread,0.862544,0.862544
2012.008d,/m/036k5h,Grey,0.8412177,0.8412177
2012.008d,/m/03scnj,Line,0.8185241,0.8185241
2012.008d,/m/083vt,Wood,0.7970014,0.7970014
2012.008d,/m/0j62f,Rectangle,0.7796875,0.7796875
2012.008d,/m/0hwky,Pattern,0.7611677,0.7611677
2012.008d,/m/05s771,Synthetic rubber,0.74624705,0.74624705
2012.008d,/m/030zfn,Parallel,0.7412428,0.7412428
2012.008d,/m/04t7l,Metal,0.7049663,0.7049663
2012.008dd,/m/0j62f,Rectangle,0.84465915,0.84465915
2012.008dd,/m/03gq5hm,Font,0.7924642,0.7924642
2012.008dd,/m/0hwky,Pattern,0.7037068,0.7037068
2012.008dd,/m/0jjw,Art,0.6876516,0.6876516
2012.008dd,/m/0p9xx,Visual arts,0.6351809,0.6351809
2012.008dd,/m/02csf,Drawing,0.6228006,0.6228006
2012.008dd,/m/0h8p59j,Paper product,0.59322965,0.59322965
2012.008dd,/m/03d49p1,Monochrome photography,0.5754485,0.5754485
2012.008dd,/m/0641k,Paper,0.57356006,0.57356006
2012.008dd,/m/01mwkf,Monochrome,0.5575218,0.5575218
2012.008e,/m/027n3_,Eyebrow,0.9366264,0.9366264
2012.008e,/m/03f52z,Eyelash,0.9178771,0.9178771
2012.008e,/m/02p0tk3,Human body,0.8860849,0.8860849
2012.008e,/m/0dfgf,Feather,0.77190566,0.77190566
2012.008e,/m/02q_bfg,Tints and shades,0.7691472,0.7691472
2012.008e,/m/0jjw,Art,0.7500455,0.7500455
2012.008e,/m/03gq5hm,Font,0.7317192,0.7317192
2012.008e,/m/0cnmr,Fur,0.7022229,0.7022229
2012.008e,/m/0gjxqj,Bangs,0.6953373,0.6953373
2012.008e,/m/03d49p1,Monochrome photography,0.6898099,0.6898099
2012.008ee,/m/0j62f,Rectangle,0.8838715,0.8838715
2012.008ee,/m/03gq5hm,Font,0.82543445,0.82543445
2012.008ee,/m/0hwky,Pattern,0.7393513,0.7393513
2012.008ee,/m/0h8p59j,Paper product,0.6383473,0.6383473
2012.008ee,/m/0641k,Paper,0.62773883,0.62773883
2012.008ee,/m/0jjw,Art,0.62494594,0.62494594
2012.008ee,/m/015bv3,Document,0.58396477,0.58396477
2012.008ee,/m/0p9xx,Visual arts,0.57798594,0.57798594
2012.008ee,/m/01kr8f,Illustration,0.5735592,0.5735592
2012.008ee,/m/0bt_c3,Book,0.5489708,0.5489708
2012.008ff,/m/083jv,White,0.9218679,0.9218679
2012.008ff,/m/019sc,Black,0.9001827,0.9001827
2012.008ff,/m/03scnj,Line,0.8238672,0.8238672
2012.008ff,/m/03gq5hm,Font,0.8233803,0.8233803
2012.008ff,/m/0jjw,Art,0.790582,0.790582
2012.008ff,/m/021sdg,Graphics,0.67180026,0.67180026
2012.008ff,/m/03d49p1,Monochrome photography,0.66424906,0.66424906
2012.008ff,/m/01kr8f,Illustration,0.65362924,0.65362924
2012.008ff,/m/01mwkf,Monochrome,0.6502224,0.6502224
2012.008ff,/m/0p9xx,Visual arts,0.6389742,0.6389742
2012.008g,/m/03gq5hm,Font,0.8239971,0.8239971
2012.008g,/m/078hm,Slope,0.79866385,0.79866385
2012.008g,/m/0jjw,Art,0.7772111,0.7772111
2012.008g,/m/07jx7,Triangle,0.7734415,0.7734415
2012.008g,/m/030zfn,Parallel,0.7348435,0.7348435
2012.008g,/m/021sdg,Graphics,0.6796237,0.6796237
2012.008g,/m/068mqj,Automotive design,0.66966647,0.66966647
2012.008g,/m/01kr8f,Illustration,0.6437239,0.6437239
2012.008g,/m/0hwky,Pattern,0.61688924,0.61688924
2012.008g,/m/03c31,Graphic design,0.6109691,0.6109691
2012.008gg,/m/019sc,Black,0.89530057,0.89530057
2012.008gg,/m/0j62f,Rectangle,0.8934798,0.8934798
2012.008gg,/m/03gq5hm,Font,0.82407975,0.82407975
2012.008gg,/m/01g6gs,Black-and-white,0.8209897,0.8209897
2012.008gg,/m/03scnj,Line,0.81653106,0.81653106
