accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
2012.008bb,Clock,0.5025845,0.063410304,0.9833519,0.13356972,0.8904135,63,983,174,1161
2012.008cc,Pillow,0.618484,0.015587193,0.9915788,0.0,0.9879691,16,992,0,1288
2012.008dd,Scarf,0.761913,0.18703789,0.81467485,0.17114502,0.7889743,187,815,223,1029
2012.008e,Animal,0.7222441,0.0076116067,0.98785144,0.042064246,0.9633197,8,988,55,1261
2012.008ee,Picture frame,0.5848202,0.0074416413,0.99187475,0.0030459508,0.9778207,7,992,4,1275
2012.008ff,Packaged goods,0.6096769,0.0012012053,0.9973958,0.0024085934,0.9973958,1,997,3,1301
2012.008g,Person,0.74582577,0.4539862,0.5642434,0.72571963,0.87011164,454,564,946,1135
2012.008g,Person,0.6766542,0.23465587,0.3651873,0.23086746,0.37030384,235,365,301,483
2012.008g,Person,0.60944706,0.17198117,0.28646702,0.18293972,0.3309051,172,286,239,432
2012.008g,Person,0.6014721,0.74168724,0.8472116,0.73247343,0.85899276,742,847,955,1120
2012.008g,Person,0.55475825,0.568382,0.7030125,0.65849787,0.7929078,568,703,859,1034
2012.008g,Person,0.52025723,0.5165923,0.69585556,0.5125615,0.5991431,517,696,668,781
2012.008g,Footwear,0.51398313,0.5763568,0.72615737,0.8182754,0.9084349,576,726,1067,1185
2012.008gg,2D barcode,0.6916891,0.102279015,0.9779044,0.1315412,0.9819498,134,1277,131,981
2012.008h,Packaged goods,0.68045086,0.004522199,0.9924595,0.0042930213,0.9839135,5,992,6,1283
2012.008hh,Animal,0.6879017,0.11029637,0.8956036,0.24133092,0.7935231,110,896,315,1035
2012.008hh,Insect,0.59375274,0.13837716,0.8898258,0.25446746,0.7690567,138,890,332,1003
2012.008i,Tie,0.6660363,0.11061258,0.8769432,0.14449884,0.7553525,111,877,188,980
2012.008ii,Person,0.59078467,0.26478437,0.7930572,0.19389081,0.84621984,345,1034,194,845
2012.008ii,Animal,0.582703,0.24709384,0.79808396,0.15197514,0.84523076,322,1041,152,844
2012.008ii,Hat,0.564707,0.21245937,0.7788437,0.13672753,0.86365986,277,1016,137,863
2012.008j,Picture frame,0.83556944,0.19344507,0.80058545,0.23239267,0.71869045,193,801,303,937
2012.008jj,Picture frame,0.50222504,0.020903787,0.9490228,0.039056994,0.8949253,21,949,51,1167
2012.008l,Scarf,0.66790587,0.03677161,0.9554992,0.026371973,0.94973725,37,955,34,1238
2012.008q,Clock,0.7043806,0.016863275,0.9758554,0.027501391,0.97239774,17,976,36,1268
2012.008s,2D barcode,0.94100887,0.043582845,0.94998354,0.0305304,0.9453414,57,1239,30,944
2012.008t,Scarf,0.94622433,0.24305184,0.76304144,0.18224777,0.741477,243,763,239,974
2012.008t,Luggage & bags,0.5220026,0.0044478276,0.9973958,0.0056403237,0.94756716,4,997,7,1245
2012.008u,Window,0.7991003,0.058821905,0.9339866,0.051510904,0.8686083,59,934,67,1133
2012.008v,Hat,0.7564844,0.13976087,0.82896847,0.05244753,0.9406309,182,1081,52,940
2012.008w,Shoe,0.84295934,0.3729409,0.9973958,0.6448774,0.9750808,373,997,841,1272
2012.008w,Shoe,0.5803797,0.0076851756,0.41213533,0.63639,0.97175676,8,412,830,1267
2012.008w,Shoe,0.56859714,0.4415548,0.92749643,0.2082442,0.35402548,442,927,272,462
2012.008w,Shoe,0.5214774,0.42399874,0.9859698,0.5326796,0.69678307,424,986,695,909
2012.008y,2D barcode,0.9445031,0.07679682,0.91917676,0.21784751,0.77060896,100,1199,218,771
2012.008z,2D barcode,0.9616502,0.09415873,0.89307183,0.06673052,0.9086506,94,893,87,1185
2013.002,Person,0.7872096,0.62282616,0.74442345,0.28335443,0.6008223,878,1049,283,601
2013.002,Person,0.78497726,0.339661,0.52528113,0.16616668,0.6698055,479,740,166,670
2013.002,Person,0.77845955,0.23045146,0.4008993,0.43441093,0.82516617,325,565,434,825
2013.002,Person,0.76735103,0.7060365,0.88193816,0.35383323,0.7251014,995,1243,354,725
2013.002,Person,0.75552595,0.5863906,0.7168391,0.521147,0.8227493,826,1010,521,823
2013.002,Person,0.74435234,0.181388,0.31282085,0.20291086,0.56935424,256,441,203,569
2013.002,Person,0.72608215,0.09612822,0.19595943,0.2969319,0.5463713,135,276,297,546
2013.002,Clothing,0.67778856,0.19514309,0.3095486,0.33892778,0.54558796,275,436,339,546
2013.002,Clothing,0.64671177,0.62422293,0.7409492,0.3706602,0.5755931,880,1044,371,576
2013.002,Clothing,0.6465286,0.09766903,0.20432301,0.37847432,0.5588951,138,288,378,559
2013.003,Packaged goods,0.7182174,0.0025774594,0.9926664,0.053245578,0.9556289,3,993,78,1394
2013.003,Shoe,0.6657796,0.0039057676,0.9837847,0.16815327,0.9748614,4,984,245,1422
2013.004,Packaged goods,0.56399727,0.0065232962,0.9923968,0.0065353047,0.9242027,9,1439,7,923
2013.005,Packaged goods,0.61254233,0.031338464,0.95036787,0.13043837,0.7368,31,950,196,1107
2013.005,Person,0.52225137,0.25588486,0.7566428,0.11983099,0.6774425,256,757,180,1018
2013.007,Person,0.7450488,0.3187098,0.63259274,0.32692203,0.62157935,319,633,483,917
2013.008,Packaged goods,0.5643842,0.01357926,0.9218542,0.004810291,0.98598546,14,921,7,1421
2013.008,Person,0.5273353,0.19634587,0.8381178,0.19484653,0.7396395,196,837,281,1066
2013.009,Animal,0.78076863,0.09954993,0.9863929,0.015451529,0.92878133,134,1326,15,928
2013.010,Packaged goods,0.7078468,0.2503042,0.7504337,0.5412777,0.994881,250,750,768,1411
2013.012,Hat,0.88041073,0.03756636,0.95656973,0.14258434,0.92052835,51,1290,142,920
2013.013,Packaged goods,0.6821752,0.0,0.9941404,0.0,0.9957767,0,1465,0,996
2013.014,Packaged goods,0.6316041,0.0003464118,0.9973958,0.01803327,0.9965973,0,997,26,1457
2013.015,Packaged goods,0.7532867,0.045700107,0.94482464,0.1887639,0.95437366,46,945,264,1336
2013.016,Person,0.8004151,0.27540058,0.5634809,0.17450626,0.98916465,386,790,174,988
2013.016,Tie,0.57266414,0.3693858,0.46829537,0.5724736,0.69341356,518,657,572,693
2013.016,Person,0.525537,0.8150887,0.8968413,0.085492976,0.26701376,1143,1257,85,267
2013.017,Tie,0.72371304,0.42682418,0.54241014,0.47480544,0.63138396,427,542,684,910
2013.018,Packaged goods,0.60614216,0.014005928,0.97920996,0.02315442,0.96088654,14,979,34,1395
2013.018,Tie,0.54028,0.4254934,0.5362949,0.47911096,0.63567597,425,536,696,923
2013.019,Animal,0.6310757,0.06844564,0.78227514,0.14509599,0.79811925,68,782,207,1141
2013.019,Hat,0.53219664,0.06084277,0.78757185,0.13002901,0.7837773,61,788,186,1121
2013.020,Person,0.6329494,0.014874067,0.83695674,0.17449768,0.99697846,15,837,249,1423
2013.020,Clothing,0.6210617,0.018434227,0.79326266,0.50985223,0.9924206,18,793,728,1416
2013.021,Bowtie,0.57046586,0.3785223,0.63633376,0.6272182,0.77237105,378,636,894,1101
2013.021,Person,0.5319113,0.025900124,0.97655606,0.024216546,0.96492153,26,976,35,1375
2013.022,Packaged goods,0.7670121,0.099077165,0.9357943,0.17630692,0.8352588,99,936,254,1205
2013.022,Bracelet,0.55819064,0.079111606,0.93761563,0.16160618,0.83178836,79,938,233,1200
2013.036,Teddy bear,0.9256274,0.12970947,0.8810327,0.07616431,0.7706623,122,827,108,1092
2013.036,Earrings,0.83593345,0.7297632,0.87611485,0.7659366,0.86383367,685,823,1085,1224
2013.036,Earrings,0.8344571,0.59612435,0.721685,0.7610665,0.8657818,560,678,1078,1227
2013.036,Earrings,0.83322066,0.31317624,0.44555447,0.7776968,0.8701137,294,418,1102,1233
2013.036,Earrings,0.83146495,0.16481511,0.2960249,0.7749944,0.87151843,155,278,1098,1235
2013.036,Earrings,0.8287055,0.45914993,0.59062207,0.76896954,0.860138,431,555,1090,1219
2014.001,Packaged goods,0.57864934,0.0,0.9969528,0.00313349,0.94155145,0,997,3,948
2014.002,Packaged goods,0.8342642,0.0,0.9748184,0.07494908,0.9973958,0,1309,75,997
2014.003,Shoe,0.87595135,0.09239065,0.9601764,0.02396445,0.98991364,138,1437,24,990
2014.004,Hat,0.8452349,0.1585201,0.8416939,0.06149526,0.53287655,159,842,77,668
2014.004,Person,0.6412141,0.025162296,0.9732906,0.08908642,0.9599673,25,973,112,1203
2014.004,Clothing,0.60195905,0.009446186,0.99550456,0.61673284,0.9935024,9,996,773,1245
2014.005,Hat,0.6950471,0.15887193,0.50751984,0.06525224,0.25663948,159,507,82,324
2014.006,Person,0.5762918,0.06513029,0.8986952,0.019656714,0.9890955,66,909,20,988
2015.037a,Scarf,0.6121723,0.19491273,0.8750534,0.13599597,0.3567913,195,875,176,463
2015.037bb,1D barcode,0.8935113,0.6048256,0.77362496,0.112504326,0.3250973,791,1012,113,325
2015.037bb,1D barcode,0.88934255,0.56450546,0.746535,0.6791587,0.8799091,738,976,679,880
2015.037bb,1D barcode,0.7129328,0.48315802,0.67727786,0.61128205,0.8359054,632,886,611,836
2015.037bb,1D barcode,0.6540954,0.57038504,0.79901475,0.37208045,0.70986396,746,1045,372,710
2015.037c,Hat,0.5285503,0.10260463,0.9194171,0.096707486,0.8931053,103,919,127,1171
2015.037d,Animal,0.73063135,0.06518365,0.9322374,0.20881884,0.5916638,85,1218,209,592
2015.037dd,1D barcode,0.95847297,0.24793391,0.7633267,0.3017086,0.6926775,248,763,393,901
2015.037e,Person,0.50044936,0.025006836,0.9636217,0.033591777,0.9850025,25,964,44,1286
2015.037f,Scarf,0.8915731,0.29820296,0.7112162,0.056297597,0.95150024,298,711,74,1243
2015.037g,Packaged goods,0.63554907,0.0070938915,0.98859364,0.01564923,0.99176097,7,989,20,1295
2015.037gg,Lighting,0.5874061,0.07347955,0.8538093,0.02015374,0.86878175,73,854,26,1136
2015.037h,Lighting,0.6110633,0.24175964,0.73584294,0.13619581,0.85735106,242,736,178,1120
2015.037hh,Packaged goods,0.86823356,0.14286253,0.90530956,0.10092818,0.8885289,143,905,132,1162
2015.037i,Packaged goods,0.6599738,0.09191826,0.9109974,0.020040015,0.9973958,92,911,26,1303
2015.037j,Scarf,0.5454501,0.043825105,0.9443807,0.048909754,0.9362867,44,944,64,1223
2015.037jj,1D barcode,0.9033372,0.61688715,0.8760729,0.8056838,0.8712109,617,876,1051,1136
2015.037jj,1D barcode,0.582121,0.6009319,0.87250805,0.8509181,0.921292,601,873,1110,1201
2015.037k,Hat,0.63743436,0.06221406,0.89767647,0.07336683,0.95020956,62,898,96,1241
2015.037kk,Animal,0.70873857,0.30702588,0.897907,0.18114297,0.90470266,399,1165,181,905
2015.037ll,Person,0.6782733,0.22206534,0.7834728,0.09148208,0.87251216,288,1017,91,873
2015.037ll,Clothing,0.6346013,0.21780027,0.7279256,0.14412497,0.87515265,283,945,144,875
2015.037nn,1D barcode,0.94710267,0.79999113,0.9283982,0.09603133,0.53290135,1040,1207,96,533
2015.037nn,1D barcode,0.77872694,0.49912012,0.6735735,0.59095955,0.839983,649,876,591,840
2015.037nn,1D barcode,0.53117263,0.42837724,0.5629447,0.8441725,0.931042,557,732,844,931
2015.037o,2D barcode,0.8894145,0.107444696,0.89432096,0.13925965,0.8586251,139,1161,139,859
2015.037oo,Lighting,0.76871717,0.15506123,0.8438463,0.4923024,0.8208503,202,1101,492,821
2015.037p,Packaged goods,0.50297755,0.05869947,0.9623628,0.082271494,0.98345923,59,962,107,1278
2015.037pp,Wardrobe,0.78410923,0.14314625,0.89655113,0.11576637,0.873071,186,1166,116,873
2015.037pp,Cupboard,0.6430169,0.111476116,0.8928814,0.11567387,0.911623,145,1162,116,912
2015.037pp,Cabinetry,0.6168305,0.11963382,0.887457,0.12941928,0.87891036,156,1155,129,879
2015.037q,Scarf,0.8211734,0.2047223,0.7783703,0.14520855,0.4693793,205,778,189,610
2015.037r,Picture frame,0.61096555,0.02580215,0.9458196,0.050920125,0.9391754,26,946,67,1228
2015.037rr,Lighting,0.5199721,0.26737693,0.70372176,0.32489094,0.6739195,267,704,425,882
2015.037s,Building,0.56557566,0.62525445,0.74253225,0.30341792,0.65530306,818,971,303,655
2015.037s,Building,0.50192994,0.49674702,0.61198366,0.21595949,0.75807804,650,800,216,758
2015.037t,Scarf,0.8265717,0.19594608,0.82391125,0.1980868,0.7858875,256,1078,198,786
2015.037u,Pillow,0.5884672,0.03527678,0.9558895,0.034000643,0.96489507,46,1250,34,965
2015.037v,Scarf,0.9349094,0.34147313,0.7732961,0.17615396,0.80046636,341,773,230,1047
2015.038a,Packaged goods,0.66745406,0.15374272,0.845504,0.105194986,0.90004,201,1105,105,900
2015.038aa,Scarf,0.6730507,0.053219333,0.9348445,0.07205615,0.9004405,70,1224,72,900
2015.038c,Scarf,0.974972,0.07350835,0.91746163,0.14670888,0.85579014,74,917,192,1123
2015.038cc,Packaged goods,0.55660063,0.0750513,0.928524,0.059238914,0.90460753,98,1215,59,905
2015.038d,Scarf,0.8800277,0.09455273,0.5274175,0.5910478,0.9225295,95,527,775,1209
2015.038d,Scarf,0.82602686,0.12454707,0.69807476,0.06684918,0.5026646,125,698,88,659
2015.038dd,Packaged goods,0.72413003,0.049373638,0.93669206,0.08906817,0.899909,65,1228,89,900
2015.038ee,Lighting,0.5714655,0.007292928,0.9710297,0.010686658,0.9784653,10,1271,11,978
2015.038g,Hat,0.6069419,0.11220788,0.95502067,0.0,0.9745605,147,1249,0,974
2015.038gg,Lighting,0.6482359,0.18519916,0.8191624,0.09334543,0.9118402,242,1070,93,912
2015.038h,Lighting,0.55189973,0.06454522,0.9280124,0.093090095,0.8898635,84,1213,93,889
2015.038h,Sunglasses,0.5456864,0.5648968,0.78370935,0.6587848,0.85558844,738,1024,658,855
2015.038h,Glasses,0.5007028,0.58189434,0.7656656,0.6663244,0.8060238,761,1001,666,805
2015.038hh,Lighting,0.5025076,0.029051358,0.985439,0.15022077,0.9584115,29,985,197,1257
2015.038jj,Lighting,0.5443412,0.02220427,0.89751595,0.026768738,0.97091156,29,1177,27,971
2015.038k,Scarf,0.9535099,0.14377606,0.83419657,0.09665885,0.90816325,188,1091,97,907
2015.038kk,Pillow,0.83839774,0.050879613,0.93543744,0.05918089,0.93323046,66,1222,59,932
2015.038l,Picture frame,0.681529,0.22979271,0.7658377,0.17217606,0.73399705,230,765,225,960
2015.038ll,Pillow,0.6681728,0.073438175,0.9192972,0.118693836,0.9024014,98,1223,119,901
2015.038mm,Hat,0.62382126,0.06222393,0.9961459,0.016342469,0.99532634,62,996,21,1306
2015.038mm,Shoe,0.5552011,0.13277102,0.9857311,0.7809953,0.9973958,133,986,1025,1309
2015.038n,Packaged goods,0.6310642,0.0,0.9973958,0.0,0.9973958,0,1310,0,997
2015.038oo,Hat,0.58765155,0.0,0.9973958,0.0,0.9901292,0,997,0,1292
