accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
2012.008bb,en,"""TO MARS AND BEYOND"" Junealts frice !",0.577,0.866,0.6733128834355828,0.7983128834355828,577,866,878,1041
2012.008bb,,"""",0.581,0.595,0.7691717791411042,0.7760736196319018,581,595,1003,1012
2012.008bb,,TO,0.586,0.607,0.7699386503067485,0.7776073619631901,586,607,1004,1014
2012.008bb,,MARS,0.606,0.654,0.7676380368098159,0.772239263803681,606,654,1001,1007
2012.008bb,,AND,0.652,0.685,0.7622699386503068,0.7645705521472392,652,685,994,997
2012.008bb,,BEYOND,0.681,0.728,0.7538343558282209,0.7530674846625767,681,728,983,982
2012.008bb,,"""",0.722,0.732,0.7430981595092024,0.7469325153374233,722,732,969,974
2012.008bb,,Junealts,0.732,0.804,0.7354294478527608,0.7147239263803681,732,804,959,932
2012.008bb,,frice,0.795,0.829,0.7032208588957055,0.6993865030674846,795,829,917,912
2012.008bb,,!,0.837,0.853,0.6794478527607362,0.6848159509202454,837,853,886,893
2012.008c,en,"G₁
85/100
Дивити
Will Bamer",0.16195569136745608,0.8158899923605806,0.275,0.878,212,1068,275,878
2012.008c,,G₁,0.1703590527119939,0.6875477463712758,0.284,0.82,223,900,284,820
2012.008c,,85/100,0.4828113063407181,0.5523300229182582,0.839,0.876,632,723,839,876
2012.008c,,Дивити,0.1841100076394194,0.2734912146676853,0.833,0.866,241,358,833,866
2012.008c,,Will,0.6485867074102368,0.7058823529411765,0.838,0.86,849,924,838,860
2012.008c,,Bamer,0.7173414820473644,0.8158899923605806,0.838,0.858,939,1068,838,858
2012.008dd,en,"85/100
X
ICON- WORDS ON
tilge
Raskin 97",0.21,0.821,0.6142638036809815,0.8029141104294478,210,821,801,1047
2012.008dd,,85/100,0.21,0.26,0.7845092024539877,0.8006134969325154,210,260,1023,1044
2012.008dd,,X,0.427,0.454,0.6150306748466258,0.6319018404907976,427,454,802,824
2012.008dd,,ICON-,0.383,0.432,0.7868098159509203,0.7975460122699386,383,432,1026,1040
2012.008dd,,WORDS,0.438,0.494,0.7852760736196319,0.7952453987730062,438,494,1024,1037
2012.008dd,,ON,0.5,0.518,0.7845092024539877,0.7944785276073619,500,518,1023,1036
2012.008dd,,tilge,0.527,0.575,0.7845092024539877,0.8029141104294478,527,575,1023,1047
2012.008dd,,Raskin,0.713,0.789,0.7799079754601227,0.7975460122699386,713,789,1017,1040
2012.008dd,,97,0.797,0.82,0.7822085889570553,0.7983128834355828,797,820,1020,1041
2012.008e,pt,"""Trifolium """,0.658,0.771,0.961038961038961,0.9793735676088617,658,771,1258,1282
2012.008e,,"""",0.658,0.666,0.961038961038961,0.9793735676088617,658,666,1258,1282
2012.008e,,Trifolium,0.666,0.757,0.961038961038961,0.9793735676088617,666,757,1258,1282
2012.008e,,"""",0.763,0.771,0.961038961038961,0.9793735676088617,763,771,1258,1282
2012.008ee,ro,"Rimac
Beatrice Riete",0.254,0.732,0.8013803680981595,0.8136503067484663,254,732,1045,1061
2012.008ee,,Rimac,0.254,0.302,0.803680981595092,0.8121165644171779,254,302,1048,1059
2012.008ee,,Beatrice,0.602,0.666,0.8021472392638037,0.8136503067484663,602,666,1046,1061
2012.008ee,,Riete,0.685,0.732,0.8021472392638037,0.8128834355828221,685,732,1046,1060
2012.008ff,en,"Millenium Moment
กา
Ce RoseR
1997",0.215,0.795,0.8857361963190185,0.977760736196319,215,795,1155,1275
2012.008ff,,Millenium,0.215,0.294,0.9524539877300614,0.9662576687116564,215,294,1242,1260
2012.008ff,,Moment,0.308,0.369,0.9516871165644172,0.9647239263803681,308,369,1241,1258
2012.008ff,,กา,0.621,0.664,0.9095092024539877,0.8980061349693251,621,664,1186,1171
2012.008ff,,Ce,0.606,0.625,0.9593558282208589,0.9723926380368099,606,625,1251,1268
2012.008ff,,RoseR,0.633,0.686,0.9593558282208589,0.9739263803680982,633,686,1251,1270
2012.008ff,,1997,0.753,0.795,0.9654907975460123,0.977760736196319,753,795,1259,1275
2012.008g,en,"왕
Bochnell m",0.056,0.944,0.9409509202453987,0.977760736196319,56,944,1227,1275
2012.008g,,왕,0.056,0.113,0.9555214723926381,0.9631901840490797,56,113,1246,1256
2012.008g,,Bochnell,0.679,0.9,0.941717791411043,0.9700920245398773,679,900,1228,1265
2012.008g,,m,0.917,0.943,0.9447852760736196,0.9700920245398773,917,943,1232,1265
2012.008gg,en,"CRESCENDO
1997",0.42879019908116384,0.8728943338437979,0.8818818818818819,0.918918918918919,560,1140,881,918
2012.008gg,,CRESCENDO,0.42955589586523735,0.5336906584992342,0.8818818818818819,0.9039039039039038,561,697,881,903
2012.008gg,,1997,0.833843797856049,0.8705972434915773,0.8918918918918919,0.918918918918919,1089,1137,891,918
2012.008h,en,"85/100
""Up-Down""",0.12,0.576,0.8711656441717791,0.9248466257668712,120,576,1136,1206
2012.008h,,85/100,0.12,0.194,0.8888036809815951,0.9156441717791411,120,194,1159,1194
2012.008h,,"""",0.394,0.429,0.8872699386503068,0.9217791411042945,394,429,1157,1202
2012.008h,,Up,0.403,0.451,0.8857361963190185,0.9194785276073619,403,451,1155,1199
2012.008h,,-,0.446,0.467,0.8819018404907976,0.9179447852760736,446,467,1150,1197
2012.008h,,Down,0.466,0.559,0.8803680981595092,0.9102760736196319,466,559,1148,1187
2012.008h,,"""",0.546,0.575,0.8734662576687117,0.9087423312883436,546,575,1139,1185
2012.008hh,und,85/100,0.052,0.129,0.9217791411042945,0.9555214723926381,52,129,1202,1246
2012.008hh,,85/100,0.053,0.128,0.9217791411042945,0.9555214723926381,53,128,1202,1246
2012.008i,en,"35/100
85
Slospeed XXX
Ruth Eckstein 197",0.103,0.821,0.9468412942989214,0.9807395993836672,103,821,1229,1273
2012.008i,,35/100,0.11,0.175,0.9553158705701078,0.9807395993836672,110,175,1240,1273
2012.008i,,85,0.103,0.13,0.9576271186440678,0.9691833590138675,103,130,1243,1258
2012.008i,,Slospeed,0.269,0.4,0.9560862865947611,0.9699537750385208,269,400,1241,1259
2012.008i,,XXX,0.42,0.481,0.9514637904468413,0.9676425269645609,420,481,1235,1256
2012.008i,,Ruth,0.558,0.624,0.9522342064714946,0.9714946070878274,558,624,1236,1261
2012.008i,,Eckstein,0.632,0.755,0.9506933744221879,0.9691833590138675,632,755,1234,1258
2012.008i,,197,0.778,0.821,0.9476117103235747,0.9676425269645609,778,821,1230,1256
2012.008ii,und,"85/100
WICHITA",0.06365030674846625,0.5130368098159509,0.9259259259259259,0.94994994994995,83,669,925,949
2012.008ii,,85/100,0.06365030674846625,0.11196319018404909,0.9259259259259259,0.94994994994995,83,146,925,949
2012.008ii,,WICHITA,0.4593558282208589,0.5130368098159509,0.934934934934935,0.9479479479479479,599,669,934,947
2012.008j,en,"85/100
HERALDIC TINCTURES
gEvertz 97",0.257,0.799,0.7308282208588958,0.7530674846625767,257,799,953,982
2012.008j,,85/100,0.259,0.314,0.7323619631901841,0.7523006134969326,259,314,955,981
2012.008j,,HERALDIC,0.396,0.493,0.7323619631901841,0.7484662576687117,396,493,955,976
2012.008j,,TINCTURES,0.513,0.62,0.7338957055214724,0.7492331288343558,513,620,957,977
2012.008j,,gEvertz,0.693,0.762,0.7308282208588958,0.7476993865030674,693,762,953,975
2012.008j,,97,0.775,0.798,0.7331288343558282,0.7484662576687117,775,798,956,976
2012.008jj,en,"85/100
***
*****
...
******
****
************
****
****
...
******
Black Square Reflection
Louis Silverstein",0.107,0.878,0.3343558282208589,0.7047546012269938,107,878,436,919
2012.008jj,,85/100,0.107,0.204,0.6771472392638037,0.6955521472392638,107,204,883,907
2012.008jj,,***,0.327,0.346,0.3665644171779141,0.3803680981595092,327,346,478,496
2012.008jj,,*****,0.359,0.389,0.3343558282208589,0.35429447852760737,359,389,436,462
2012.008jj,,...,0.348,0.379,0.3834355828220859,0.40644171779141103,348,379,500,530
2012.008jj,,******,0.329,0.408,0.37423312883435583,0.45015337423312884,329,408,488,587
2012.008jj,,****,0.343,0.367,0.40107361963190186,0.42024539877300615,343,367,523,548
2012.008jj,,************,0.308,0.393,0.3941717791411043,0.4470858895705521,308,393,514,583
2012.008jj,,****,0.295,0.319,0.401840490797546,0.42024539877300615,295,319,524,548
2012.008jj,,****,0.358,0.381,0.43558282208588955,0.4516871165644172,358,381,568,589
2012.008jj,,...,0.403,0.419,0.43558282208588955,0.4470858895705521,403,419,568,583
2012.008jj,,******,0.432,0.469,0.3857361963190184,0.4102760736196319,432,469,503,535
2012.008jj,,Black,0.292,0.362,0.6748466257668712,0.6986196319018405,292,362,880,911
2012.008jj,,Square,0.379,0.46,0.6771472392638037,0.7016871165644172,379,460,883,915
2012.008jj,,Reflection,0.477,0.597,0.6794478527607362,0.7047546012269938,477,597,886,919
2012.008jj,,Louis,0.682,0.744,0.6840490797546013,0.6993865030674846,682,744,892,912
2012.008jj,,Silverstein,0.753,0.878,0.6840490797546013,0.6978527607361963,753,878,892,910
2012.008k,und,"pagl
@a1%",0.077,0.867,0.9302147239263804,0.9647239263803681,77,867,1213,1258
2012.008k,,pagl,0.868,0.542,0.9601226993865031,0.9309815950920245,868,542,1252,1214
2012.008k,,@,0.14,0.125,0.9654907975460123,0.946319018404908,140,125,1259,1234
2012.008k,,a1,0.117,0.101,0.963957055214724,0.9447852760736196,117,101,1257,1232
2012.008k,,%,0.091,0.079,0.9631901840490797,0.9440184049079755,91,79,1256,1231
2012.008kk,en,"85/100
Boat
KERTOMY FUND
Building
HAWEN
Sy
AT
Esphyr Slobodring, 1997",0.09739263803680982,0.9148773006134969,0.2552552552552553,0.950950950950951,127,1193,255,950
2012.008kk,,85/100,0.09739263803680982,0.1464723926380368,0.9179179179179179,0.9379379379379379,127,191,917,937
2012.008kk,,Boat,0.2223926380368098,0.2607361963190184,0.918918918918919,0.9329329329329329,290,340,918,932
2012.008kk,,KERTOMY,0.27837423312883436,0.30828220858895705,0.26326326326326327,0.2872872872872873,363,402,263,287
2012.008kk,,FUND,0.30214723926380366,0.3266871165644172,0.29429429429429427,0.3133133133133133,394,426,294,313
2012.008kk,,Building,0.27070552147239263,0.34432515337423314,0.9179179179179179,0.948948948948949,353,449,917,948
2012.008kk,,HAWEN,0.48773006134969327,0.5306748466257669,0.4114114114114114,0.4494494494494494,636,692,411,449
2012.008kk,,Sy,0.6464723926380368,0.6648773006134969,0.29429429429429427,0.3153153153153153,843,867,294,315
2012.008kk,,AT,0.7239263803680982,0.9125766871165644,0.2902902902902903,0.5335335335335335,944,1190,290,533
2012.008kk,,Esphyr,0.6004601226993865,0.661042944785276,0.9209209209209209,0.948948948948949,783,862,920,948
2012.008kk,,Slobodring,0.6679447852760736,0.776840490797546,0.918918918918919,0.9459459459459459,871,1013,918,945
2012.008kk,,",",0.7776073619631901,0.7868098159509203,0.9159159159159159,0.944944944944945,1014,1026,915,944
2012.008kk,,1997,0.7883435582822086,0.8335889570552147,0.9159159159159159,0.944944944944945,1028,1087,915,944
2012.008l,und,85/100,0.833,0.887,0.9079754601226994,0.9248466257668712,833,887,1184,1206
2012.008l,,85/100,0.833,0.887,0.9102760736196319,0.9225460122699386,833,887,1187,1203
2012.008ll,und,"95/100
Pate trond",0.020705521472392636,0.9202453987730062,0.9109109109109109,0.934934934934935,27,1200,910,934
2012.008ll,,95/100,0.020705521472392636,0.06441717791411043,0.9119119119119119,0.934934934934935,27,84,911,934
2012.008ll,,Pate,0.8236196319018405,0.8642638036809815,0.9119119119119119,0.9319319319319319,1074,1127,911,931
2012.008ll,,trond,0.875,0.9202453987730062,0.9109109109109109,0.9309309309309309,1141,1200,910,930
2012.008m,und,"85
100
4
Jan 197",0.177,0.877,0.375,0.9095092024539877,177,877,489,1186
2012.008m,,85,0.177,0.218,0.8680981595092024,0.8788343558282209,177,218,1132,1146
