accession_number,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y,roll_angle,pan_angle,tilt_angle,"landmarking, confidence",joy_likelihood,sorrow_likelihood,anger_likelihood,surprise_likelihood,under_exposed_likelihood,blurred_likelihood,headwear_likelihood,landmarking_confidence
1957.005,0.703125,0.301369863013699,0.333333333333333,0.524725274725275,0.568681318681319,132,146,191,207,-3.157017,-168.75253,-16.504381,,1,1,1,1,4,1,1,0.0034295253
1957.014,0.69921875,0.220588235294118,0.791176470588235,0.0752941176470588,0.604705882352941,75,269,32,257,-26.33187,-47.788296,3.3847396,,1,1,1,1,1,1,1,0.13323368
1975.014,0.8515625,0.303854875283447,0.607709750566894,0.185,0.443333333333333,134,268,111,266,-3.2674572,-11.111806,-0.48531502,,1,1,1,1,1,1,1,0.45362133
1975.030,0.82421875,0.341,0.6,0.154030327214685,0.393455706304868,341,600,193,493,-0.7522307,-20.31153,-5.574308,,1,1,1,1,1,1,1,0.5879342
1976.017,0.7265625,0.165655339805825,0.351941747572816,0.339,0.695,273,580,339,695,-91.41175,-2.2944484,-14.334135,,1,1,1,1,1,1,1,0.23578583
1978.035,0.5703125,0.809734513274336,0.84882005899705,0.309309309309309,0.37037037037037,1098,1151,309,370,0.5632104,-6.255789,-9.508484,,1,1,1,1,1,1,1,0.0041705086
1978.035,0.71484375,0.369469026548673,0.426253687315634,0.207207207207207,0.297297297297297,501,578,207,297,10.095519,-39.721237,6.5111685,,1,1,1,1,1,1,1,0.018937256
1979.0060,0.8359375,0.225,0.404,0.106636838180462,0.261744966442953,225,404,143,351,8.119861,-5.983962,29.80811,,1,1,1,1,1,1,1,0.052268535
1979.1186P,0.51953125,0.0799735624586914,0.316589557171183,0.373,0.79,121,479,373,790,-27.942173,4.601141,18.608438,,1,1,1,1,1,1,1,0.0031997676
1980.010,0.63671875,0.404317958783121,0.431795878312071,0.233233233233233,0.266266266266266,412,440,233,266,5.3869767,-11.62451,-3.6459312,,1,1,1,1,1,1,1,0.21105549
