accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1957.003,Animal,0.73925465,0.1977833,0.49576354,0.28917143,0.93730366,337,846,289,937
1957.003,Animal,0.73128134,0.010004684,0.19323923,0.41776884,0.98846483,17,330,418,988
1957.003,Animal,0.62682164,0.42272317,0.7928354,0.09015419,0.95375246,721,1353,90,954
1957.003,Person,0.5554454,0.72084075,0.9864705,0.055446517,0.956868,1230,1683,55,957
1957.003,Glasses,0.5185897,0.80045956,0.92676044,0.21394159,0.3007839,1366,1581,214,301
1957.003,Person,0.5010662,0.43692017,0.7982175,0.0566391,0.9580421,745,1362,57,958
1957.004,Painting,0.8145988,0.017053572,0.9881702,0.015203268,0.9480255,8,482,6,376
1957.005,Person,0.74988633,0.26384348,0.37448904,0.51825243,0.7684559,116,164,189,280
1957.005,Person,0.6323777,0.34612462,0.43651876,0.46349797,0.66502243,152,191,169,242
1957.005,Person,0.62304646,0.5840683,0.6529407,0.35680377,0.55556196,256,286,130,202
1957.005,Animal,0.6174903,0.03351747,0.94957614,0.040601045,0.93174636,15,416,15,339
1957.005,Person,0.60831743,0.48824874,0.5777778,0.4719533,0.70617765,214,253,172,257
1957.005,Person,0.5924358,0.1370034,0.2844574,0.5963482,0.8634843,60,125,217,314
1957.012,Painting,0.6339665,0.03297398,0.9473687,0.14716063,0.8789676,10,288,68,404
1957.012,Animal,0.5769061,0.0420863,0.9486396,0.52762717,0.8779443,13,288,243,404
1957.014,Person,0.8118326,0.050269127,0.97122675,0.031500377,0.9318631,17,330,13,396
1957.014,Clothing,0.5694469,0.1935407,0.90848106,0.6527515,0.9380775,66,309,277,399
1957.016,Bird,0.88890696,0.5806716,0.923372,0.08812054,0.5394808,224,356,22,132
1957.016,Bird,0.7784848,0.10899275,0.5526784,0.3710147,0.6126116,42,213,91,150
1957.016,Animal,0.6955064,0.108882256,0.5534804,0.37286702,0.62537783,42,214,91,153
1957.017,Painting,0.7774171,0.010255947,0.97955936,0.01932267,0.9291336,4,347,10,457
1957.018,Person,0.7062091,0.29281384,0.8269808,0.11268749,0.71544814,89,251,46,293
1957.018,Animal,0.6562628,0.07340404,0.34516177,0.64513797,0.85206527,22,105,265,349
1957.019,Animal,0.6867435,0.17288052,0.7568056,0.43516943,0.8481317,61,269,198,387
1957.019,Animal,0.67059565,0.026428888,0.23247288,0.719353,0.93007207,9,83,328,424
1957.019,Animal,0.66794926,0.020685872,0.2607215,0.17614107,0.531872,7,93,80,243
1957.019,Animal,0.6511592,0.7098792,0.89801425,0.49556652,0.85578054,252,319,226,390
1957.019,Person,0.5221003,0.714416,0.9060742,0.50978833,0.85892683,254,322,232,392
1957.019,Person,0.5190655,0.52622324,0.71843606,0.47630095,0.8581533,187,255,217,391
1957.020,Painting,0.8032751,0.03610521,0.95926094,0.016850969,0.9293758,11,285,7,380
1957.034,Painting,0.66640306,0.113072775,0.8858278,0.03581046,0.92169434,41,324,18,462
1957.035,Animal,0.85743314,0.093817435,0.9323656,0.11134211,0.8533142,29,283,51,393
1957.043,Painting,0.54341006,0.08699897,0.96278405,0.02111376,0.9385941,27,295,9,415
1957.044,Person,0.68659097,0.06650601,0.94089895,0.01034744,0.8857115,33,466,4,362
1957.044,Clock,0.6205186,0.5546411,0.7228647,0.73807216,0.89844817,275,358,302,367
1957.046,Hat,0.8534262,0.5713794,0.801086,0.16917974,0.2741043,129,181,75,121
1957.046,Person,0.8236895,0.4895803,0.8563976,0.17169201,0.866096,111,194,76,384
1957.046,Person,0.81742626,0.17178588,0.6315764,0.04515041,0.8960798,39,143,20,397
1957.046,Footwear,0.5069303,0.36472002,0.5946151,0.8206048,0.92446643,82,134,364,410
1964.001,House,0.5525215,0.048583943,0.9503994,0.12390847,0.82136995,24,475,48,315
1964.004,Poster,0.70710003,0.045799896,0.9366417,0.031258654,0.9491709,19,381,16,475
1964.005,House,0.8435822,0.33234242,0.7923569,0.3610535,0.79072636,166,396,142,312
1964.006,House,0.61625236,0.087546974,0.9021418,0.2134807,0.72442776,44,451,82,277
1964.008,Picture frame,0.72435844,0.075698085,0.9131685,0.054612413,0.9154888,33,396,27,458
1964.009,House,0.6176948,0.07528693,0.9196658,0.081971094,0.8792234,38,460,29,313
1964.010,Poster,0.68904907,0.06654296,0.9404037,0.029183544,0.9219319,33,470,11,335
