accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1956.031,und,Whe,0.794326241134752,0.872340425531915,0.426666666666667,0.551111111111111,112,123,96,124
1956.031,,Whe,0.794326241134752,0.872340425531915,0.555555555555556,0.431111111111111,112,123,125,97
1957.003,en,"h
Martin Barooshian.
1952",0.614302461899179,0.967174677608441,0.511,0.997,1048,1650,511,997
1957.003,,h,0.712778429073857,0.614888628370457,0.571,0.628,1216,1049,571,628
1957.003,,Martin,0.719812426729191,0.781946072684642,0.977,0.997,1228,1334,977,997
1957.003,,Barooshian,0.79073856975381,0.88042203985932,0.977,0.997,1349,1502,977,997
1957.003,,.,0.878077373974209,0.885697538100821,0.977,0.997,1498,1511,977,997
1957.003,,1952,0.933763188745604,0.967174677608441,0.979,0.992,1593,1650,979,992
1957.005,en,"IVET
AROO
geo Elmer Brat. Ae",0.365296803652968,0.942922374429224,0.208791208791209,0.967032967032967,160,413,76,352
1957.005,,IVET,0.365296803652968,0.410958904109589,0.42032967032967,0.442307692307692,160,180,153,161
1957.005,,AROO,0.595890410958904,0.577625570776256,0.208791208791209,0.25,261,253,76,91
1957.005,,geo,0.694063926940639,0.732876712328767,0.93956043956044,0.964285714285714,304,321,342,351
1957.005,,Elmer,0.746575342465753,0.801369863013699,0.936813186813187,0.961538461538462,327,351,341,350
1957.005,,Brat,0.808219178082192,0.897260273972603,0.936813186813187,0.958791208791209,354,393,341,349
1957.005,,.,0.894977168949772,0.906392694063927,0.934065934065934,0.958791208791209,392,397,340,349
1957.005,,Ae,0.910958904109589,0.942922374429224,0.931318681318681,0.956043956043956,399,413,339,348
1957.016,und,"Little hab
ARA YEYE MEN
H",0.44300518134715,0.886010362694301,0.0326530612244898,0.979591836734694,171,342,8,240
1957.016,,Little,0.44300518134715,0.489637305699482,0.922448979591837,0.955102040816327,171,189,226,234
1957.016,,hab,0.510362694300518,0.544041450777202,0.922448979591837,0.951020408163265,197,210,226,233
1957.016,,ARA,0.551813471502591,0.528497409326425,0.979591836734694,0.963265306122449,213,204,240,236
1957.016,,YEYE,0.515544041450777,0.484455958549223,0.979591836734694,0.963265306122449,199,187,240,236
1957.016,,MEN,0.479274611398964,0.44559585492228,0.979591836734694,0.963265306122449,185,172,240,236
1957.016,,H,0.873056994818653,0.886010362694301,0.0326530612244898,0.0448979591836735,337,342,8,11
1957.017,und,"L
-",0.929378531073446,0.96045197740113,0.914634146341463,0.934959349593496,329,340,450,460
1957.017,,L,0.946327683615819,0.96045197740113,0.936991869918699,0.916666666666667,335,340,461,451
1957.017,,-,0.943502824858757,0.932203389830508,0.914634146341463,0.92479674796748,334,330,450,455
1957.020,und,FOYECHOVOR,0.835016835016835,0.942760942760943,0.305623471882641,0.704156479217604,248,280,125,288
1957.020,,FOYECHOVOR,0.936026936026936,0.848484848484849,0.305623471882641,0.704156479217604,278,252,125,288
1957.034,en,"fount
识",0.0846994535519126,0.368852459016393,0.646706586826347,0.922155688622755,31,135,324,462
1957.034,,fount,0.218579234972678,0.327868852459016,0.648702594810379,0.890219560878244,80,120,325,446
1957.034,,识,0.204918032786885,0.207650273224044,0.780439121756487,0.87624750499002,75,76,391,439
1957.035,iw,בהכנולה,0.299342105263158,0.628289473684211,0.476086956521739,0.545652173913043,91,191,219,251
1957.035,,בהכנולה,0.299342105263158,0.628289473684211,0.476086956521739,0.545652173913043,91,191,219,251
1957.043,und,14,0.506535947712418,0.565359477124183,0.214932126696833,0.251131221719457,155,173,95,111
1957.043,,14,0.568627450980392,0.509803921568627,0.253393665158371,0.217194570135747,174,156,112,96
1957.044,haw,"Yeral
J..
booooooooo
ooooooo",0.0808080808080808,0.852525252525253,0.0171149144254279,0.938875305623472,40,422,7,384
1957.044,,Yeral,0.854545454545455,0.765656565656566,0.941320293398533,0.919315403422983,423,379,385,376
1957.044,,J,0.296969696969697,0.232323232323232,0.0464547677261614,0.078239608801956,147,115,19,32
1957.044,,..,0.18989898989899,0.137373737373737,0.154034229828851,0.168704156479218,94,68,63,69
1957.044,,booooooooo,0.111111111111111,0.24040404040404,0.139364303178484,0.0366748166259169,55,119,57,15
1957.044,,ooooooo,0.177777777777778,0.0828282828282828,0.0488997555012225,0.112469437652812,88,41,20,46
1957.046,en,"Troyo
??",0.106194690265487,0.893805309734513,0.945823927765237,0.968397291196388,24,202,419,429
1957.046,,Troyo,0.106194690265487,0.256637168141593,0.945823927765237,0.966139954853273,24,58,419,428
1957.046,,??,0.853982300884956,0.893805309734513,0.957110609480813,0.968397291196388,193,202,424,429
1964.004,und,"ARS
tông mành
盯",0.0835380835380835,0.815724815724816,0.06,0.93,34,332,30,465
1964.004,,ARS,0.189189189189189,0.0884520884520885,0.088,0.094,77,36,44,47
1964.004,,tông,0.44963144963145,0.464373464373464,0.918,0.93,183,189,459,465
1964.004,,mành,0.474201474201474,0.496314496314496,0.918,0.928,193,202,459,464
1964.004,,盯,0.818181818181818,0.722358722358722,0.64,0.58,333,294,320,290
1964.005,is,"Vivek
sagtp:· morgunm
expe
www.sp",0.348,0.91,0.0558375634517767,0.916243654822335,174,455,22,361
1964.005,,Vivek,0.91,0.89,0.0558375634517767,0.16497461928934,455,445,22,65
1964.005,,sagtp,0.698,0.67,0.918781725888325,0.903553299492386,349,335,362,356
1964.005,,:,0.664,0.662,0.916243654822335,0.903553299492386,332,331,361,356
1964.005,,·,0.658,0.654,0.916243654822335,0.903553299492386,329,327,361,356
1964.005,,morgunm,0.652,0.6,0.916243654822335,0.903553299492386,326,300,361,356
1964.005,,expe,0.452,0.424,0.918781725888325,0.908629441624365,226,212,362,358
1964.005,,www.sp,0.394,0.35,0.918781725888325,0.903553299492386,197,175,362,356
1964.006,az,"teda, lan Cera Cathì – Rəhim ma",0.08,0.342,0.916230366492147,0.931937172774869,40,171,350,356
1964.006,,teda,0.08,0.12,0.916230366492147,0.931937172774869,40,60,350,356
1964.006,,",",0.126,0.132,0.916230366492147,0.931937172774869,63,66,350,356
1964.006,,lan,0.142,0.17,0.916230366492147,0.931937172774869,71,85,350,356
1964.006,,Cera,0.18,0.218,0.916230366492147,0.931937172774869,90,109,350,356
