accession_number,status,description,image_url,gpt_description,total_tokens,elapsed_time,wikidata_item,no_item
1957.016,uploaded,Bird,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.016.jpg/pct:58.067159999999994,8.812054,34.27004,45.136025999999994/full/0/default.jpg","['standing penguin', 'antarctic bird', 'flightless bird']",375,2.2443480491638184,"penguin, bird, flightless bird",
1957.016,uploaded,Bird,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.016.jpg/pct:10.899275,37.10147,44.368565000000004,24.159690000000005/full/0/default.jpg","['swimming bird', 'aquatic fowl', 'illustrated duck']",375,2.9333560466766357,"duck, fowl, bird",
1957.016,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.016.jpg/pct:10.8882256,37.286702,44.4598144,25.251081000000003/full/0/default.jpg","['swimming bird', 'waterfowl species', 'aquatic avian']",377,3.32590389251709,"species, bird",aquatic avian
1969.015,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1969%2F1969.015.jpg/pct:0.5742904,3.5241976,97.5593496,93.4517784/full/0/default.jpg","['mountain landscape', 'asian countryside', 'river scene']",543,1.6925420761108398,"countryside, landscape, river scene",
1970.020,uploaded,Horse,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1970%2F1970.020.tif/pct:24.462424,70.50305999999999,17.757718,14.10981/full/0/default.jpg","['grazing horse', 'standing horse', 'dark horse']",544,9.776518106460571,"horse, dark horse",
1970.020,uploaded,Horse,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1970%2F1970.020.tif/pct:42.930338,63.58399,20.277592,23.779235/full/0/default.jpg","['standing horse', 'lone equine', 'pastoral scene']",885,6.740464925765991,"horse, scene",lone equine
1970.020,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1970%2F1970.020.tif/pct:70.93368,74.86102,9.54874,15.595305000000003/full/0/default.jpg","['galloping horse', 'running equine', 'animal motion']",546,2.124067783355713,"horse, motion",running equine
1970.020,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1970%2F1970.020.tif/pct:61.873405999999996,72.86717,11.091119000000004,16.76852999999999/full/0/default.jpg","['galloping horse', 'running equine', 'horse movement']",541,2.463168144226074,"movement, horse",running equine
1970.020,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1970%2F1970.020.tif/pct:86.02936,54.841150000000006,9.264780000000005,25.34837999999999/full/0/default.jpg","['textured bush', 'dark foliage', 'dense shrubbery']",546,3.102053165435791,bush,"dark foliage, dense shrubbery"
1970.020,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1970%2F1970.020.tif/pct:5.684367,73.99654,12.354496,11.537249999999998/full/0/default.jpg","['reclining figure', 'sleeping person', 'resting individual']",541,1.8334131240844727,"figure, person, individual",
