,accession_number,language,ratio,partial_ratio,sort_ratio,set_ratio,w_ratio
0,1956.001,la,32,36,37,39,40
1,1956.002,en,22,35,34,48,86
2,1956.003,en,8,54,9,63,57
3,1956.004,la,19,41,26,28,86
4,1956.006,und,14,67,14,17,60
5,1956.007,en,10,33,7,7,38
6,1956.011,und,2,50,3,3,30
7,1956.012,und,0,0,14,14,30
8,1956.013,el,6,10,39,39,54
9,1956.014,la,14,17,36,36,75
10,1956.015,en,0,0,12,12,30
11,1956.017,fr,24,27,45,44,43
12,1956.019,fr,0,0,7,7,40
13,1956.020,lb,28,33,33,33,39
14,1956.022,so,7,33,7,7,24
15,1956.026,und,30,50,30,30,45
16,1956.027,und,0,0,29,29,32
17,1956.028,pt,16,16,32,32,32
18,1956.029,und,15,20,31,31,27
19,1956.030,de,6,8,20,20,32
20,1956.034,hr,18,22,25,25,39
21,1956.035,ro,8,33,17,19,30
22,1956.036,en,27,29,33,33,33
23,1956.037,und,12,17,24,24,30
24,1956.039,sv,9,0,26,26,21
25,1956.041,la,17,19,35,35,34
26,1956.043,la,25,28,29,29,33
27,1956.045,tk,21,23,48,48,46
28,1956.046,te,0,0,18,0,18
29,1956.047,und,7,100,8,8,60
30,1956.048,uz,4,33,9,9,20
31,1956.049,und,33,33,33,33,33
32,1956.057,und,0,0,8,9,16
33,1956.058,und,15,33,15,15,40
34,1956.059,und,0,0,0,0,0
35,1957.001,en,51,100,51,100,90
36,1957.002,und,0,0,0,0,0
37,1957.007,und,17,33,19,19,40
38,1957.008,en,31,35,38,38,38
39,1957.009,nl,26,36,36,36,40
40,1957.010,und,17,19,26,26,29
41,1957.021,und,17,36,21,23,86
42,1957.025,en,0,0,14,14,40
43,1957.027,fr,0,0,10,10,30
44,1957.029,und,0,0,0,0,0
45,1957.030,fr,0,0,0,0,0
46,1957.032,ro,36,43,39,39,41
47,1957.033,und,0,0,30,30,45
48,1957.038,en,24,38,39,100,90
49,1957.040,en,15,37,19,54,57
50,1957.041,en,20,46,28,84,86
51,1957.042,ru,5,8,5,5,7
52,1965.001,fr,15,67,17,17,60
53,1965.004,en,19,67,19,19,60
54,1965.005,ta,0,0,11,11,18
55,1965.006,und,0,0,0,0,0
56,1965.007,fr,0,0,18,18,18
57,1965.011,es,0,0,18,18,18
58,1965.012,es,16,33,29,29,40
59,1965.013,uk,0,0,0,0,0
60,1965.014,und,29,33,19,19,30
61,1965.015,fr,26,31,48,63,86
62,1965.016,en,4,40,5,23,57
63,1965.017,fr,6,33,6,6,20
64,1965.019,und,26,33,17,17,30
65,1965.020,en,2,67,3,3,40
66,1965.022,en,19,67,19,19,40
67,1965.023,fr,22,28,44,48,86
68,1965.026,und,0,0,0,0,0
69,1965.027,fr,14,29,10,10,26
70,1965.030,en,0,0,12,12,30
71,1965.033,kri,30,38,31,31,34
72,1966.007,pl,0,0,22,22,22
73,1966.008,und,57,67,57,57,57
74,1966.009,en,4,33,12,12,38
75,1966.014,en,5,67,8,8,40
76,1967.003,la,4,36,4,4,26
77,1968.003,und,0,0,0,0,0
78,1968.005,en,27,29,94,100,95
79,1969.004,und,12,20,20,20,38
80,1969.017,en,7,50,13,100,60
81,1969.020,en,42,89,49,69,86
82,1969.021,und,7,50,7,7,30
83,1969.022,en,27,33,37,36,40
84,1969.023,en,31,38,40,42,86
