qid,label_ca,description_ca,title_ca_uuid,title_ca,title_ca_ref1_hash,title_ca_ref1_referenceUrl,title_ca_ref1_retrieved_nodeId,title_ca_ref1_retrieved_val,title_ca_ref1_retrieved_prec
Q104032145,Llambrec Material,llibre d'artista d'Antoni Tàpies 2003.003a,B35F070A-D985-4F87-AAA7-0C7FADAF942F,Llambrec Material,,,,,
Q104032147,Llambrec Material,llibre d'artista d'Antoni Tàpies 2003.003b,515D02AF-F020-48AF-AC91-9326C5118832,Llambrec Material,,,,,
Q104032148,Llambrec Material,llibre d'artista d'Antoni Tàpies 2003.003c,52BFD154-8861-4376-9E1A-D0652BDA583A,Llambrec Material,,,,,
Q104032150,Llambrec Material,llibre d'artista d'Antoni Tàpies 2003.003d,40B61D13-196D-4D92-8C5D-E3B3EFC475DC,Llambrec Material,,,,,
Q104032152,Llambrec Material,llibre d'artista d'Antoni Tàpies 2003.003e,9AD970A1-9A8F-4B3B-BA1B-69D72E628482,Llambrec Material,,,,,
Q104032156,Llambrec Material,llibre d'artista d'Antoni Tàpies 2003.003f,BE2E1E45-4AD0-4D4D-BA8C-0C7C30E5E54B,Llambrec Material,,,,,
Q104032158,Llambrec Material,llibre d'artista d'Antoni Tàpies 2003.003g,8E01E744-37AF-4A44-8352-3D14F31D905C,Llambrec Material,,,,,
Q104032161,Llambrec Material,llibre d'artista d'Antoni Tàpies 2003.003h,D601FEF0-4447-4AAF-8E69-297EACC0EAEC,Llambrec Material,,,,,
Q104032163,Llambrec Material,llibre d'artista d'Antoni Tàpies 2003.003i,0B613EA1-3D2B-4C93-A40E-074F4EB28887,Llambrec Material,,,,,
Q104032164,Llambrec Material,llibre d'artista d'Antoni Tàpies 2003.003j,944DEC64-D4AE-420D-891C-BF4FAEDD4425,Llambrec Material,,,,,
Q104032167,Llambrec Material,llibre d'artista d'Antoni Tàpies 2003.003k,B7C94D15-38AD-47A9-8E7D-2D6622114825,Llambrec Material,,,,,
Q104032168,Llambrec Material,llibre d'artista d'Antoni Tàpies 2003.003l,6F4C3C3A-65DB-464B-B368-9B7DDA53375C,Llambrec Material,,,,,
Q102968218,Lletra O,,3D9EB6CE-063C-429D-9642-833228B0FC98,Lletra O,,,,,
Q102973849,Tàpies Comunicacio sobre el mur,,7285186A-2683-4B0E-ACCC-75D79040D892,Tàpies Comunicacio sobre el mur,,,,,
