qid,label_de,description_de,title_de_uuid,title_de,title_de_ref1_hash,title_de_ref1_referenceUrl,title_de_ref1_retrieved_nodeId,title_de_ref1_retrieved_val,title_de_ref1_retrieved_prec
Q103296618,Abschied,,C9B9E354-9B3E-43B2-9D23-B0A9280DFB6A,Abschied,,,,,
Q105095852,"Achtung, Banditen! Die Zeit des Verbrechens",,54FF6F67-A2F2-4411-A3CA-D55391B972AF,"Achtung, Banditen! Die Zeit des Verbrechens",,,,,
Q106577289,Auf! Auf! Auf! Mensch hilf Dir Selbst,,80FE6F87-EE7F-45DD-8EDB-CFAD7451E479,Auf! Auf! Auf! Mensch hilf Dir Selbst,,,,,
Q102961856,Bacchantenzug,,E6A3C495-099F-40E8-B1D4-E941446E4210,Bacchantenzug,,,,,
Q105095850,Das letzte Weekend,,70C113D8-45AE-4701-A082-A1EB08A2C9D3,Das letzte Weekend,,,,,
Q103299074,Das Messer,,A6C439D4-B95C-453E-B595-BCEDA99EE929,Das Messer,,,,,
Q103299082,Das Nest,,88A5C743-5E8A-4F1E-96ED-F704E4B0892A,Das Nest,,,,,
Q105095830,Das Schlafzimmer Fenster,,6164EA10-D3E7-4307-BAEB-822430632A60,Das Schlafzimmer Fenster,,,,,
Q103299168,Der Dichter Walter Rheiner,,EF901D56-289E-4203-ABB7-400FD3BC4BE3,Der Dichter Walter Rheiner,,,,,
Q103299175,Der Fluch des Schlangentals,,0593AFA7-30AF-496D-8987-14812A97550A,Der Fluch des Schlangentals,,,,,
Q103299179,Der Künstler in der Dachstube,,B4B7F142-4046-48A0-BC8C-BDBC30A843FC,Der Künstler in der Dachstube,,,,,
Q105091735,Der Mann vom Kapuziner-Boulevard,,ECA9B4E7-483A-495B-8367-FA49271845C3,Der Mann vom Kapuziner-Boulevard,,,,,
Q105095865,Der Pfadfinder,,D5685A22-5AF9-44B0-A8B0-B77158D8A809,Der Pfadfinder,,,,,
Q103299231,Dialog der Diana,,39BB24D7-D4AB-482D-B1FA-CF6C1C5993A4,Dialog der Diana,,,,,
Q103299250,Die Bruder,,F0848811-18B2-40C1-8AAA-0D671FC52096,Die Bruder,,,,,
Q105095862,Die kleine Vera,,A07F1AD3-ED82-424A-A3E1-04E38CE55D82,Die kleine Vera,,,,,
Q105095832,Die Letzte Kaiserin,,F3D15CD6-3768-43DD-8D33-ABFE0D0676A2,Die Letzte Kaiserin,,,,,
Q105095826,Die Stadt Hibikskus,,0EB2CF3D-478D-43C7-A8F8-D17299F53279,Die Stadt Hibikskus,,,,,
Q102963350,Die Zivilisation marschiert,,04FD9B23-D1F4-461A-B4FB-A1A45234E733,Die Zivilisation marschiert,,,,,
Q106568528,Driekoningenverf,,1F6C40BE-64D9-4453-9749-728AC52D5B0A,Driekoningenverf,,,,,
Q105095859,Eros-bogen,,BC385F9A-B6C9-4489-8101-86B798127216,Eros-bogen,,,,,
Q103299856,Feuervogel,,B6562201-DC15-4601-897F-6490BFA8C10B,Feuervogel,,,,,
Q106566739,Figurliche Kompositio,,2665A7B8-9355-4056-B6A4-6118A9145E80,Figurliche Kompositio,,,,,
Q103300645,Gnolis Handschuh,,0338CAE6-8851-4236-A36A-0132C2C3E3EC,Gnolis Handschuh,,,,,
Q102965870,Grosser Ruhender,,E46E566C-7C97-4F16-81C3-77D8DA3C8B8E,Grosser Ruhender,,,,,
Q102966775,Jüngling am Abend,,24A115F1-8FAD-4822-99A3-6E2D104ABEE0,Jüngling am Abend,,,,,
Q105095856,Kaktus,,42582E9D-6D8F-46B5-82D1-95B89BCC97C7,Kaktus,,,,,
Q103551078,Lackmus,,0655F978-BA4B-4B1A-8DBF-7DDAF2151EA3,Lackmus,,,,,
Q102968309,Mädchen am Sonnenstrand,,8449017D-8EE4-44F9-BC7B-038DAD7514C3,Mädchen am Sonnenstrand,,,,,
Q103304801,Mädchenkopf,,972F9109-6AAD-4CF2-A881-4F94A000BC9E,Mädchenkopf,,,,,
Q105095854,Milagro: Der Kreig im Bohnenfeld,,129AD219-30D3-4EDA-AE2D-078CB59FC9BA,Milagro: Der Kreig im Bohnenfeld,,,,,
Q103305346,Mississippi Burning: Die Wurzel Des Hasses,,025A8826-DDDD-43A5-A06E-8A706A732477,Mississippi Burning: Die Wurzel Des Hasses,,,,,
Q102969711,Petrus und die Magd,,091CB220-98CD-4B1B-9255-96173D96C72C,Petrus und die Magd,,,,,
Q105095869,Schrei nach Freiheit: Leben und Tod des Steve Biko,,AA731A33-1C1B-4F3A-A7BB-7D4250F476E6,Schrei nach Freiheit: Leben und Tod des Steve Biko,,,,,
Q104032326,Selbstbildnis,Druck von Käthe Kollwitz 1970.032,5B0049F4-A878-4943-850C-DA16416ED52D,Selbstbildnis,,,,,
Q104032329,Selbstbildnis,Druck von Käthe Kollwitz 1979.0353P,C417F8C7-5059-4802-8B38-6E4064986159,Selbstbildnis,,,,,
Q105095834,Skalpell Bitte,,2E934B16-B6B4-4818-8744-B01F9E4D3E29,Skalpell Bitte,,,,,
Q102974016,Teydelandschaft,,6519AB42-29A4-435B-9347-EC3B0456DCA6,Teydelandschaft,,,,,
Q103299147,Tiefes Leid ist Stumm,,AA2A947C-DD43-4DD5-859C-117997F125D6,Tiefes Leid ist Stumm,,,,,
Q103310463,Tod packt eine frau,,2C594C12-681D-4A1E-B2B3-B5E338987C6A,Tod packt eine frau,,,,,
Q102975484,Trostung,,186B377D-91BC-4B4F-945C-32CCDED28B96,Trostung,,,,,
Q102976673,Verliebtes Mädchen,,A55CBDCB-70DB-4D19-A2A7-E76412F45805,Verliebtes Mädchen,,,,,
Q102977559,Zertretene - Leichnam und Frauenakt am Pfahl,,34B32F31-D483-4F2F-A175-F70933EB3D30,Zertretene - Leichnam und Frauenakt am Pfahl,,,,,
