qid,label_it,description_it,title_it_uuid,title_it,title_it_ref1_hash,title_it_ref1_referenceUrl,title_it_ref1_retrieved_nodeId,title_it_ref1_retrieved_val,title_it_ref1_retrieved_prec
Q102966256,Il Giorno,,F1709C96-344D-40E9-9CFF-CD7ADC96382A,Il Giorno,,,,,
Q102967194,La Notte,,EDA1E534-0E10-4A1E-83F5-A383CE053EC1,La Notte,,,,,
Q102969023,Nile,,B60F0B3C-CF2C-4813-A729-8DD6FF452F28,Nile,,,,,
Q102969076,Notte A Oslo,,DA98341A-E274-48DF-B9AE-B1CAB74F1E81,Notte A Oslo,,,,,
Q102970782,Sannio,,87C3AE16-9628-4BFF-BB9F-33F5BDB8E31D,Sannio,,,,,
Q102973537,Stromboli,,083DCEAD-041F-465B-A4F2-4A479BDADC3F,Stromboli,,,,,
Q102976596,Veduta dell' Arco di Tito ,,6FB29CC8-739A-4EBB-8D94-860D519EEB2D,Veduta dell' Arco di Tito,,,,,
Q102976607,Veduta della Piazza della Rotonda,,5D8274E8-4EB4-4F56-9631-7EAA5A21098E,Veduta della Piazza della Rotonda,,,,,
Q102976613,Veduta della Piazza di Monte Cavallo,,9DAE1AE2-A45F-4581-84BB-2864E5922FBA,Veduta della Piazza di Monte Cavallo,,,,,
Q102976626,Veduta di Campo Vaccino,,76939D04-D82F-44DA-8BFF-EA191EE55682,Veduta di Campo Vaccino,,,,,
Q102976639,Veduta Interna dell' Atrio del Portico di Ottavia,,70B64BCF-5793-42E8-ACEF-5E6E60B8F1FA,Veduta Interna dell' Atrio del Portico di Ottavia,,,,,
