accession_number,label,type
1986.011,Rough-Legged Falcon,print
1995.030,Buy War Bonds,poster
2005.012,Spirit,print
2005.028,In Technicolor,poster
2010.013,You're Right and You Know It and So Should Everyone Else,poster
2016.006.3,Pearl,print
1975.046,A Group of Carnations,print
1979.1186P,"Ringling Bros and Barnum & Bailey Circus: See you at ""The Greatest Show on Earth""",poster
1979.0179,Brother Matthew Preaching,print
1998.027,LAUS 87 ADGFAD,poster
2016.005.13,Every day 89 people die from gun violence; 208 people are shot and survive,poster
2001.074,A Drive into the desert at Night with cocktails in a thermos and paper cups is Beautiful,poster
2000.094,"Duane Jarvis and Los Flacos - Featuring Phil Lee and Danny Kurtz, Country Soul Rock 'N' Roll from the U.S.A., New Glitterhouse Record ""Combo Platter""",poster
2016.005.14,3 women are killed every day by their intimate partners,poster
2016.005.15,94% of women murder victims are killed by men they knew,poster
1988.080,Wigeon,print
1996.010,"John Bernard Myers Gallery 50 West 57 Street New York NY, Recent Paintings Opening March 31, 1973 through April 26 (Dedicated poster)",poster
1976.004,Village of Plums,print
2016.005.12,Every 17 Minutes Someone is Shot and Killed,poster
2008.160,"Cambridge, London & North Eastern Railway of England and Scotland",poster
2001.078,"Grand Ole Opry Tribute to the Country Music Hall of Fame and Museum, May 19, 2001",poster
2000.097,"Come Dance into the New Century with Donna the Buffalo, At Skipper's Smoke House - Tampa, Fla. - Dec. 31st",poster
2001.028,"Cork 'n Bottle String Band, Wednesday's at Ken's Bar and Grill",poster
2004.069,Iron-Origin-Gold-Origin,poster
2001.068,"The Legendary Gladys Knight at the Historic Ryman Auditorium, March 2, 2001",poster
1979.1200P,Ringling Bros and Barnum & Bailey Circus; The Greatest Show on Earth,poster
2016.005.20,"AMERICA IS NOT FOR SALE, VOTE WHILE IT STILL MATTERS, VOTE BERNIE SANDERS",poster
2000.099,"Jesse Lee Jones and Brazil Billy - Traditional Country Music with a Latin Flair, In Person - Robert's Western World",poster
2000.095,"27B-6 twenty - seven b stroke six. Appearing at- Check out their new album ""MiJumAanJa""",poster
2001.003,Location Plan,print
1972.010,The Burro Station,print
1995.047,Millions of Troops are on the Move - Is Your Trip Necessary - Office of Defense Transportation,poster
1979.0333P,E.P.: It is Pitiable,print
2001.027,"Sat. Mar. 25 - 12th & Porter , Gravel CD Release with Kim's Fable",poster
2001.048,Live! The Time Jumpers - All Star Western Swing Band,poster
2001.015,"The Sizzling Happy Family New CD, And oh how they danced!",poster
2015.075.37,Trusted partners use Condoms to prevent HIV and unwanted Pregnancies. They know that everyone is at risk and they cannot take chances. Be a trusted partner. Use Condom each time you have sex.,poster
2000.029,7 Mile Ford in Person,poster
2001.117,Sugar Shack featuring Loriann Feeley and Jeff Beasley,poster
2001.034,"Who's the Man PRO Golf Challenge Round 1, John ""The Arm"" Smoltz vs. Al ""The Toe"" Del Greco",poster
1975.034,A Group of Auriculas,print
1980.018,Silverstone Rising,print
2001.023,"Merle Haggard - March 28, Embassy Centre, Fort Wayne, IN",poster
2001.025,"You've done it in the shower, You've done it in the car, Now do it on stage -Sing! Brought to you by: Music City Spotlight Mobile DJ/Karaoke",poster
2015.075.36,Do not let embarrassment prevent you from seeking prompt STI treatment. Remember that a number of STIs are related to HIV. Protect your health and that of your loved ones. Visit your nearest health facility and request for STI and HIV tests.,print
2016.005.18,"Rights, Writes, Rites",poster
2001.011,"Ferguson's Blue ""Because Brushing and Flossing Just Aren't Enough""",poster
2017.001.061,"Self portrait ""For Your File. Fritz Eichenberg"" (2 copies)",print
2001.146,The American Music Association,poster
2005.011,Spice up your Life,poster
2000.088,"Kris Kristofferson & Merle Haggard, Oct 25, Hatch Show Print Poster",poster
2001.008,Something to Crow About - The Honky-Tonk Rockabilly Sound of the Modern Eldorados,poster
