qid,en,ca,de,es,fr,ja,ln,sa,it
Q103299231,Dialogue of Diana,,Dialog der Diana,,,,,,
Q106568528,Three Kings Painting,,Driekoningenverf,,,,,,
Q102973849,Communication on the Wall,Tàpies Comunicacio sobre el mur,,,,,,,
Q103299645,Nanny's Boy,,,Et de la Rollana,,,,,
Q104032145,Material Glance,Llambrec Material,,,,,,,
Q104032147,Material Glance,Llambrec Material,,,,,,,
Q104032148,Material Glance,Llambrec Material,,,,,,,
Q104032150,Material Glance,Llambrec Material,,,,,,,
Q104032152,Material Glance,Llambrec Material,,,,,,,
Q104032156,Material Glance,Llambrec Material,,,,,,,
Q104032158,Material Glance,Llambrec Material,,,,,,,
Q104032161,Material Glance,Llambrec Material,,,,,,,
Q104032163,Material Glance,Llambrec Material,,,,,,,
Q104032164,Material Glance,Llambrec Material,,,,,,,
Q104032167,Material Glance,Llambrec Material,,,,,,,
Q104032168,Material Glance,Llambrec Material,,,,,,,
Q102965870,Large Reclining Man,,Grosser Ruhender,,,,,,
Q102966546,Izumi Bridge in Rain,,,,,Izumi-bashi no ame,,,
Q102966775,Youth in the Evening,,Jüngling am Abend,,,,,,
Q102968309,Maiden on Sunny Beach,,Mädchen am Sonnenstrand,,,,,,
Q102969711,Peter and the Maid,,Petrus und die Magd,,,,,,
Q102974016,Teide Landscape,,Teydelandschaft,,,,,,
Q102975150,Fearfulness,,,,,,Timiditas,,
Q102975448,Sadness,,,,,,Tristitia,,
Q102975484,Consolation,,Trostung,,,,,,
Q102976673,Amorous Maiden,,Verliebtes Mädchen,,,,,,
Q102977559,The Downtrodden - Corpse and Nude Woman at a Post,,Zertretene - Leichnam und Frauenakt am Pfahl,,,,,,
Q103296618,Parting,,Abschied,,,,,,
Q103297971,Business-Man,,,,,,,,
Q103299074,Jagged Edge,,Das Messer,,,,,,
Q103299082,The Nest,,Das Nest,,,,,,
Q103299168,The Poet Walter Rheiner,,Der Dichter Walter Rheiner,,,,,,
Q103299175,The Curse of Snake Valley,,Der Fluch des Schlangentals,,,,,,
Q103299179,The Artist in the Attic,,Der Künstler in der Dachstube,,,,,,
Q103299250,The Brother,,Die Bruder,,,,,,
Q103299814,Woman Sitting,,,,Femme Assise,,,,
Q103299856,Firebird,,Feuervogel,,,,,,
Q103300645,Gnoli's Glove,,Gnolis Handschuh,,,,,,
Q103302070,Picture Album of Flowers and Birds by Keinan,,,,,Keinen Kacho Gafu,,,
Q103302076,Keinen's Book of Painting Illustrations,,,,,Keinen Shuga Jo,,,
Q103304801,Girl's Head,,Mädchenkopf,,,,,,
Q103305346,Mississippi Burning: The Root of Hatred,,Mississippi Burning: Die Wurzel Des Hasses,,,,,,
Q103310463,Death Seizes a Woman,,Tod packt eine frau,,,,,,
Q104032326,Self-Portrait,,Selbstbildnis,,,,,,
Q104032329,Self-Portrait,,Selbstbildnis,,,,,,
Q105091735,The Man From the Boulevard des Capucines,,Der Mann vom Kapuziner-Boulevard,,,,,,
Q105095826,Hibiscus Town,,Die Stadt Hibikskus,,,,,,
Q105095830,The Bedroom Window,,Das Schlafzimmer Fenster,,,,,,
Q105095832,The Last Empress,,Die Letzte Kaiserin,,,,,,
Q105095850,The Last Weekend,,Das letzte Weekend,,,,,,
Q105095852,Attention Bandits! The time of crime,,"Achtung, Banditen! Die Zeit des Verbrechens",,,,,,
Q105095854,The Milagro Beanfield War,,Milagro: Der Kreig im Bohnenfeld,,,,,,
Q105095862,Little Vera,,Die kleine Vera,,,,,,
Q105095865,Pathfinder,,Der Pfadfinder,,,,,,
Q105095869,Cry Freedom,,Schrei nach Freiheit: Leben und Tod des Steve Biko,,,,,,
