qid,label,title1,language1,probability1
Q102961707,Aqua (the second from a suite of four prints entitled les Quatres Eléments (The Four Elements)),Aqua (the second from a suite of four prints entitled les Quatres Eléments (The Four Elements)),en,0.714282751548319
Q102962716,Brass figurine,Brass figurine,en,0.999994348677944
Q102962742,Bright Green Bowl,Bright Green Bowl,en,0.571441062934771
Q102962750,Bronze dragon handled vessel,Bronze dragon handled vessel,da,0.571425153690491
Q102962760,Bronze gong,Bronze gong,nl,0.857137968084936
Q102962772,Brooklyn Bridge,Brooklyn Bridge,af,0.857140500212754
Q102962863,Buddhist bell,Buddhist bell,de,0.857139621176693
Q102962896,Butter Pot,Butter Pot,de,0.999996277850528
Q102962917,Calligraphy,Calligraphy,en,0.999994577934466
Q102962958,Captain Coram,Captain Coram,en,0.857139155191457
Q102962992,Carmi,Carmi,pt,0.99338720258103
Q102962997,Carnival,Carnival,it,0.971696709140304
Q102963004,Carpenter's plumb line,Carpenter's plumb line,en,0.386907203053965
Q102963082,"Cat Looking Up, Facing Front","Cat Looking Up, Facing Front",en,0.999998158887819
Q102963087,"Cat Looking Up, Facing Left","Cat Looking Up, Facing Left",en,0.857138519683752
Q102963201,Chawan (tea bowl) with green glaze,Chawan (tea bowl) with green glaze,en,0.99999894004166
Q102963225,Chicken effigy figurine,Chicken effigy figurine,en,0.999996030411622
Q102963235,"Children who Witness Abuse, Ernie and Brianna's Doll","Children who Witness Abuse, Ernie and Brianna's Doll",en,0.99999516850239
Q102963287,"Christ child in a basket, after Giovanni Francesco Barbieri (Guercino)","Christ child in a basket, after Giovanni Francesco Barbieri (Guercino)",en,0.571426705001265
Q102963338,Circular Suiteki (Water Dropper),Circular Suiteki (Water Dropper),en,0.571426483626503
Q102963356,Clay fragment,Clay fragment,en,0.857140136465632
Q102963366,Cloisonné ashtray,Cloisonné ashtray,fr,0.999996600320534
Q102963369,Cloisonné bowl,Cloisonné bowl,fr,0.999998057193975
Q102963374,Cloisonne Box,Cloisonne Box,fr,0.999997563777727
Q102963708,Composition,Composition,it,0.999993483748936
Q102963749,Conspirators,Conspirators,it,0.999995884527812
Q102963753,Container,Container,fr,0.857138191119834
Q102963795,Cordoba,Cordoba,es,0.999994231714845
Q102963875,"Counseling, Denver, Colorado","Counseling, Denver, Colorado",no,0.857137364072083
Q102963930,Cows,Cows,pl,0.857139913148475
Q102963945,Cranbrook,Cranbrook,nl,0.857138798832722
Q102964022,Cypripedium (reproduction),Cypripedium (reproduction),en,0.576453319250296
Q102964135,Deconstructing Piero (turquoise blue),Deconstructing Piero (turquoise blue),fr,0.857140709426806
Q102964142,Deconstructing Piero (turquoise blue) [diptych],Deconstructing Piero (turquoise blue) [diptych],fr,0.714285100110389
Q102964162,"Deconstructing Seurat (turquoise green, 1 of 2)","Deconstructing Seurat (turquoise green, 1 of 2)",en,0.857139865151381
Q102964254,"Devil Head; Sketch for ""Devil Says Hello #1""","Devil Head; Sketch for ""Devil Says Hello #1""",en,0.571427082948141
Q102964535,Doll (framed),Doll (framed),sv,0.999993669743171
Q102964543,Doll in a basket,Doll in a basket,en,0.71428430050427
Q102964551,Donkey,Donkey,fi,0.571426702727662
Q102964801,"Eritrean Refugees, Eastern Sudan","Eritrean Refugees, Eastern Sudan",en,0.857138240297843
Q102964822,"Ethiopian Refugee Running in Rainstorm, Togwajaale, Somalia","Ethiopian Refugee Running in Rainstorm, Togwajaale, Somalia",en,0.71428298695533
Q102964848,Fabric,Fabric,pt,0.999818428999282
Q102964941,Female Ancestral Portrait,Female Ancestral Portrait,pt,0.571426943816054
Q102964946,Female Dancer,Female Dancer,fr,0.99999385410179
Q102964958,Female funerary figure,Female funerary figure,en,0.428570331743908
Q102965012,Fighting Bulls,Fighting Bulls,en,0.857140616799799
Q102965023,Figure,Figure,de,0.999996513367208
Q102965037,Figure Eight,Figure Eight,de,0.999995890292425
Q102965055,Figure Studies,Figure Studies,de,0.857138643404517
Q102965259,Footed gourd vase,Footed gourd vase,af,0.999993338711802
Q102965279,Forest Scene,Forest Scene,de,0.99999531985941
Q102965286,Forest Scene,Forest Scene,de,0.571427573207707
Q102965299,"Formal Garden, Versailles","Formal Garden, Versailles",de,0.980624061871014
Q102965303,Fossil in Formation,Fossil in Formation,en,0.857138811263712
Q102965312,Four Locomotive Scenes,Four Locomotive Scenes,fr,0.999995966271494
Q102965356,Frog-leg bowl,Frog-leg bowl,no,0.571427336467733
Q102965361,"From Galeria Carl van der Voort, Mini Colección","From Galeria Carl van der Voort, Mini Colección",ca,0.999994249335072
Q102965367,"From Galeria Carl van der Voort, Mini Colección","From Galeria Carl van der Voort, Mini Colección",ca,0.999995839516257
Q102965375,"From Galeria Carl van der Voort, Mini Colección","From Galeria Carl van der Voort, Mini Colección",ca,0.999994435744466
Q102965382,"From Galeria Carl van der Voort, Mini Colección","From Galeria Carl van der Voort, Mini Colección",ca,0.999994625096647
Q102965387,"From Galeria Carl van der Voort, Mini Colección","From Galeria Carl van der Voort, Mini Colección",ca,0.999995012359864
Q102965393,"From Galería Carl van der Voort, Mini Colección","From Galería Carl van der Voort, Mini Colección",ca,0.714282941273649
Q102965409,"From Galería Carl van der Voort, Mini Colección","From Galería Carl van der Voort, Mini Colección",ca,0.714281344394548
Q102965423,"From Galería Carl van der Voort, Mini Colección","From Galería Carl van der Voort, Mini Colección",ca,0.857138340913362
Q102965440,"From Galería Carl van der Voort, Mini Colección","From Galería Carl van der Voort, Mini Colección",ca,0.714282032984904
Q102965457,"From Galería Carl van der Voort, Mini Colección","From Galería Carl van der Voort, Mini Colección",ca,0.714284140175668
Q102965468,"From Galería Carl van der Voort, Mini Colección","From Galería Carl van der Voort, Mini Colección",ca,0.571429159850227
Q102965473,"From Galería Carl van der Voort, Mini Colección","From Galería Carl van der Voort, Mini Colección",ca,0.999994306905878
Q102965478,"From Galería Carl van der Voort, Mini Colección","From Galería Carl van der Voort, Mini Colección",ca,0.714283633699039
