qid,dimension,type,label
Q103296133,2D,artists book,(Shinzo) Ukiyo E Ruiko; two volumes
Q102961187,2D,artists book,1 Sekunde artist's book
Q103296500,2D,artists book,A New Volume of the Golden Jar and the First Plum Blossom
Q106577245,2D,artists book,A page from an album of hand-colored woodblock prints depicting ancient sages
Q106577246,2D,artists book,A page from an album of hand-colored woodblock prints depicting ancient sages
Q106577247,2D,artists book,A page from an album of hand-colored woodblock prints depicting ancient sages
Q106577248,2D,artists book,A page from an album of hand-colored woodblock prints depicting ancient sages
Q106577249,2D,artists book,A page from an album of hand-colored woodblock prints depicting ancient sages
Q106577250,2D,artists book,A page from an album of hand-colored woodblock prints depicting ancient sages
Q106577251,2D,artists book,A page from an album of hand-colored woodblock prints depicting ancient sages
Q106577252,2D,artists book,A page from an album of hand-colored woodblock prints depicting ancient sages
Q106577253,2D,artists book,A page from an album of hand-colored woodblock prints depicting ancient sages
Q106577254,2D,artists book,A page from an album of hand-colored woodblock prints depicting ancient sages
Q106577255,2D,artists book,A page from an album of hand-colored woodblock prints depicting ancient sages
Q106577256,2D,artists book,A page from an album of hand-colored woodblock prints depicting ancient sages
Q106577257,2D,artists book,A page from an album of hand-colored woodblock prints depicting ancient sages
Q106577258,2D,artists book,A page from an album of hand-colored woodblock prints depicting ancient sages
Q106577259,2D,artists book,A page from an album of hand-colored woodblock prints depicting ancient sages
Q106577260,2D,artists book,A page from an album of hand-colored woodblock prints depicting ancient sages
Q105095765,2D,artists book,"A portfolio of work by 18 artists titled Ediciones Polígrafa, S.A. 15 Years of Graphic Work"
Q105091596,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
Q105091597,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
Q105091598,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
Q105091599,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
Q105091600,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
Q105091601,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
Q105091602,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
Q105091603,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
Q105091604,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky
