year,circa,string
,False,
2007,False,/2007
2009,False,12/30/09
1900,False,1900
1910,False,1910
1922,False,1922
1923,False,1923
1924,False,1924
1925,False,1925
1926,False,1926
1928,False,1928
1930,False,1930
1935,False,1935
1956,False,1956
1957,False,1957
1958,False,1958
1959,False,1959
1960,False,1960
1961,False,1961
1962,False,1962
1963,False,1963
1964,False,1964
1965,False,1965
1966,False,1966
1967,False,1967
1968,False,1968
1969,False,1969
1970,False,1970
1971,False,1971
1971,True,"1971, ca."
1972,False,1972
1973,False,1973
1973,False,1973 April
1974,False,1974
1975,False,1975
1975,True,"1975, ca."
1976,False,1976
1976,True,"1976, ca."
1977,False,1977
1978,False,1978
1978,True,"1978, ca."
1979,False,1979
1980,False,1980
1980,True,"1980, ca."
1981,False,1981
1982,False,1982
1983,False,1983
1984,False,1984
1985,False,1985
1986,False,1986
1987,False,1987
1988,False,1988
1989,False,1989
1990,False,1990
1990,False,1990 September
1991,False,1991
1992,False,1992
1992,False,1992 January
1993,False,1993
1994,False,1994
1994,False,1994 August
1994,False,1994 December
1995,False,1995
1995,False,1995 September 22
1996,False,1996
1997,False,1997
1998,False,1998
1998,False,1998 September 14
1999,False,1999
1999,False,1999 January 19
1999,False,1999 June 20
1999,False,1999 March 2
2000,False,2000
2000,False,2000 October
2001,False,2001
2002,False,2002
2002,False,2002 December 20
2003,False,2003
2004,False,2004
2004,False,2004 February 25
2004,False,"2004, May 20"
2005,False,2005
2005,False,2005 July 18
2006,False,2006
2006,False,2006 December 18
2007,False,2007
2008,False,2008
2009,False,2009
2010,False,2010
2011,False,2011
2012,False,2012
2013,False,2013
2013,False,2013 October 28
2014,False,2014
2015,False,2015
2015,False,2015 October 5
2016,False,2016
2017,False,2017
2017,False,2017 December 20
2018,False,2018
2019,False,2019
2020,False,2020
2007,False,4/20/2007
1963,False,April 1963
1972,False,April 1972
1927,False,August 1927
1924,False,"December 31, 1924"
1930,False,July 1930
1963,False,November 1963
1998,False,November 1998
,False,Unknown
