string,qid
"Acoma Pueblo, Cibola, New Mexico, United States",
Africa,
"Africa, Central Zaire",Q974
"Africa, Ivory Coast",Q1008
"Africa, Ivory Coast or Ghana",
"Africa, Ivory Coast, Baule People",
"Africa, Nakanai, Bubu Village",
"Africa, Nigeria",Q1033
"Africa, Nigeria, Yoruba People",
"Africa, Nigeria, Yoruba Tribe",
"Africa, Zaire",Q974
"African, Nakamai, Bubu Village",
Ancient Rome,
Angola,Q916
Annam,
Annam (Present Day Vietnam),
"Annam, Viet Nam",
Apulia (Present day Italy),
"Apulia, Italy",
Argentina,Q414
Asia,
Australia,Q408
"Australia, Arnhenhaha",
"Australia, North Central, Aboriginal",
Austria,Q40
Belgium,Q31
Benin,Q962
Bhutan,Q917
"Bologna, Emilia-Romagna, Italy",
Brazil,Q155
Brussels (Southern Netherlandish),
"Cahokia Mounds, Saint Clair, Illinois, United States",
Cambodia,Q424
Canada,Q16
Central America,
"Central America, Chipicuaro, Guanaguato, Mexico",
"Central America, Coastal  Mexico, Veracruz",
"Central America, Mexico",Q96
"Central America, West Mexico, Colima",
Chile,Q298
"Chimbote, Ancash, Peru",
China,Q148
China or Thailand,
Cochiti,
"Cochiti Pueblo, Sandoval, New Mexico, United States",
Colombia,Q739
"Congo, Democratic Republic of the",Q974
Costa Rica,Q800
Cuba,Q241
Czech Republic,Q213
Czechoslovakia,Q33946
Côte d'Ivoire,Q1008
Eastern Africa,
Ecuador,Q736
Egypt,Q79
England,Q21
"England, United Kingdom",Q21
Ethiopia,Q115
Etruria (Present day Italy),
Europe,
"Eyre, Lake, South Australia, Australia",
"Firenze, Tuscany, Italy",
Flanders,Q234
France,Q142
France (Northern),
France (Southern),
France or Italy,
"France, Aquitaine, France",
Germany,Q183
Greco-Roman,
Greece,Q41
Guatemala,Q774
Haiti,Q790
Hungary,Q28
India,Q668
"India, Northwestern",
Indonesia,Q252
Iran,Q794
Iran and United States,
Iraq,Q796
Ireland,Q27
Israel,Q801
Italy,Q38
"Italy, Roman",
"Ivory Coast, Côte d'Ivoire",Q1008
Japan,Q17
"Japan, United States",
Kenya,Q114
"Kingdom of Etruria, Italy",
Korea,Q18097
Latvia,Q211
"Limoges, Haute-Vienne, Limousin, France",
"Lorestān, Iran",
Luxembourg,Q32
Macedonia,Q221
Mali,Q912
Melanesia,
"Melville Island, Northern Territory, Australia",
Mexico,Q96
Middle East,
"Milan, Milano, Lombardy, Italy",
Morocco,Q1028
Mozambique,Q1029
Myanmar,Q836
Netherlands,Q55
"Netherlands, Ukraine",
New Guinea,
"New Ireland, New Ireland, Papua New Guinea",
Nicaragua,Q811
Nigeria,Q1033
North Africa,
Northern Europe,
Pakistan,Q843
Palestine,Q219060
Papua New Guinea,Q691
Persia,Q794
Peru,Q419
Poland,Q36
Portugal,Q45
"Republic of Florence, Tuscany, Italy",
"Rhodes, Rhodes, Sporades, Aegean Islands, Greece",
Romania,Q218
Russia,Q159
Scotland,Q22
Scotland and England,
"Scotland, United Kingdom",Q22
Serbia and Montenegro,Q37024
"Serbia, Serbia and Montenegro",
"Siena, Tuscany, Italy",
Solomon Islands,Q685
South Africa,Q258
South America,
"South America, Ecuador, Valdivia",
South Korea,Q884
Southeast Asia,
Soviet Union,Q15180
Spain,Q29
Sri Lanka,Q854
"Sumatra, Lampung District",
Sweden,Q34
Switzerland,Q39
Syria,Q858
Taiwan,Q865
Tanzania,Q924
Thailand,Q869
"Thessaloníki, Thessaloníki, Macedonia, Greece",
Tibet,Q2444884
Turkey,Q43
Turkey (ancient Byzantium),
Turkey (ancient Syria),
U.S.A.,Q30
U.S.A. and South Korea,
Ukraine,Q212
United Kingdom,Q145
United States,Q30
United States and Poland,
"United States, France",
"Venice, Venezia, Veneto, Italy",
Western Panama & adjoining areas of Costa Rica,
Yugoslavia,Q36704
"Zaire, Angola",
