qid,searched,matches,last_first,description,name1,name,creator_string
Q2871122,yes,yes,"Rowlandson, Thomas and Pugin, A. Charles","1756-1827, 1762-1832, born London, England",Thomas Rowlandson,A. Charles Pugin,"[""Rowlandson, Thomas and Pugin, A. Charles (1756-1827, 1762-1832, born London, England)""]"
,yes,yes,"Dooley, Tim and Wilson, Aaron","1967-, 1972-, born Miami, FL; Xenia, OH",Tim Dooley,Aaron Wilson,"[""Dooley, Tim and Wilson, Aaron  (1967-, 1972-, born Miami, FL; Xenia, OH)""]"
,yes,yes,"Dooley, Tim and Wilson, Aaron","1967-, 1972-, born Miami, FL; Xenia, OH",Tim Dooley,Aaron Wilson,"[""Dooley, Tim and Wilson, Aaron (1967-, 1972-, born Miami, FL; Xenia, OH)""]"
Q4684426,yes,yes,"Benoist, Philippe",1813-,Philippe Benoist,Adolphe Jean-Baptiste Bayot,"[""Benoist, Philippe (1813-) and Bayot, Adolphe Jean-Baptiste""]"
Q34670,yes,yes,"Stauffacher, Jack Werner and Camus, Albert",JWS: 1920-; AC: 1913-1960,Jack Werner Stauffacher,Albert Camus,"[""Stauffacher, Jack Werner and Camus, Albert (JWS: 1920-; AC: 1913-1960)""]"
,yes,no,"Sanchez, America and Sellés, Antoni",,America Sanchez,Antoni Sellés,"[""Sanchez, America and Sellés, Antoni""]"
,yes,yes,"Dore, Gustave and Turner, C.Y.",,Gustave Dore,C.Y. Turner,"[""Dore, Gustave and Turner, C.Y.""]"
,yes,no,"Cage, John",1912-1992,John Cage,Calvin Sumsion,"[""Cage, John (1912-1992) and Sumsion, Calvin (1942-2014)"",""Cage, John (1912-1992) and Sumison, Calvin (1942-2014)""]"
,yes,no,"Sherman, Levi and Gomez, Carly","1990-, born Seattle, WA",Levi Sherman,Carly Gomez,"[""Sherman, Levi and Gomez, Carly (1990-, born Seattle, WA)""]"
,yes,yes,"Daumier, Honoré",1808-1879,Honoré Daumier,Cham,"[""Daumier, Honoré (1808-1879) and Cham (1818-1879)""]"
,yes,yes,"Daumier, Honoré",1808-1879,Honoré Daumier,Cham,"[""Daumier, Honoré (1808-1879) and Cham (1818-1879) ""]"
Q542468,yes,yes,"Christie, John  and Logue, Christopher",,John Christie,Christopher Logue,"[""Christie, John  and Logue, Christopher""]"
Q2734012,yes,yes,"Sueur, Nicolas Le and Comte de Caylus",,Nicolas Le Sueur,Comte de Caylus,"[""Sueur, Nicolas Le and Comte de Caylus ""]"
,yes,no,"Finlay, Ian Hamilton and Wieg, Cornelia","1925-2006, 1935-, born Nassau, Bahamas",Ian Hamilton Finlay,Cornelia Wieg,"[""Finlay, Ian Hamilton and Wieg, Cornelia (1925-2006, 1935-, born Nassau, Bahamas)""]"
,yes,no,"Sutherland, Thomas & Wolstenhome, Dean",,Thomas Sutherland,Dean Wolstenhome,"[""Sutherland, Thomas & Wolstenhome, Dean ""]"
,yes,yes,"Bossi, Benignio and Mazzuoli, Francesco",,Benignio Bossi,Francesco Mazzuoli,"[""Bossi, Benignio and Mazzuoli, Francesco""]"
,yes,no,"Dine, Jim and O'Hara, Frank",,Jim Dine,Frank O'Hara,"[""Dine, Jim and O'Hara, Frank""]"
,yes,yes,Bunbury and Gardiner,,Bunbury,Gardiner,"[""Bunbury and Gardiner""]"
,yes,no,"Katsugawa, Hirosuke and Haruaki Fiji",,Hirosuke Katsugawa,Haruaki Fiji,"[""Katsugawa, Hirosuke and Haruaki Fiji""]"
