qid,label_en,creator_uuid,creator,creator_ref1_hash,creator_ref1_statedIn,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec
Q102961549,,1A20AB6C-E0F4-46E7-A091-F38935A70B00,Q482193,981f07a7c8d8908defb18e4abe0f9d9f85bf542b,,https://library.artstor.org/#/asset/26758365,70f4b6b0-0dfb-4640-b682-446eee211c90,2021-02-01T00:00:00Z,11
Q102963106,,4C2DB11B-9B3A-48D1-A6C9-762247C26BA3,Q482193,81fda2cdbdada259d96a26a54df284f43b657ab9,,https://library.artstor.org/#/asset/26758384,974dd62b-3bf9-466f-bd5a-e38a2f579bef,2021-02-01T00:00:00Z,11
Q102963113,,C5E2294D-4A2A-4167-A19D-CECC258A416B,Q482193,5695f34d67637c8b76fedd9daf8dfaba8a75ad47,,https://library.artstor.org/#/asset/26758356,30b517c9-ac82-471f-9147-6ba829ba2cf8,2021-02-01T00:00:00Z,11
Q102964785,,4D3C2932-E2A7-4375-B7F6-9A8CBC2FE786,Q18508293,385edc7e2ff8798d2371079a2ef1f92ddad99ffa,,https://library.artstor.org/#/asset/26754335,a64cc756-10f5-4c97-96f7-6d1bde879f5d,2021-02-01T00:00:00Z,11
Q102964795,,8F2AF3D5-F0DA-46E1-A6EA-9E9B05D93AEC,Q482193,9256a62bcc08a86beea586021caa79c2ec377e0a,,https://library.artstor.org/#/asset/26758364,dcacd4f7-b057-420f-96d5-5d1ca36c6e73,2021-02-01T00:00:00Z,11
Q102966195,,C5B2D07E-DD94-44BB-91AE-EF550100C89E,Q18508439,cdc6127954eb6e2ae31bbbc0e13b93f110fee18e,,https://library.artstor.org/#/asset/26753965,4918c633-3869-4587-a3d8-17fb88533fac,2021-02-01T00:00:00Z,11
Q102966478,,9CC17817-C8F7-4642-BBB4-89F4B9E7A62E,Q153905,d36b69e1281e864676193e1c81c61955c7517ab3,,https://library.artstor.org/#/asset/26759039,e4aebe9e-ec93-4bef-89ae-6e78bc8b0f25,2021-02-01T00:00:00Z,11
Q102966567,,0F01E708-7876-4817-9D6A-D41AA741EFD4,Q482193,483b90ee2f6dab2199660bd2ed4d77f04d73e639,,https://library.artstor.org/#/asset/26758381,84442df7-3580-4874-980d-e71cc8459131,2021-02-01T00:00:00Z,11
Q102966676,,467A6448-4624-400C-B633-AAC67C2DCF8B,Q482193,bd598bb3438f61d942d42a9681c406e214271baf,,https://library.artstor.org/#/asset/26758374,b8b37368-f379-4f55-a211-1f3fac818dfa,2021-02-01T00:00:00Z,11
Q102967108,,98F98E62-4939-47E7-99AA-597FC0F2F14B,Q482193,804ba094bc85015e27011fb5c610b4087513ba46,,https://library.artstor.org/#/asset/26758362,67b48bfd-de55-4a64-8d3b-1b98f5a238cf,2021-02-01T00:00:00Z,11
