last_first,description,born,died,birthplace,birth_city,birth_state,artist_type,wikidata_description,name,creator_string
"Abad, Antoni","1956-, born Barcelona, Spain",1956,,Q1492,Barcelona, Spain,printmaker,printmaker,Antoni Abad,"['Abad, Antonio (1956-, born Barcelona, Spain)']"
"Acisclo, Manzano",1940-,1940,,,,,printmaker,printmaker,Manzano Acisclo,"['Acisclo, Manzano (1940-)']"
"Adam, G.",,,,,,,printmaker,printmaker,G. Adam,"['Adam, G.']"
Adary,,,,,,,artist,artist,Adary,['Adary']
Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi,al-Husayni,,,,,,artist,artist,Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi,"[""Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi (al-Husayni)""]"
"Albán, Hernan Zúñiga","1948-, born Ambato, Ecuador",1948,,Q210161,Ambato, Ecuador,printmaker,printmaker,Hernan Zúñiga Albán,"['Albán, Hernan Zúñiga (1948-, born Ambato, Ecuador)']"
Alfred Orr,"American painter, graphic designer, and illustrator, born 1886",1886,,,,,printmaker,"American painter, graphic designer, and illustrator",Alfred Orr,"['Alfred Orr (American painter, graphic designer, and illustrator, born 1886)']"
"Alvarez, Manuel Boix",1942-,1942,,,,,printmaker,printmaker,Manuel Boix Alvarez,"['Alvarez, Manuel Boix (1942-)']"
"Andriani, Andrea","Italian, 1584-1610",1584,1610,,,,printmaker,Italian printmaker,Andrea Andriani,"['Andriani, Andrea (Italian, 1584-1610)']"
"Andrus, F.",,,,,,,painter,painter,F. Andrus,"['Andrus, F.']"
"Anthony, Lawrence",1934-,1934,,,,,sculptor,sculptor,Lawrence Anthony,"['Anthony, Lawrence (1934-)']"
"Aramesco, Gigi","born Galatz, Romania",,,Q170996,Galatz,Romania,painter,painter,Gigi Aramesco,"['Aramesco, Gigi (born Galatz, Romania)']"
"Axelrod, H.",,,,,,,painter,painter,H. Axelrod,"['Axelrod, H.']"
"Bach, R.",,,,,,,printmaker,printmaker,R. Bach,"['Bach, R.']"
Baisetsudo,1751-1764,1751,1764,,,,book artist,book artist,Baisetsudo,['Baisetsudo (1751-1764)']
"Barrós, Alfred",,,,,,,printmaker,printmaker,Alfred Barrós,"['Barrós, Alfred']"
"Bauer, Ann",,,,,,,printmaker,printmaker,Ann Bauer,"['Bauer, Ann']"
Baviera,,,,,,,printmaker,printmaker,Baviera,['Baviera ']
"Beeldemaker, Johannes","Dutch painter, born 1630 or 1636, died after 1710",,,,,,painter,Dutch painter,Johannes Beeldemaker,"['Beeldemaker, Johannes (Dutch painter, born 1630 or 1636, died after 1710)']"
"Berger, Emily",,,,,,,printmaker,printmaker,Emily Berger,"['Berger, Emily']"
"Berger, Paul Eric","American photographer and printmaker, born 1948",1948,,,,,photographer,American photographer and printmaker,Paul Eric Berger,"['Berger, Paul Eric (American photographer and printmaker, born 1948)']"
"Bernards, B.",,,,,,,printmaker,printmaker,B. Bernards,"['Bernards, B.']"
"Bill, Virginia F.",,,,,,,drawer,drawer,Virginia F. Bill,"['Bill, Virginia F.']"
"Birchall, L. M.",,,,,,,artist,artist,L. M. Birchall,"['Birchall, L. M.']"
"Blakeley, Fannie B.",,,,,,,printmaker,printmaker,Fannie B. Blakeley,"['Blakeley, Fannie B.']"
