ArtistFirst,ArtistLast,ArtistFull,ArtistAliasFirst,ArtistAliasLast,AliasFull,ArtistYears,born,died,ArtistNationality,ArtistGender,ulan
,Cham, Cham,Amédée Charles Henri de,Noé,Amédée Charles Henri de Noé,1819-1879,1819,1879,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500017700
,Christo, Christo,Christo,Javacheff,Christo Javacheff,1935-2020,1935,2020,American (North American),Male,http://vocab.getty.edu/page/ulan/500115266
,Chryssa, Chryssa,Chryssa,Vardea-Mauromichaeli,Chryssa Vardea-Mauromichaeli,1933-2013,1933,2013,Greek (modern),female,http://vocab.getty.edu/page/ulan/500022002
,Guercino, Guercino,Francesco,Barbieri,Francesco Barbieri,1591-1666,1591,1666,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500021925
,Kuninao, Kuninao,Kuninao,Utagawa,Kuninao Utagawa,1793-1854,1793,1854,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500333878
,Kuniyasu, Kuniyasu,Utagawa,Yasugoro,Utagawa Yasugoro,1794-1834,1794,1834,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500334453
,Lemercier, Lemercier,,, ,1770-1930,1770,1930,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500050139
,Parmigianino, Parmigianino,,Parma, Parma,1503-1540,1503,1540,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500012615
,Raphael, Raphael,,Raffaele, Raffaele,1483-1520,1483,1520,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500023578
,Sadahide, Sadahide,Hashimoto,Sadahide,Hashimoto Sadahide,1807-1873,1807,1873,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500072517
,Yoshikazu, Yoshikazu,Utagawa,Yoshikazu,Utagawa Yoshikazu,1810-1910,1810,1910,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500334458
A. Ross,Pittman,A. Ross Pittman,,, ,,,,American,Male,
Abbott Handerson,Thayer,Abbott Handerson Thayer,,Thayer, Thayer,1849-1921,1849,1921,American (North American),Male,http://vocab.getty.edu/page/ulan/500016002
Aberdeen,Painter,Aberdeen Painter,,, ,490-410 BCE,,,Ancient Greek (culture or style),,http://vocab.getty.edu/page/ulan/500011950
Abraham,Bloemaert,Abraham Bloemaert,,Blommaert, Blommaert,1566-1651,1566,1651,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500007342
Abraham,Bosse,Abraham Bosse,,Bossee, Bossee,1602-1676,1602,1676,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500031187
Abraham,Leblond,Abraham Leblond,,, ,1819-1894,1819,1894,British (modern),Male,http://vocab.getty.edu/page/ulan/500063026
Ad,Reinhardt,Ad Reinhardt,Ad,Reinhardt,Ad Reinhardt,1913-1967,1913,1967,American (North American),Male,http://vocab.getty.edu/page/ulan/500013982
Adolf,Dehn,Adolf Dehn,,, ,1895-1968,1895,1968,American (North American),Male,http://vocab.getty.edu/page/ulan/500009264
Adolfo,Schlosser,Adolfo Schlosser,,, ,1939-2004,1939,2004,Austrian Spanish,Male,
Adolph,Gottlieb,Adolph Gottlieb,,, ,1903-1974,1903,1974,American (North American),Male,http://vocab.getty.edu/page/ulan/500004904
Adolphe Jean Baptiste,Bayot,Adolphe Jean Baptiste Bayot,,, ,1810-1866,1810,1866,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500083284
Adolphe Paul Emile,Balfourier,Adolphe Paul Emile Balfourier,,, ,1816-1875,1816,1875,French (culture or style),,http://vocab.getty.edu/page/ulan/500183562
Adolphe,Willette,Adolphe Willette,,Willette, Willette,1857-1926,1857,1926,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500015711
Adriaen Cornelisz.,Beeldemaker,Adriaen Cornelisz. Beeldemaker,Adriaen Cornelisz.,Beeldemaker,Adriaen Cornelisz. Beeldemaker,1618-1709,1618,1709,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500013716
Adriaen van,Ostade,Adriaen van Ostade,,, ,1610-1685,1610,1685,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500021654
Adrien Etienne,Gaudez,Adrien Etienne Gaudez,,, ,1845-1902,1845,1902,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500061178
Adro,Miguel,Adro Miguel,,, ,,,,Spanish,Male,
Agostino,Carracci,Agostino Carracci,,Agostino, Agostino,1557-1602,1557,1602,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500115349
Akira,Kurosaki,Akira Kurosaki,,, ,1937,1937,,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500093690
Albany E.,Howarth,Albany E. Howarth,,, ,1872-1936,1872,1936,British (modern),Male,http://vocab.getty.edu/page/ulan/500002605
Albert de,Balleroy,Albert de Balleroy,Albert de,Balleroy,Albert de Balleroy,1828-1873,1828,1873,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500049277
Albert,Herter,Albert Herter,,, ,1871-1950,1871,1950,American (North American),Male,http://vocab.getty.edu/page/ulan/500024105
Albert,Ràfols-Casamada,Albert Ràfols-Casamada,,, ,1923-2009,1923,2009,Spanish,Male,
Albert,Rosenthal,Albert Rosenthal,A.,Rosenthal,A. Rosenthal,1863-1939,1863,1939,American (North American),Male,http://vocab.getty.edu/page/ulan/500021856
Alberto,Giacometti,Alberto Giacometti,,, ,1901-1966,1901,1966,Swiss,Male,http://vocab.getty.edu/page/ulan/500118871
Albrecht,Altdorfer,Albrecht Altdorfer,Albrecht,Altdorfer,Albrecht Altdorfer,1475-1538,1475,1538,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500031250
Albrecht,Dürer,Albrecht Dürer,,Albert, Albert,1471-1528,1471,1528,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500115493
Alcide Joseph,Lorentz,Alcide Joseph Lorentz,,, ,1813-1913,1813,1913,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500022471
Alessandro,Turchi,Alessandro Turchi,,Turchi, Turchi,1578-1649,1578,1649,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500003962
Alex S.,Redein,Alex S. Redein,Alex S.,Redein,Alex S. Redein,1912,1912,,American (North American),Male,http://vocab.getty.edu/page/ulan/500054166
Alexander,Archipenko,Alexander Archipenko,,, ,1887-1964,1887,1964,American (North American),Male,http://vocab.getty.edu/page/ulan/500022523
Alexander,Calder,Alexander Calder,,Calder, Calder,1898-1976,1898,1976,American (North American),Male,http://vocab.getty.edu/page/ulan/500007824
Alexis,Rockman,Alexis Rockman,Alexis,Rockman,Alexis Rockman,1962,1962,,American (North American),female,http://vocab.getty.edu/page/ulan/500056823
Alfonso Gomez,Bonifacio,Alfonso Gomez Bonifacio,,, ,,,,Spanish,Male,
Alfred,Barrós,Alfred Barrós,,, ,,,,,Male,
Alfred,DeCredico,Alfred DeCredico,,, ,1944-2009,1944,2009,American (North American),Male,http://vocab.getty.edu/page/ulan/500487280
Alfred Everitt,Orr,Alfred Everitt Orr,,, ,1886,1886,,American (North American),Male,http://vocab.getty.edu/page/ulan/500469316
Alfred J.,Pounders,Alfred J. Pounders,,, ,1931-,1931,,American,Male,
Alfred,Manessier,Alfred Manessier,,, ,1911-1993,1911,1993,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500010362
Alice,Adams,Alice Adams,,, ,1930,1930,,American (North American),female,http://vocab.getty.edu/page/ulan/500033075
Alice,Neel,Alice Neel,,, ,1900-1984,1900,1984,American (North American),female,http://vocab.getty.edu/page/ulan/500022216
Alison,Saar,Alison Saar,Alison,Saar,Alison Saar,1956,1956,,American (North American),,http://vocab.getty.edu/page/ulan/500122244
Allaert van,Everdingen,Allaert van Everdingen,,Everding, Everding,1621-1675,1621,1675,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500115159
Alonzo C.,Webb,Alonzo C. Webb,,, ,1888-1975,1888,1975,American,Male,
Alphonse,Legros,Alphonse Legros,,Legros, Legros,1837-1911,1837,1911,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500013515
Alyson,Shotz,Alyson Shotz,Alyson,Shotz,Alyson Shotz,1964,1964,,American (North American),female,http://vocab.getty.edu/page/ulan/500351075
Amadeo,Gabino,Amadeo Gabino,,, ,1922-2004,1922,2004,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500025957
Amico,Aspertini,Amico Aspertini,,, ,1474-1552,1474,1552,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500022951
Amos,Sewell,Amos Sewell,,, ,1901-1983,1901,1983,American,Male,
Anders,Zorn,Anders Zorn,,Zorn, Zorn,1860-1920,1860,1920,Swedish (culture or style),Male,http://vocab.getty.edu/page/ulan/500002927
André,Derain,André Derain,,, ,1880-1954,1880,1954,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500004535
Andre,Duret,Andre Duret,,, ,1921-,1921,,French,Male,
Andre,Evrard,Andre Evrard,André,Evrard,André Evrard,1936,1936,,Swiss,Male,http://vocab.getty.edu/page/ulan/500137718
André,Lanskoy,André Lanskoy,,, ,1902-1976,1902,1976,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500030813
André,Masson,André Masson,,Masson, Masson,1896-1987,1896,1987,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500030295
Andrea di,Bartolo,Andrea di Bartolo,,, ,1359-1428,1359,1428,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500024770
Andres,Serrano,Andres Serrano,Andres,Serrano,Andres Serrano,1950,1950,,American (North American),Male,http://vocab.getty.edu/page/ulan/500059149
Andrew,Karoly,Andrew Karoly,,, ,1893-1978,1893,1978,Hungarian,Male,
Andrew,Picken,Andrew Picken,,, ,1815-1845,1815,1845,British (modern),Male,http://vocab.getty.edu/page/ulan/500021753
Andrzej,Klimowski,Andrzej Klimowski,,, ,1871,1871,,Polish (culture),Male,http://vocab.getty.edu/page/ulan/500001700
Andy,Warhol,Andy Warhol,Andy,Warhol,Andy Warhol,1928-1987,1928,1987,American (North American),Male,http://vocab.getty.edu/page/ulan/500006031
Angelica,Kauffman,Angelica Kauffman,,Angelica, Angelica,1741-1807,1741,1807,Swiss,female,http://vocab.getty.edu/page/ulan/500115055
Angélique,Bregeon,Angélique Bregeon,Angélique,Tilliard,Angélique Tilliard,1743?-1782,1743?,1782,French,female,
