name,cs_name,cs_alias,wikidata_description,born,cs_born,died,cs_died,birthplace,deathplace,gender,ulan,cs_nationality,artist_type,birth_city,birth_state,description,last_first,creator_string,qc
Yao Zhongbao,,,painter,,,1924,,Q956,,,,,painter,Beijing, China,"-1924, born Beijing, China",Yao Zhongbao,"['Yao Zhongbao (-1924, born Beijing, China)']",
Andrea Andriani,,,Italian printmaker,1584,,1610,,,,,,,printmaker,,,"Italian, 1584-1610","Andriani, Andrea","['Andriani, Andrea (Italian, 1584-1610)']",
Anton Wierix III,,,Flemish printmaker,1596,,1624,,,,,,,printmaker,,,"Flemish printmaker, 1596-1624","Wierix, Anton, III","['Wierix, Anton, III (Flemish printmaker, 1596-1624)']",
Tōteki Unkoku,,,painter,1606,,1664,,,,,,,painter,,,1606-1664,"Unkoku,Tōteki","['Unkoku,Tōteki (1606-1664)']",
Kanō Yashunobu,,,Japanese painter,1613,,1685,,,,,,,painter,,,"Japanese painter, 1613-1685",Kanō Yashunobu,"['Kanō Yashunobu (Japanese painter, 1613-1685)']",
Herman Weyen,Herman Weyen,,printmaker,1643,1638,1672,1669,,,m,,French,printmaker,,,1643-1672,"Weyen, Herman","['Weyen, Herman (1643-1672)']",100 Herman Weyen /  / Herman Weyen / 1638-1669 / 1643-1672
Shugaku Watanabe,,,painter,1644,,1734,,,,,,,painter,,,1644-1734,"Watanabe, Shugaku","['Watanabe, Shugaku (1644-1734)']",
Kitabatake Shigemasa,,,book artist,1739,,1820,,,,,,,book artist,,,1739-1820,"Shigemasa, Kitabatake","['Shigemasa, Kitabatake  (1739-1820)']",
Angélique Bregeon,Angélique Bregeon,Angélique Tilliard,printmaker,1743,1743?,1782,1782,,,f,,French,printmaker,,,1743-1782,"Bregeon, Angélique","['Bregeon, Angélique (1743-1782)']",100 Angélique Bregeon / Angélique Tilliard / Angélique Bregeon / 1743?-1782 / 1743-1782
Baisetsudo,,,book artist,1751,,1764,,,,,,,book artist,,,1751-1764,Baisetsudo,['Baisetsudo (1751-1764)'],
Jacques Couche,,,printmaker,1759,,,,Q28520,,,,,printmaker,Abbeville,,"b. 1759, born Abbeville","Couche, Jacques","['Couche, Jacques (b. 1759, born Abbeville)']",
Soken,,,Japanese painter,1759,,1818,,,,,,,book artist,,,"Japanese painter, 1759-1818",Soken,"['Soken (Japanese painter, 1759-1818)']",
Shinsai Ryuryukyo,,,printmaker,1764,,1820,,,,,,,printmaker,,,1764-1820,"Ryuryukyo, Shinsai","['Ryuryukyo, Shinsai  (1764-1820)']",
F.C. Turner,,,printmaker,1810,,1846,,,,,,,printmaker,,,1810-1846,"Turner, F.C.","['Turner, F.C. and Beckwith, Henry (1810-1846)']",
P.F. Rothermil,,,painter,1817,,1895,,,,,,,painter,,,1817-1895,"Rothermil, P.F.","['Rothermil, P.F. (1817-1895)']",
Friedrich August Schlegel,Friedrich August Schlegel,Friedrich August Schlegel,German artist,1828,1828,,1928,,,m,http://vocab.getty.edu/page/ulan/500091512,"German (culture, style, period)",painter,,,"German artist, born 1828","Schlegel, Friedrich August","['Schlegel, Friedrich August (German artist, born 1828)']",100 Friedrich August Schlegel / Friedrich August Schlegel / Friedrich August Schlegel
S. C. Brees,,,printmaker,1832,,1837,,,,,,,printmaker,,,1832-1837,"Brees, S. C.","['Brees, S. C. and Harden, S. Melville (1832-1837, 1837-1879 )']",
Hakuryu Sugawara,,,painter,1833,,1898,,Q1192050,,,,,painter,Uzen Province, Japan,"1833-1898, born Uzen Province, Japan","Sugawara, Hakuryu","['Sugawara, Hakuryu (1833-1898, born Uzen Province, Japan)']",
August M. Young,,,painter,1837,,1913,,,,,,,painter,,,1837-1913,"Young, August M.","['Young, August M. (1837-1913)']",
Jean-Baptiste-Clement Bourne,,,printmaker,1844,,1866,,,,,,,printmaker,,,1844-1866,"Bourne, Jean-Baptiste-Clement","['Bourne, Jean-Baptiste-Clement (1844-1866)']",
Emil Soren Carsen,,,painter,1848,,1932,,,,,,,painter,,,1848-1932,"Carsen, Emil Soren","['Carsen, Emil Soren (1848-1932)']",
Kunisada,,,Japanese woodcutter and graphic artist,1848,,1920,,,,,,,printmaker,,,"Japanese woodcutter and graphic artist, 1848-1920",Kunisada,"['Kunisada (Japanese woodcutter and graphic artist, 1848-1920)']",
Hans Schmidt-Felling,Julius Schmidt-Felling,,sculptor,1854,1835,1910,1920,,,m,,German,sculptor,,,1854-1910,"Schmidt-Felling, Hans","['Schmidt-Felling, Hans (1854-1910)']",81 Julius Schmidt-Felling /  / Hans Schmidt-Felling / 1835-1920 / 1854-1910
Chikuyodo,,,printmaker,1860,,1890,,,,,,,printmaker,,,1860-1890,Chikuyodo,['Chikuyodo (1860-1890)'],
Tsunejiro Kikuchi,,,book artist,1862,,1918,,,,,,,book artist,,,Kilauchi Hobun,"Kikuchi, Tsunejiro","['Kikuchi, Tsunejiro (Kilauchi Hobun) (1862-1918)']",
Young Ellsworth,,,American painter,1866,,1952,,,,,,,printmaker,,,"American painter, 1866-1952","Ellsworth, Young","['Ellsworth, Young (American painter, 1866-1952)']",
Arthur Anselm Orr,Arthur Anselm Orr,,English glass painter and draftsman,1868,1868,1949,1949,,,m,http://vocab.getty.edu/page/ulan/500108104,British (modern),painter,,,"English glass painter and draftsman, 1868-1949","Orr, Arthur Anselm","['Orr, Arthur Anselm (English glass painter and draftsman, 1868-1949)', 'Orr, Arthur']",100 Arthur Anselm Orr /  / Arthur Anselm Orr
Kōitsu Tsuchiya,,,printmaker,1870,,1949,,,,,,,printmaker,,,1870-1949,"Tsuchiya, Kōitsu","['Tsuchiya, Kōitsu (1870-1949)', 'Tsuchiya , Kōitsu (1870-1949)']",
Richard Mueller,,,printmaker,1874,,1954,,,,m,,,printmaker,,,1874-1954,"Mueller, Richard","['Mueller, Richard (1874-1954)']",84 Richard Zoellner / Richard Zoellner / Richard Mueller / 1909-2003 / 1874-1954
Gyokujo Masuda,Gyokujo Masuda,,painter,1881,1881,1955,1955,,,m,,Japanese,painter,,,1881-1955,"Masuda, Gyokujo","['Masuda, Gyokujo (1881-1955)']",100 Gyokujo Masuda /  / Gyokujo Masuda
Bernice M. Branson,Bernice M. Branson,,printmaker,1882,1882,1936,1936,,,f,,American,printmaker,,,1882-1936,"Branson, Bernice M.","['Branson, Bernice M. (1882-1936)']",100 Bernice M. Branson /  / Bernice M. Branson
Earl A. Warner,Earl A. Warner,,drawer,1883,1883,1918,1918,,,m,,American,drawer,,,1883-1918,"Warner, Earl A.","['Warner, Earl A. (1883-1918)']",100 Earl A. Warner /  / Earl A. Warner
A. Ross Pittman,A. Ross Pittman,,printmaker,1883,,1969,,,,m,,American,printmaker,,,1883-1969,"Pittman, A. Ross","['Pittman, A. Ross (1883-1969)']",100 A. Ross Pittman /  / A. Ross Pittman / - / 1883-1969
Lawrence Harris,,,printmaker,1885,,1970,,,,,,,printmaker,,,1885-1970,"Harris, Lawrence","['Harris, Lawrence  (1885-1970)']",
William Crawford Young,William Crawford Young,,"American illustrator, active 1940",1886,1886,,,,,m,,,printmaker,,,"American illustrator, born 1886, active 1940","Young, William Crawford","['Young, William Crawford (American illustrator, born 1886, active 1940)']",100 William Crawford Young /  / William Crawford Young
Alfred Orr,,,"American painter, graphic designer, and illustrator",1886,,,,,,,,,printmaker,,,"American painter, graphic designer, and illustrator, born 1886",Alfred Orr,"['Alfred Orr (American painter, graphic designer, and illustrator, born 1886)']",
