name,cs_name,alias,cs_alias,wikidata_description,born,born_jstor,cs_born,died,died_jstor,cs_died,birthplace,deathplace,gender,ulan_url,ulan,cs_nationality,artist_type,birth_city,birth_state,description,last_first,creator_string,qc
Andrea Andriani,,,,Italian printmaker,1584,1584,,1610,1610,,,,,,,,printmaker,,,"Italian, 1584-1610","Andriani, Andrea","['Andriani, Andrea (Italian, 1584-1610)']",
Anton Wierix III,,,,Flemish printmaker,1596,1596,,1624,1624,,,,m,,,,printmaker,,,"Flemish printmaker, 1596-1624","Wierix, Anton, III","['Wierix, Anton, III (Flemish printmaker, 1596-1624)']",
Hinaya Ryuho,,,,book artist,1599,1599,,1669,1669,,Q17,,m,,,,book artist,,,Rippo,Ryuho,"['Ryuho (Rippo), Hinaya (1597-1669)']",
Tōteki Unkoku,,,,painter,1606,1606,,1664,1664,,,,,,,,painter,,,1606-1664,"Unkoku,Tōteki","['Unkoku,Tōteki (1606-1664)']",
Jacques Prou,Jacques the elder Prou,,Jacques Prou,French printmaker,1620,,1620,1683,,1683,,,m,http://vocab.getty.edu/page/ulan/500124831,500124831,French (culture or style),printmaker,,,,"Prou, Jacques","['Prou, Jacques']",100 Jacques the elder Prou / Jacques Prou / Jacques Prou / 1620-1683 / -
Shugaku Watanabe,,,,painter,1644,1644,,1734,1734,,,,,,,,painter,,,1644-1734,"Watanabe, Shugaku","['Watanabe, Shugaku (1644-1734)']",
Baisetsudo,,,,book artist,1751,1751,,1764,1764,,,,,,,,book artist,,,1751-1764,Baisetsudo,['Baisetsudo (1751-1764)'],
Jacques Couche,,,,printmaker,1759,1759,,,,,Q28520,,m,,,,printmaker,Abbeville,,"b. 1759, born Abbeville","Couche, Jacques","['Couche, Jacques (b. 1759, born Abbeville)']",
Lemercier,Lemercier,,,French printmaker,1770,,1770,1930,,1930,,,m,http://vocab.getty.edu/page/ulan/500050139,500050139,French (culture or style),printmaker,,,,Lemercier,['Lemercier'],100 Lemercier /  / Lemercier / 1770-1930 / -
Charles Clayton,Charles Clayton,,,British printmaker,1771,,1771,1930,,1930,,,m,http://vocab.getty.edu/page/ulan/500080867,500080867,British (modern),printmaker,,,,"Clayton, Charles","['Clayton, Charles']",100 Charles Clayton /  / Charles Clayton / 1771-1930 / -
Friedrich August Schlegel,Friedrich August Schlegel,,Friedrich August Schlegel,German artist,1828,1828,1828,1928,,1928,,,m,http://vocab.getty.edu/page/ulan/500091512,500091512,"German (culture, style, period)",painter,,,"German artist, born 1828","Schlegel, Friedrich August","['Schlegel, Friedrich August (German artist, born 1828)']",100 Friedrich August Schlegel / Friedrich August Schlegel / Friedrich August Schlegel
Sugawara Hakuryu,,,,painter,1833,1833,,1898,1898,,Q1192050,,m,,,,painter,Uzen Province, Japan,"1833-1898, born Uzen Province, Japan","Sugawara, Hakuryu","['Sugawara, Hakuryu (1833-1898, born Uzen Province, Japan)']",
August M. Young,,,,painter,1837,1837,,1913,1913,,,,m,,,,painter,,,1837-1913,"Young, August M.","['Young, August M. (1837-1913)']",
Jean-Baptiste-Clement Bourne,,,,printmaker,1844,1844,,1866,1866,,,,m,,,,printmaker,,,1844-1866,"Bourne, Jean-Baptiste-Clement","['Bourne, Jean-Baptiste-Clement (1844-1866)']",
Hans Schmidt-Felling,Julius Schmidt-Felling,,,German sculptor,1854,1854,1835,1910,1910,1920,,,m,,,German,sculptor,,,1854-1910,"Schmidt-Felling, Hans","['Schmidt-Felling, Hans (1854-1910)']",81 Julius Schmidt-Felling /  / Hans Schmidt-Felling / 1835-1920 / 1854-1910
George Etta Brinkley Cohen,George Etta Brinkley Cohen,,,American artist and philanthropist,1854,1930,1854,1930,,1930,Q23197,,f,,,American,ceramic artist,Nashville,TN,,"Cohen, George Etta Brinkley","['Cohen, George Etta Brinkley']",100 George Etta Brinkley Cohen /  / George Etta Brinkley Cohen / 1854-1930 / -
Chikuyôdô,,"[""Chikuyodo""]",,printmaker,1860,1860,,1890,1890,,,,,,,,printmaker,,,1860-1890,Chikuyodo,['Chikuyodo (1860-1890)'],
Peggy Smith,Peggy Smith,,Peggy Smith,"American painter, active 20th century",1861,,1861,,,,,,f,http://vocab.getty.edu/page/ulan/500055676,500055676,American (North American),painter,,,"painter, active 20th century","Smith, Peggy","['Smith, Peggy (painter, active 20th century)']",100 Peggy Smith / Peggy Smith / Peggy Smith / 1861- / -
Arthur Anselm Orr,Arthur Anselm Orr,,,English glass painter and draftsman,1868,1868,1868,1949,1949,1949,,,m,http://vocab.getty.edu/page/ulan/500108104,500108104,British (modern),painter,,,"English glass painter and draftsman, 1868-1949","Orr, Arthur Anselm","['Orr, Arthur Anselm (English glass painter and draftsman, 1868-1949)', 'Orr, Arthur']",100 Arthur Anselm Orr /  / Arthur Anselm Orr
Fred Westphal,Fred Westphal,,Fred Westphal,"German artist, active 20th century",1871,,1871,,,,Q183,,m,http://vocab.getty.edu/page/ulan/500082407,500082407,"German (culture, style, period)",printmaker,,,"German artist, active 20th century","Westphal, Fred","['Westphal, Fred (German artist, active 20th century)', 'Westphal, Fred']",100 Fred Westphal / Fred Westphal / Fred Westphal / 1871- / -
Richard Mueller,,,,printmaker,1874,1874,,1954,1954,,,,m,,,,printmaker,,,1874-1954,"Mueller, Richard","['Mueller, Richard (1874-1954)']",84 Richard Zoellner / Richard Zoellner / Richard Mueller / 1909-2003 / 1874-1954
Bernice M. Branson,Bernice M. Branson,,,American printmaker,1882,1882,1882,1936,1936,1936,,,f,,,American,printmaker,,,1882-1936,"Branson, Bernice M.","['Branson, Bernice M. (1882-1936)']",100 Bernice M. Branson /  / Bernice M. Branson
Earl A. Warner,Earl A. Warner,,,American drawer,1883,1883,1883,1918,1918,1918,,,m,,,American,drawer,,,1883-1918,"Warner, Earl A.","['Warner, Earl A. (1883-1918)']",100 Earl A. Warner /  / Earl A. Warner
Allen Ross Pittman,A. Ross Pittman,"[""A. Ross Pittman""]",,American printmaker,1883,1883,,1969,1969,,,,m,,,American,printmaker,,,1883-1969,"Pittman, A. Ross","['Pittman, A. Ross (1883-1969)']",100 A. Ross Pittman /  / A. Ross Pittman / - / 1883-1969
Lawrence Harris,,,,printmaker,1885,1885,,1970,1970,,,,m,,,,printmaker,,,1885-1970,"Harris, Lawrence","['Harris, Lawrence  (1885-1970)']",
William Crawford Young,William Crawford Young,,,"American illustrator, active 1940",1886,1886,1886,,,,,,m,,,,printmaker,,,"American illustrator, born 1886, active 1940","Young, William Crawford","['Young, William Crawford (American illustrator, born 1886, active 1940)']",100 William Crawford Young /  / William Crawford Young
Alfred Orr,,,,"American painter, graphic designer, and illustrator",1886,1886,,,,,,,m,,,,printmaker,,,"American painter, graphic designer, and illustrator, born 1886",Alfred Orr,"['Alfred Orr (American painter, graphic designer, and illustrator, born 1886)']",
Childe de Rohan d'Harcourt,Childe de Rohan d'Harcourt,,,drawer,1886,,1886,,,,,,m,,,,drawer,,,,"d'Harcourt, Childe de Rohan","[""d'Harcourt, Childe de Rohan""]",100 Childe de Rohan d'Harcourt /  / Childe de Rohan d'Harcourt / 1886- / -
Melville Thomas Wire,Melville Thomas Wire,,Melville Thomas Wire,American painter and printmaker,1887,1887,,1966,1966,1966,,,m,http://vocab.getty.edu/page/ulan/500335773,500335773,American (North American),painter,,,"American painter and printmaker, 1887-1966","Wire, Melville Thomas","['Wire, Melville Thomas (American painter and printmaker, 1887-1966)']",100 Melville Thomas Wire / Melville Thomas Wire / Melville Thomas Wire / 1877-1966 / 1887-1966
Harold Speakman,Harold Speakman,,,printmaker,1888,,1888,1928,,1928,Q60,,m,,,American,printmaker,New York,NY,,"Speakman, Harold","['Speakman, Harold']",100 Harold Speakman /  / Harold Speakman / 1888-1928 / -
Montgomery Melbourne,,,,printmaker,1893,1893,,1970,1970,,,,,,,,printmaker,,,1893-1970,"Melbourne, Montgomery","['Melbourne, Montgomery (1893-1970)']",
Gian Carlo Polidori,,,,"Italian artist, active 19th-20th century",1895,1895,,1962,1962,,Q38,,m,,,,painter,,,"Italian artist, active 19th-20th century","Polidori, Gian Carlo","['Polidori, Gian Carlo (Italian artist, active 19th-20th century)']",
Franz Würbel,,,,printmaker,1896,1896,,,,,,,m,,,,printmaker,,,1896-,"Würbel, Franz","['Würbel, Franz (1896-)']",
William MacLean,William MacLean,,,American printmaker,1897,1897,1897,1977,1977,1977,,,m,,,American,printmaker,,,1897-1977,"MacLean, William","['MacLean, William (1897-1977)']",100 William MacLean /  / William MacLean
