qid,label_en,creator_string
Q105090025,Andrea Andriani,"['Andriani, Andrea (Italian, 1584-1610)']"
Q105090027,Anton Wierix III,"['Wierix, Anton, III (Flemish printmaker, 1596-1624)']"
Q105090031,Hinaya Ryuho,"['Ryuho (Rippo), Hinaya (1597-1669)']"
Q105090034,Tōteki Unkoku,"['Unkoku,Tōteki (1606-1664)']"
Q105090038,Jacques Prou,"['Prou, Jacques']"
Q105090040,Shugaku Watanabe,"['Watanabe, Shugaku (1644-1734)']"
Q105090044,Baisetsudo,['Baisetsudo (1751-1764)']
Q105090047,Jacques Couche,"['Couche, Jacques (b. 1759, born Abbeville)']"
Q105090050,Lemercier,['Lemercier']
Q105090053,Charles Clayton,"['Clayton, Charles']"
Q105090055,Friedrich August Schlegel,"['Schlegel, Friedrich August (German artist, born 1828)']"
Q105090057,Sugawara Hakuryu,"['Sugawara, Hakuryu (1833-1898, born Uzen Province, Japan)']"
Q105090061,August M. Young,"['Young, August M. (1837-1913)']"
Q105090064,Jean-Baptiste-Clement Bourne,"['Bourne, Jean-Baptiste-Clement (1844-1866)']"
Q105090067,George Etta Brinkley Cohen,"['Cohen, George Etta Brinkley']"
Q105090069,Chikuyôdô,['Chikuyodo (1860-1890)']
Q105090073,Peggy Smith,"['Smith, Peggy (painter, active 20th century)']"
Q105090076,Arthur Anselm Orr,"['Orr, Arthur Anselm (English glass painter and draftsman, 1868-1949)', 'Orr, Arthur']"
Q105090079,Fred Westphal,"['Westphal, Fred (German artist, active 20th century)', 'Westphal, Fred']"
Q105090082,Richard Mueller,"['Mueller, Richard (1874-1954)']"
Q105090085,Bernice M. Branson,"['Branson, Bernice M. (1882-1936)']"
Q105090086,Earl A. Warner,"['Warner, Earl A. (1883-1918)']"
Q105090088,Allen Ross Pittman,"['Pittman, A. Ross (1883-1969)']"
Q105090090,Lawrence Harris,"['Harris, Lawrence  (1885-1970)']"
Q105090094,William Crawford Young,"['Young, William Crawford (American illustrator, born 1886, active 1940)']"
Q105090096,Alfred Orr,"['Alfred Orr (American painter, graphic designer, and illustrator, born 1886)']"
Q105090099,Childe de Rohan d'Harcourt,"[""d'Harcourt, Childe de Rohan""]"
Q105090102,Melville Thomas Wire,"['Wire, Melville Thomas (American painter and printmaker, 1887-1966)']"
Q105090105,Harold Speakman,"['Speakman, Harold']"
Q105090109,Montgomery Melbourne,"['Melbourne, Montgomery (1893-1970)']"
Q105090111,Gian Carlo Polidori,"['Polidori, Gian Carlo (Italian artist, active 19th-20th century)']"
Q105090114,Franz Würbel,"['Würbel, Franz (1896-)']"
Q105090119,William MacLean,"['MacLean, William (1897-1977)']"
Q105090122,Ann Mittelman,"['Mittelman, Ann (1898-1996)']"
Q105090124,Frances Marian Hebert,"['Hebert, Frances Marian (American, 1899-1960)']"
Q105090126,Sadie Skoletsky Rosenblum,"['Rosenblum, Sadie Skoletsky (American painter and sculptor, 1899-1982)']"
Q105090130,Dorothy Paris,"['Paris, Dorothy']"
Q105090132,Rolf Key-Oberg,"['Key-Oberg, Rolf (American ceramicist, 1900-1959)']"
Q105090135,Amos Seweil,"['Seweil, Amos']"
Q105090138,James Kirk Merrick,"['Merrick, James Kirk  (1905-1985)']"
Q105090141,W. H. Walker,"['Walker, W. H. (British watercolorist and illustrator, 1906-1926)']"
Q105090144,Thomas Puryear Mims,"['Mims, Thomas Puryear (American sculptor, 1906-1975)']"
Q105090146,La Rue Storm,"['Storm, La Rue (1908-, born Miami, FL)']"
Q105090150,Phillipe Sanh,"['Sanh, Phillipe (1908-, born Indo-China)', 'Sanh, Phillipe (1908-)']"
Q105090152,Tibbie Levy,"['Levy, Tibbie (1908-)']"
Q105090155,Lei Pei-Zhi,"['Pei-Zhi, Lei (1909-1985)']"
Q105090158,Elenor Ulman,"['Ulman, Elenor']"
Q105090162,Georges Sanh,"['Sanh, Georges (1909-, born Hanoi, Vietnam)']"
Q105090165,George Stang,"['Stang, George']"
Q105090167,Vincent McPharlin,"['McPharlin, Vincent (1910-1985, born Hastings, MI)']"
Q105090171,Jeanette Alexander Judson,"['Judson, Jeanette Alexander (1912-2002)']"
Q105090174,Avery Handly,"['Handly, Avery (1913-1958)']"
Q105090176,"Francis Joseph Gyra, Jr.","['Gyra, Francis Joseph, Jr. (1914-2007)']"
Q105090179,Marcel Floris,"['Floris, Marcel (1914-2007)']"
Q105090181,Su-chin Wen Chen,"['Su-chin Wen Chen (1914-, born Wu-hsing, Chekiang Province, China)']"
Q105090184,Francisco Gutiérrez,"['Gutiérrez, Francisco (1915-1945, born Oaxaca, Mexico)']"
Q105090187,Beveridge Moore,"['Moore, Beveridge (1915-2004, born Richmond, VA)']"
Q105090189,Gerald Holly,"['Holly, Gerald (1917-2004, born Lewisburg, TN)']"
Q105090192,Toru Mabuchi,"['Mabuchi, Toru (1920-1994, born Tokyo, Japan)']"
Q105090196,Nola Zirin,"['Zirin, Nola (1920-, born New York, NY)']"
Q105090198,Yves Johnston,"['Johnston, Yves (1920-)']"
Q105090201,Zdenka Zivkovic,"['Zivkovic, Zdenka (born Czechoslovakia)', 'Zivkovic, Zdenka (, born Czechoslovakia)']"
Q105090204,Dimitri Perdikitis,"['Perdikitis, Dimitri (1922-, born Athens, Greece)']"
Q105090207,De La Rue,"['Rue, De La (1922-, born Paris, France)']"
Q105090210,George King Stark,"['Stark, George King (1923-1992, born Schenectady, NY, died Granby, NY)']"
Q105090213,Ralph H. Scharf,"['Scharf, Ralph H. (1923-1993, born Chicago, IL)']"
Q105090215,Gray Phillips,"['Phillips, Gray (1923-2005, born Chattanooga, TN, died Pacific Palisades, CA)']"
Q105090218,Ninon Lacey,"['Lacey, Ninon (1923-, born New Hampshire)']"
Q105090220,Louise LeQuire,"['LeQuire, Louise', 'Lequire, Louise']"
Q105090222,Rudolf Mauke,"['Mauke, Rudolf (German artist, born 1924)']"
Q105090225,Augustin Ubeda,"['Ubeda, Augustin (Spanish artist, born 1925)']"
Q105089946,Helen Soreff,"['Soreff, Helen (American painter, 20th century)']"
Q105090227,Iwami Reika,"['Reika, Iwami (1927-1989)']"
Q105090229,Robert W. Loberg,"['Loberg, Robert W. (1927-1999, born Chicago, IL)']"
Q105090234,Jean Cohen,"['Cohen, Jean (1927-2013, born Brooklyn, NY, died Long Island, NY)', 'Cohen, Jean (1927-2013, born New York, NY, died Long Island, NY)']"
Q105090236,Olen Bryant,"['Bryant, Olen (1927-2017, born Cookeville, TN)']"
Q105090238,Rafael Tur Costa,"['Tur Costa, Rafael (1927-, born Santa Eulalia, Ibiza, Spain)']"
Q105090241,Rolph Blakstad,"['Blakstad, Rolph (1929-, born Vancouver, Canada)']"
Q105090244,Joseph Schwarz,"['Schwarz, Joseph (American painter, born 1929)']"
Q105090247,Heiner Stackelhaus,"['Stackelhaus, Heiner']"
Q105090252,William Loy,"['Loy, William (1930-)']"
Q105090256,Matthew Carone,"['Carone, Matthew (1930-, born New Jersey)', 'Carone, Matthew']"
Q105090259,Paul Lancaster,"['Lancaster, Paul']"
Q105090263,Robert Hauser,"['Hauser, Robert (1930)']"
Q105090267,Thomas Zvi Wilson,"['Wilson, Thomas Zvi (1931-)']"
Q105090271,Alfred J. Pounders,"['Pounders, Alfred J. (1931-)']"
Q105090274,Alfonso Gomez Bonifacio,"['Bonifacio, Alfonso Gomez (1933-2011)']"
Q105090277,Giorgio Pagliari,"['Pagliari, Giorgio (1933-2015, born Rome, Italy, died Ibiza, Spain)', 'Pagliari, Giorgio (1933-, born Rome, Italy)']"
Q105090280,Claire Bush,"['Bush, Claire (1933-, born Pocono Lake, PA)']"
Q105090283,Eric Rutherford,"['Rutherford, Eric (British artist, active from 1963)']"
Q105090286,Willow Legge,"['Legge, Willow (1934-)']"
Q105090289,Patricia Jean Burg,"['Burg, Patricia Jean (Canadian artist, born 1934)']"
Q105090291,Lawrence Anthony,"['Anthony, Lawrence (1934-)']"
Q105090293,Victor Huggins,"['Huggins, Victor (1936-, born Durham, NC)', 'Huggins, Victor  (1936-)', 'Huggins, Victor (1936-)']"
Q105090297,John Gwinn,"['Gwinn, John']"
Q105090302,Henk van Putten,"['Putten, Henk van (Dutch sculptor, born 1936)']"
Q105090305,Don Cameron,"['Cameron, Don (1936-)']"
Q105090308,Ferran Teixidor,"['Teixidor, Ferran (Spanish painter, born 1936)']"
Q105090310,Robert Quijada,"['Quijada, Robert (American artist, 1937-1994)']"
Q105090313,Oscar Magnan,"['Magnan, Oscar (1937-, born Cienfuegos, Cuba)']"
Q105090317,Jean Wall Penland,"['Penland, Jean Wall (American painter and etcher)']"
Q105090320,Michael Garman,"['Garman, Michael (1938-)']"
Q105090323,Adolf Schlosser,"['Schlosser, Adolf (1939-)']"
Q105090326,Clover Vail,"['Vail, Clover (American painter, born 1939)']"
Q105090329,Rainer Pfnür,"['Pfnür, Rainer (German artist, born 1939)']"
Q105090333,Miquel Vilà,"['Vilà, Miquel (1940-, born Barcelona, Spain)']"
Q105090336,Manzano Acisclo,"['Acisclo, Manzano (1940-)']"
Q105090339,Cis Lenerts,"['Lenerts, Cis (1940)']"
Q105090342,Terry Max Hochstetler,"['Hochstetler, T. Max (1964-)', 'Hochstetler, T. Max']"
Q105090345,Yukio Katsuda,"['Katsuda, Yukio (1941-)']"
Q105090349,Watthana Watthanāphan,"['Wattana Wattanapun (Thai painter, born 1941)']"
Q105090353,Joseph A. Pecsenke,"['Pecsenke, Joseph A. (1942-1989)']"
Q105090357,Phillis Ideal,"['Ideal, Phillis (1942-, born Roswell, NM)']"
Q105090360,Diana R. Hansen,"['Hansen, Diana R. (1942-)']"
