qid,name
Q10803129,Antoni Abad i Roses
Q3638203,Benigno Bossi
Q559929,Bernard Picaut/Picart
Q16971287,"Boysen, William H."
Q936876,Franciszek Starowieyski
Q647812,Franz Hanfstaengl
Q926814,Hendrik Hondius I
Q19571518,Ilonka Karasz
Q6104584,J. Allen St. John
Q24256439,Jakob Nussbaum
Q233088,Marie Laurencin
Q23000682,Matthias Oesterreich
Q18736527,Nicolas de Larmessin III
Q97104727,Ray Prohaska
Q3136190,Torii Kiyomasu
Q950316,Utagawa Toyokuni I
Q8021437,Willie Cole
Q62059821,Willy Dzubas
Q61030012,Barbara Kwasniewska
Q4765608,Anita Parkhurst Wilcox
Q105086214,Angélique Tilliard
Q105086429,Johannes Beeldemaker
Q105086491,Haverford painter
Q3192796,Kanō Yashunobu
Q3074364,Kitabatake Shigemasa
Q11467416,Soken
Q11534045,Shinsai Ryuryukyo
Q21117631,F.C. Turner
Q7173913,P.F. Rothermil
Q7411095,S. C. Brees
Q3552729,Kunisada
Q5371205,Emil Soren Carsen
Q11619850,Tsunejiro Kikuchi
Q5366175,Young Ellsworth
Q3541630,Kōitsu Tsuchiya
Q11581269,Gyokujo Masuda
Q104439468,Maxime Darnaud
Q2972135,Eisho Chokosai
Q4738749,"Shotz, Allison"
