value,label,count
Q1028181,painter,648
Q11569986,printmaker,182
Q483501,artist,157
Q1281618,sculptor,152
Q644687,illustrator,120
Q15296811,drawer,104
Q33231,photographer,99
Q329439,engraver,89
Q5322166,designer,75
Q36180,writer,45
Q16947657,lithographer,44
Q10862983,etcher,43
Q1622272,university teacher,38
Q1650915,researcher,28
Q3391743,visual artist,27
Q49757,poet,27
Q42973,architect,23
Q1925963,graphic artist,22
Q627325,graphic designer,19
Q33082999,ukiyo-e artist,19
Q2519376,jewelry designer,14
Q2526255,film director,14
Q7541856,ceramicist,11
Q28389,screenwriter,11
Q1792450,art historian,10
Q2707485,scenographer,10
Q3658608,caricaturist,10
Q13365770,copperplate engraver,9
Q18074503,installation artist,9
Q33999,actor,9
Q36834,composer,8
Q639669,musician,7
Q3665646,basketball player,7
Q739437,poster artist,6
Q2000124,postage stamp designer,6
Q10732476,art collector,6
Q18216771,video artist,6
Q24205162,printseller,6
Q81096,engineer,5
Q82955,politician,5
Q715301,comics artist,5
Q1323191,costume designer,5
Q1930187,journalist,5
Q6625963,novelist,5
Q17505902,watercolorist,5
Q214917,playwright,4
Q482980,author,4
Q674426,curator,4
Q998628,illuminator,4
Q1229025,typographer,4
Q1607826,editor,4
Q3148760,botanical illustrator,4
Q3303330,calligrapher,4
Q3621491,archaeologist,4
Q4964182,philosopher,4
Q18814623,autobiographer,4
Q18939491,diarist,4
Q22343478,collagist,4
Q33123562,land artist,4
Q82594,computer scientist,3
Q201788,historian,3
Q205375,inventor,3
Q222344,cinematographer,3
Q1114448,cartoonist,3
Q1708232,medalist,3
Q1734662,cartographer,3
Q2490358,choreographer,3
Q2516866,publisher,3
Q10774753,performance artist,3
Q19507792,scientific illustrator,3
Q37226,teacher,3
Q170790,mathematician,2
Q177220,singer,2
Q211423,goldsmith,2
Q350979,zoologist,2
Q578109,television producer,2
Q854997,bhikkhu,2
Q957729,photojournalist,2
Q998550,bookseller,2
Q1437754,xylographer,2
Q2374149,botanist,2
Q3024627,editorial cartoonist,2
Q3282637,film producer,2
Q3400050,potter,2
Q4164507,art critic,2
Q4610556,model,2
Q8178443,librettist,2
Q10694573,textile artist,2
Q10798782,television actor,2
Q10800557,film actor,2
Q11774202,essayist,2
Q14623005,draftsperson,2
Q21550489,conceptual artist,2
Q22811707,decorator,2
Q901,scientist,2
Q39631,physician,2
Q121594,professor,1
Q151197,military engineer,1
Q164236,war correspondent,1
Q169470,physicist,1
Q175151,printer,1
Q182436,librarian,1
Q189290,military officer,1
Q193391,diplomat,1
Q212071,rector,1
Q282718,mosaicist,1
Q330204,paramedic,1
Q333634,translator,1
Q354034,type designer,1
Q378622,racing driver,1
Q492537,dramaturgy,1
Q512314,socialite,1
Q630349,war artist,1
Q694116,miller,1
Q706835,auto mechanic,1
Q715679,patent inventor,1
Q753110,songwriter,1
Q765778,organist,1
Q774306,surgeon,1
Q855091,guitarist,1
Q873492,Volunteer serving one year,1
Q901402,geographer,1
Q937857,association football player,1
Q947873,television presenter,1
Q1185704,Taikomochi,1
Q1225716,ornithologist,1
Q1234713,theologian,1
Q1350189,egyptologist,1
Q1402561,military leader,1
Q1569495,lecturer,1
Q1630100,art model,1
Q2029179,father,1
Q2114605,pharmacologist,1
Q2145981,restorer,1
Q2205972,stained-glass artist,1
Q2259451,stage actor,1
Q2259532,cleric,1
Q2306091,sociologist,1
Q2405480,voice actor,1
Q2443377,topographer,1
Q2722764,radio personality,1
Q2865819,opera singer,1
Q2961975,business executive,1
Q3014296,motorcycle racer,1
Q3055126,entomologist,1
Q3140857,horticulturist,1
Q3243461,collector,1
Q3374326,muralist,1
Q3400985,academic,1
Q4263842,literary critic,1
Q4853732,children's writer,1
Q5758653,high school teacher,1
Q6138343,wood carver,1
Q7042855,film editor,1
Q9149093,mountaineer,1
Q10871364,baseball player,1
Q11496048,war photographer,1
Q11545923,military commander,1
Q12144794,prosaist,1
Q12166078,photo artist,1
Q12299841,cricketer,1
Q12800682,saxophonist,1
Q13418253,philologist,1
Q13474373,professional wrestler,1
Q14915627,musicologist,1
Q15117302,volleyball player,1
Q15303045,red-figure vase painter,1
Q15839134,ecologist,1
Q15924544,lichenologist,1
Q16031530,music theorist,1
Q16485594,Japanese-style painter,1
Q16831394,mammalogist,1
Q16875701,animal painter,1
Q17391638,art theorist,1
Q18921227,ufologist,1
Q21282419,attic vase-painter,1
Q21477194,contemporary artist,1
Q21764863,algorithm artist,1
Q23833535,French Resistance fighter,1
Q28107590,concept artist,1
Q41546637,Wikimedian,1
Q50791189,abstractionist,1
Q55960555,recording artist,1
Q58443588,Research Scientist,1
Q64335473,tapestry designer,1
Q11063,astronomer,1
Q18805,naturalist,1
Q116,monarch,1
Q43845,businessperson,1
Q47064,military personnel,1
