qid,artistLabel,birthdate,deathdate,sexgender,ulan,birthplace,birthLabel,citizenship,citizenLabel,count,added
Q2605345,Fritz Eichenberg,1901-10-24,1990-11-30,male,500045266,Q365,Cologne,Q183,Germany,291,False
Q5603,Andy Warhol,1928-08-06,1987-02-22,male,500006031,Q1342,Pittsburgh,Q30,United States of America,163,False
Q105090562,Michael Frederick,1966-01-01,,male,,Q2188558,Chebanse,Q30,United States of America,65,True
Q105090602,Bryce McCloud,1975-01-01,,male,,Q23197,Nashville,Q30,United States of America,62,True
Q3776378,Joaquim Gomis,1902-09-19,1991-12-12,male,500107878,Q1492,Barcelona,Q29,Spain,62,False
Q11821277,Donna Ferrato,1949-06-05,,female,500333526,,,Q30,United States of America,61,False
Q15994214,Eugene Biel-Bienne,1902-11-27,1969-01-17,male,,Q1741,Vienna,Q30,United States of America,58,False
Q105090617,Jeremy D. Maynard,1977-01-01,,male,,Q23197,Nashville,Q30,United States of America,53,True
Q187506,Honoré Daumier,1808-02-26,1879-02-10,male,500117998,Q23482,Marseille,Q142,France,50,False
Q16841977,Harmony Korine,,,,,,,,,49,False
Q23071693,Hans Hinterreiter,1902-01-28,1989-09-15,male,500094391,Q9125,Winterthur,Q39,Switzerland,48,False
Q352438,Adriaen van Ostade,1610-12-10,1685-01-01,male,500021654,Q9920,Haarlem,Q29999,Kingdom of the Netherlands,45,False
Q6297639,Joyce Tenneson,1945-05-29,,female,500342274,Q100,Boston,Q30,United States of America,42,False
Q171344,William Hogarth,1697-11-10,1764-10-25,male,500004242,Q84,London,Q145,United Kingdom,38,False
Q1233831,Ralph Gibson,1939-01-16,,male,500094623,Q65,Los Angeles,Q30,United States of America,37,False
Q105090622,Edan M. Bryant,1978-01-01,,male,,Q23197,Nashville,Q30,United States of America,32,True
Q2958342,Edouard de Beaumont,1821-01-01,1888-01-13,male,500011622,,,Q142,France,31,False
Q52157443,Werner Wildner,1925-01-01,2004-01-01,male,,,,Q30,United States of America,31,False
Q5548964,Gerald Brockhurst,1890-10-31,1978-05-04,male,500019583,Q2256,Birmingham,Q174193,United Kingdom of Great Britain and Ireland,30,False
Q482193,Amédée de Noé,1819-01-26,1879-09-06,male,500017700,Q90,Paris,Q142,France,29,False
Q58212905,Daniel Kunkel,,,male,,,,Q183,Germany,29,False
Q105091182,Association of Art Directors and Graphic Designers,,,,,,,,,28,False
Q102160836,Hatch Show Print,,,,,,,,,25,False
Q105090088,Allen Ross Pittman,1883-01-01,1969-01-01,male,,,,Q30,United States of America,24,True
Q105090600,Dan Jimerfield,1974-01-01,,male,,,,Q30,United States of America,24,True
Q105090353,Joseph A. Pecsenke,1942-01-01,1989-01-01,male,,,,Q30,United States of America,24,True
Q28957451,Juan Martinez,1942-12-02,,male,,Q1645560,Navas de San Juan,Q29,Spain,24,False
Q467427,Utagawa Kunisada,1786-01-01,1865-01-12,male,500121373,Q215646,Edo,Q17,Japan,24,False
Q7177423,Peter Turnley,1955-06-22,,male,,Q49268,Fort Wayne,Q142,France,23,False
Q5577,Salvador Dalí,1904-05-11,1989-01-23,male,500009365,Q6839,Figueres,Q29,Spain,23,False
Q170509,Henry James,1843-04-15,1916-02-28,male,500280063,Q60,New York City,Q145,United Kingdom,22,False
Q7175899,Peter Milton,1930-01-01,,male,500040901,,,Q30,United States of America,22,False
Q200798,Utagawa Hiroshige,1797-01-01,1858-10-12,male,500019641,Q215646,Edo,Q17,Japan,22,False
Q467337,Yoshitoshi,1839-04-30,1892-01-01,male,500121372,Q215646,Edo,Q17,Japan,22,False
Q828966,Erwin Bechtold,1925-04-12,,male,500386516,Q365,Cologne,Q183,Germany,21,False
Q991589,Bruce Conner,1933-11-18,2008-07-07,male,500116235,Q2189250,McPherson,Q30,United States of America,20,False
Q1239543,Don Thompson,1963-03-30,,male,,Q1297,Chicago,Q30,United States of America,20,False
Q51754428,Kristin Capp,1964-01-01,,female,,Q6106,Portland,,,20,False
Q152384,Joan Miró,1893-04-20,1983-12-25,male,500014094,Q1492,Barcelona,Q29,Spain,19,False
Q5586,Katsushika Hokusai,1760-10-31,1849-05-10,male,500060426,Q1490,Tokyo,Q17,Japan,19,False
Q105090238,Rafael Tur Costa,1927-01-01,,male,,Q24009589,Santa Eulària des Riu,Q29,Spain,19,True
Q158099,Antoni Tàpies,1923-12-13,2012-02-06,male,500011373,Q1492,Barcelona,Q29,Spain,18,False
Q105090646,Casey D. Gill,1981-01-01,,male,,Q487315,Monterey,Q30,United States of America,18,True
Q105090451,Creighton Michael,1949-01-01,,male,500100489,,,Q30,United States of America,18,True
Q105090286,Willow Legge,1934-01-01,,female,,,,,,18,True
Q55946252,Antoni Marí Ribas,1906-01-01,1974-01-01,male,500039525,,,,,17,False
Q657402,Hans Hartung,1904-09-21,1989-12-07,male,500003694,Q2079,Leipzig,Q183,Germany,17,False
Q100741993,John Fraser,,,male,,,,,,17,False
Q12028116,Karel Appel,,,,,,,,,17,False
Q105090310,Robert Quijada,1937-01-01,1994-01-01,male,500096712,,,Q30,United States of America,17,True
Q2847732,André Evrard,1936-04-01,2021-04-29,male,500137718,Q68124,La Chaux-de-Fonds,Q39,Switzerland,16,False
Q7397563,Sadao Watanabe,1913-01-01,1996-01-08,male,,,,Q17,Japan,16,False
Q3174119,Jean Proal,1904-07-16,1969-02-24,male,,Q842778,Seyne,Q142,France,15,False
Q1395740,Lucien Clergue,1934-08-14,2014-11-15,male,500115463,Q48292,Arles,Q142,France,15,False
Q3046492,Keisai Eisen,1790-01-01,1848-01-01,male,500121366,Q215646,Edo,Q17,Japan,14,False
Q450236,Roberto Matta,1911-11-11,2002-11-23,male,500057123,Q2887,Santiago,Q298,Chile,14,False
Q1866375,Hubert Goltzius,1526-11-09,1583-03-24,male,500009741,Q2999,Würzburg,Q6581823,Southern Netherlands,13,False
Q47509394,John James Audubon,,,,,,,,,12,False
Q22812990,Louise Bourgeois,,,,,,,,,12,False
Q8016676,William Paul Morehouse,1929-01-01,1993-01-01,male,500092269,Q62,San Francisco,Q30,United States of America,12,False
Q18508038,Charles François Gabriel Levachez,1800-01-01,,male,500108160,,,,,11,False
Q1289326,Eduard Micus,1925-07-12,2000-11-16,male,500092619,Q16107,Höxter,Q183,Germany,11,False
Q1580955,Hans Laabs,1915-01-02,2004-01-31,male,500346097,Q106268,Stargard,Q183,Germany,11,False
Q105090179,Marcel Floris,1914-01-01,2007-01-01,male,,,,Q142,France,11,True
Q701592,Mimmo Paladino,1948-12-18,,male,500021173,Q55935,Paduli,Q38,Italy,11,False
Q950316,Utagawa Toyokuni I,1769-01-01,1825-02-24,male,500081100,Q2631862,Shiba,Q17,Japan,11,False
Q61055,Arno Breker,1900-07-19,1991-02-13,male,500096044,Q702259,Elberfeld,Q183,Germany,10,False
Q151165,Charles Dana Gibson,1867-09-14,1944-12-23,male,500012937,Q20138,Roxbury,Q30,United States of America,10,False
Q53544284,Francesc Artigau,1940-01-01,,male,500124323,,,,,10,False
Q316307,Giovanni Battista Piranesi,1720-10-04,1778-11-09,male,500114965,Q641,Venice,Q170174,Papal States,10,False
Q105090636,Jenny Gill,1979-01-01,,female,,Q487315,Monterey,Q30,United States of America,10,True
Q105090517,Jim Sherraden,1957-01-01,,male,,Q1650620,Salina,Q30,United States of America,10,True
Q273696,Mona Hatoum,1952-02-01,,female,500033131,Q3820,Beirut,Q219060,State of Palestine,10,False
Q261846,Tsuguharu Foujita,1886-11-27,1968-01-29,male,500027059,Q7473516,Tokyo,Q142,France,10,False
Q100937563,William Tucker,,,male,,,,,,10,False
Q2114093,Étienne Delaune,1518-01-01,1583-01-01,male,500026480,Q90,Paris,Q142,France,10,False
Q957538,Alphonse Legros,1837-05-08,1911-12-08,male,500013515,Q7003,Dijon,Q174193,United Kingdom of Great Britain and Ireland,9,False
Q472846,Conrad Marca-Relli,1913-06-05,2000-08-29,male,500020522,Q100,Boston,Q30,United States of America,9,False
Q105090422,Dennis Lukas,1947-01-01,2003-01-01,male,,Q133116,Hamilton,Q16,Canada,9,True
Q531234,Jim Dine,1935-06-16,,male,500028463,Q43196,Cincinnati,Q30,United States of America,9,False
Q79988298,Jules Jacquemart,,,,,,,,,9,False
Q921242,Stefano della Bella,1610-05-18,1664-07-12,male,500018966,Q2044,Florence,Q154849,Grand Duchy of Tuscany,9,False
Q317736,Utagawa Kuniyoshi,1797-01-01,1861-04-14,male,500063102,Q1141952,Nihonbashi,Q17,Japan,9,False
Q92800130,William Wylie,,,,,,,,,9,False
Q147144,Zao Wou-Ki,1920-02-01,2013-04-09,male,500029565,Q956,Beijing,Q13426199,Republic of China 1912–1949,9,False
Q451736,Amadeo Gabino,1922-01-01,2004-01-01,male,500025957,Q8818,Valencia,Q29,Spain,8,False
Q105090402,Eduardo Mira,1945-01-01,,male,,,,,,8,True
