qid,artistLabel,count
Q105090562,Michael Frederick,65
Q105090602,Bryce McCloud,62
Q105090617,Jeremy D. Maynard,53
Q105090622,Edan M. Bryant,32
Q105090088,Allen Ross Pittman,24
Q105090600,Dan Jimerfield,24
Q105090353,Joseph A. Pecsenke,24
Q105090238,Rafael Tur Costa,19
Q105090646,Casey D. Gill,18
Q105090451,Creighton Michael,18
Q105090286,Willow Legge,18
Q105090310,Robert Quijada,17
Q105090179,Marcel Floris,11
Q105090636,Jenny Gill,10
Q105090517,Jim Sherraden,10
Q105090422,Dennis Lukas,9
Q105090402,Eduardo Mira,8
Q105090382,Gilbert Herreyns,8
Q105090144,Thomas Puryear Mims,8
Q105090201,Zdenka Zivkovic,8
Q105090619,Toby Sherrard,7
Q105090629,Caleb Cain Marcus,5
Q105090302,Henk van Putten,5
Q105090336,Manzano Acisclo,5
Q105090639,Nick Butcher,5
Q105090366,Pere Puiggros,5
Q105090241,Rolph Blakstad,5
Q105090457,Ann Kalmbach,4
Q105090551,Jeff Matz,4
Q105090632,Mike McIntyre,4
Q105090293,Victor Huggins,4
Q105090676,Anita Gibson,3
Q105090339,Cis Lenerts,3
Q105090305,Don Cameron,3
Q105090086,Earl A. Warner,3
Q105090189,Gerald Holly,3
Q105090277,Giorgio Pagliari,3
Q105090376,James Joseph Juszczk,3
Q105090333,Miquel Vilà,3
Q105090229,Robert W. Loberg,3
Q105090222,Rudolf Mauke,3
Q105090252,William Loy,3
Q105090323,Adolf Schlosser,2
Q105090419,Alvin Garret,2
Q105090076,Arthur Anselm Orr,2
Q105090225,Augustin Ubeda,2
Q105090174,Avery Handly,2
Q105090465,Dimitrije Popovic,2
Q105090283,Eric Rutherford,2
Q105090393,Faik Husein,2
Q105090079,Fred Westphal,2
Q105090067,George Etta Brinkley Cohen,2
Q105090111,Gian Carlo Polidori,2
Q105090668,Giuseppe Raffetto,2
Q105090234,Jean Cohen,2
Q105090244,Joseph Schwarz,2
Q105090488,José Luis Raymond,2
Q105090409,Judith Page,2
Q105090679,Louise De Gignilliet Rogers,2
Q105090220,Louise LeQuire,2
Q105090363,Manuel Boix Alvarez,2
Q105090256,Matthew Carone,2
Q105090150,Phillipe Sanh,2
Q105090132,Rolf Key-Oberg,2
Q105090430,Rosalyn Richards,2
Q105090552,Teo Gonzáles,2
Q105090342,Terry Max Hochstetler,2
Q105090572,Tim Dooley,2
Q105090605,Travis Millard,2
Q105090345,Yukio Katsuda,2
Q105090652,Alexandra Janezic,1
Q105090274,Alfonso Gomez Bonifacio,1
Q105090271,Alfred J. Pounders,1
Q105090096,Alfred Orr,1
Q105090135,Amos Seweil,1
Q105090025,Andrea Andriani,1
Q105090122,Ann Mittelman,1
Q105090649,Annie Herlocker,1
Q105090027,Anton Wierix III,1
Q105090061,August M. Young,1
Q105090044,Baisetsudo,1
Q105090416,Barry Buxkamper,1
Q105090085,Bernice M. Branson,1
Q105090187,Beveridge Moore,1
Q105090475,Bronlyn Jones,1
Q105090440,Cathie Ruggie-Saunders,1
Q105090697,Ch'en Ku,1
Q105090370,Chaim Kanner,1
Q105090053,Charles Clayton,1
Q105090069,Chikuyôdô,1
Q105090099,Childe de Rohan d'Harcourt,1
Q105090280,Claire Bush,1
Q105090326,Clover Vail,1
Q105090577,Dan Grzeca,1
Q105090507,Daniel G. Hill,1
Q105090391,Daniel Gualdoni,1
Q105090388,David Shapiro,1
Q105090385,David Smyth,1
Q105090437,Dawson Nesbitt,1
Q105090207,De La Rue,1
Q105090360,Diana R. Hansen,1
Q105090591,Diana Sudyka,1
Q105090204,Dimitri Perdikitis,1
Q105090130,Dorothy Paris,1
Q105090442,Edward Shalala,1
Q105090158,Elenor Ulman,1
Q105090424,Elliot Ross,1
Q105090626,Erin Salter,1
Q105090308,Ferran Teixidor,1
Q105090124,Frances Marian Hebert,1
Q105090176,"Francis Joseph Gyra, Jr.",1
Q105090184,Francisco Gutiérrez,1
Q105090114,Franz Würbel,1
Q105090055,Friedrich August Schlegel,1
Q105090494,Gabriel Warren,1
Q105090688,Genzaburo Hayashi,1
Q105090210,George King Stark,1
Q105090165,George Stang,1
Q105090162,Georges Sanh,1
Q105090674,Gigi Aramescu,1
Q105090504,Gilbert Hsiao,1
Q105090520,Gloria DeArcangelis,1
Q105090215,Gray Phillips,1
Q105090460,Hans Waanders,1
Q105090105,Harold Speakman,1
Q105090247,Heiner Stackelhaus,1
Q105089946,Helen Soreff,1
Q105090704,Herman Weyen,1
Q105090432,Hernan Zúñiga Albán,1
Q105090031,Hinaya Ryuho,1
Q105090227,Iwami Reika,1
Q105090580,J. Suzanne Powney,1
Q105090701,Jacob Vanderbilt,1
Q105090047,Jacques Couche,1
Q105090038,Jacques Prou,1
Q105090138,James Kirk Merrick,1
Q105090448,Jay Bolotin,1
Q105090317,Jean Wall Penland,1
Q105090064,Jean-Baptiste-Clement Bourne,1
Q105090171,Jeanette Alexander Judson,1
Q105090445,Jeanne Wilkinson,1
Q105090569,Joel Elrod,1
Q105090607,Joel Shane,1
Q105090297,John Gwinn,1
Q105090405,John P. Stewart,1
Q105090467,John Phillips,1
Q105090471,Julian Jackson,1
Q105090499,Karen Leonard Lyles,1
Q105090611,Karsten Creightney,1
Q105090685,Katherine J. Fries,1
Q105090588,Katherine McCanless Ruffin,1
Q105090643,Kathleen O'Connell,1
Q105090413,Kathleen Walkup,1
Q105090545,Kees Verbeek,1
Q105090585,Kerry McAleer-Keeler,1
Q105090524,Kit Reuther,1
Q105090539,Koo Kyung Sook,1
Q105090146,La Rue Storm,1
Q105090291,Lawrence Anthony,1
Q105090090,Lawrence Harris,1
Q105090155,Lei Pei-Zhi,1
Q105090050,Lemercier,1
Q105090373,Lenore Vanderkooi,1
Q105090658,Levi Sherman,1
Q105090398,Lisa Collado,1
Q105090481,Mara Held,1
Q105090484,Mark Gibian,1
Q105090454,Mark Williams,1
Q105090559,Martha Chiplis,1
Q105090597,Mat Daly,1
Q105090594,Matt Egan,1
Q105090102,Melville Thomas Wire,1
Q105090320,Michael Garman,1
Q105090463,Michael Peel,1
Q105090109,Montgomery Melbourne,1
