last_first,description,name,creator_string
A.E.,,A.E.,"[""A.E.""]"
Attributed to Giuseppe Maria Mazza,,Attributed to Giuseppe Maria Mazza,"[""Attributed to Giuseppe Maria Mazza ""]"
"Champaigne, Philippe de; School of",1602-1674,Philippe de; School of Champaigne,"[""Champaigne, Philippe de; School of (1602-1674)""]"
Departament de Cultura de la Generalitat de Catalunya,,Departament de Cultura de la Generalitat de Catalunya,"[""Departament de Cultura de la Generalitat de Catalunya""]"
Fantarini?,1612-1648,Fantarini?,"[""Fantarini? (1612-1648)""]"
"Guardi, Francesco, School of",1712-1793,Francesco Guardi,"[""Guardi, Francesco, School of (1712-1793)""]"
"Jan Wijga, Kunstdr. Luii & Co.",,Kunstdr. Luii & Co. Jan Wijga,"[""Jan Wijga, Kunstdr. Luii & Co.""]"
October Foundation,35 artists,October Foundation,"[""October Foundation (35 artists)""]"
October Foundation,,October Foundation,"[""October Foundation""]"
Rembrandt Binet?,,Rembrandt Binet?,"[""Rembrandt Binet?""]"
S.D.,,S.D.,"[""S.D.""]"
SITE,,SITE,"[""SITE""]"
School of Carle van Loo,,School of Carle van Loo,"[""School of Carle van Loo""]"
School of Houdon,,School of Houdon,"[""School of Houdon""]"
School of Jacob Jordaens,1593-1678,School of Jacob Jordaens,"[""School of Jacob Jordaens (1593-1678)""]"
Unknown Peabody Student,,Unknown Peabody Student,"[""Unknown Peabody Student""]"
Various Artists,,Various Artists,"[""Various Artists""]"
"Wise, W., after J. Ward, R. A.",,W. Wise,"[""Wise, W., after J. Ward, R. A.""]"
"Wise, W., after W. B. Richmond",,W. Wise,"[""Wise, W., after W. B. Richmond""]"
"Xie, Zheng",after,Zheng Xie,"[""Xie, Zheng (after) ""]"
"Xinyu, Pu",after,Pu Xinyu,"[""Xinyu, Pu (after) (1896-1963, born China, Beijing)""]"
"von Ottobüren, Meister, workshop of",,Meister von Ottobüren,"[""von Ottobüren, Meister, workshop of""]"
"Kubo, Shunman",after,Shunman Kubo,"[""Kubo, Shunman (after)""]"
"Matisse, Henri",after,Henri Matisse,"[""Matisse, Henri (after) (1869-1954)""]"
Multiple Artists,,Multiple Artists,"[""Multiple Artists""]"
Musée de Poche,,Musée de Poche,"[""Musée de Poche""]"
"Nobukazu, Watanabe",Attributed to,Watanabe Nobukazu,"[""Nobukazu, Watanabe (Attributed to)""]"
O.S.,,O.S.,"[""O.S.""]"
