qid,last_first,description,name,creator_string
,"Abad, Antoni","1956-, born Barcelona, Spain",Antoni Abad,"[""Abad, Antonio (1956-, born Barcelona, Spain)""]"
,"Acisclo, Manzano",1940-,Manzano Acisclo,"[""Acisclo, Manzano (1940-)""]"
,"Adam, G.",,G. Adam,"[""Adam, G.""]"
,Adary,,Adary,"[""Adary""]"
,Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi,al-Husayni,Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi,"[""Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi (al-Husayni)""]"
,"Albán, Hernan Zúñiga","1948-, born Ambato, Ecuador",Hernan Zúñiga Albán,"[""Albán, Hernan Zúñiga (1948-, born Ambato, Ecuador)""]"
,Alfred Orr,"American painter, graphic designer, and illustrator, born 1886",Alfred Orr,"[""Alfred Orr (American painter, graphic designer, and illustrator, born 1886)""]"
,"Alvarez, Manuel Boix",1942-,Manuel Boix Alvarez,"[""Alvarez, Manuel Boix (1942-)""]"
,"Andriani, Andrea","Italian, 1584-1610",Andrea Andriani,"[""Andriani, Andrea (Italian, 1584-1610)""]"
,"Andrus, F.",,F. Andrus,"[""Andrus, F.""]"
,"Anthony, Lawrence",1934-,Lawrence Anthony,"[""Anthony, Lawrence (1934-)""]"
,"Aramesco, Gigi","born Galatz, Romania",Gigi Aramesco,"[""Aramesco, Gigi (born Galatz, Romania)""]"
,"Axelrod, H.",,H. Axelrod,"[""Axelrod, H.""]"
,"Bach, R.",,R. Bach,"[""Bach, R.""]"
,Baisetsudo,1751-1764,Baisetsudo,"[""Baisetsudo (1751-1764)""]"
,"Barrós, Alfred",,Alfred Barrós,"[""Barrós, Alfred""]"
,"Bauer, Ann",,Ann Bauer,"[""Bauer, Ann""]"
,Baviera,,Baviera,"[""Baviera ""]"
,"Beeldemaker, Johannes","Dutch painter, born 1630 or 1636, died after 1710",Johannes Beeldemaker,"[""Beeldemaker, Johannes (Dutch painter, born 1630 or 1636, died after 1710)""]"
,"Berger, Emily",,Emily Berger,"[""Berger, Emily""]"
,"Berger, Paul Eric","American photographer and printmaker, born 1948",Paul Eric Berger,"[""Berger, Paul Eric (American photographer and printmaker, born 1948)""]"
,"Bernards, B.",,B. Bernards,"[""Bernards, B.""]"
,"Bill, Virginia F.",,Virginia F. Bill,"[""Bill, Virginia F.""]"
,"Birchall, L. M.",,L. M. Birchall,"[""Birchall, L. M.""]"
,"Blakeley, Fannie B.",,Fannie B. Blakeley,"[""Blakeley, Fannie B.""]"
,"Blakstad, Rolph","1929-, born Vancouver, Canada",Rolph Blakstad,"[""Blakstad, Rolph (1929-, born Vancouver, Canada)""]"
,"Blocker, Mare",,Mare Blocker,"[""Blocker, Mare""]"
,"Blum, Dorothea",,Dorothea Blum,"[""Blum, Dorothea""]"
,"Boichard, S.",,S. Boichard,"[""Boichard, S.""]"
,"Bolotin, Jay","1949-, born Fayette County, KY",Jay Bolotin,"[""Bolotin, Jay (1949-, born Fayette County, KY)""]"
,"Bonfils, Susan",,Susan Bonfils,"[""Bonfils, Susan""]"
,"Bong, Woo",ca. 1948,Woo Bong,"[""Bong, Woo (ca. 1948)""]"
,"Bonifacio, Alfonso Gomez",1933-2011,Alfonso Gomez Bonifacio,"[""Bonifacio, Alfonso Gomez (1933-2011)""]"
,"Bossi, Benignio",,Benignio Bossi,"[""Bossi, Benignio and Mazzuoli, Francesco""]"
,"Bourne, Jean-Baptiste-Clement",1844-1866,Jean-Baptiste-Clement Bourne,"[""Bourne, Jean-Baptiste-Clement (1844-1866)""]"
,Bouslough,,Bouslough,"[""Bouslough""]"
,"Boyse, William H.",,William H. Boyse,"[""Boyse, William H.""]"
,"Boysen, William H.",,William H. Boysen,"[""Boysen, William H.""]"
,"Branolt, Gernot",,Gernot Branolt,"[""Branolt, Gernot""]"
,"Branson, Bernice M.",1882-1936,Bernice M. Branson,"[""Branson, Bernice M. (1882-1936)""]"
,"Brees, S. C.",1832-1837,S. C. Brees,"[""Brees, S. C. and Harden, S. Melville (1832-1837, 1837-1879 )""]"
,"Bregeon, Angélique",1743-1782,Angélique Bregeon,"[""Bregeon, Angélique (1743-1782)""]"
,"Brown, Clinton",,Clinton Brown,"[""Brown, Clinton ""]"
,"Bryant, Edan M.","1978-, born Nashville, TN",Edan M. Bryant,"[""Bryant, Edan M. (1978-, born Nashville, TN)"", ""Bryant, Edan M. 1978, born Nashville, TN)"",""Bryant, Edan M., (1978-, born Nashville, TN)"",""Bryant, Edan M., for Hatch Show Print (1978-, born Nashville, TN)""]"
,"Bryant, Olen","1927-2017, born Cookeville, TN",Olen Bryant,"[""Bryant, Olen (1927-2017, born Cookeville, TN)""]"
,Bryce McCloud,"1975, born Nashville, TN",Bryce McCloud,"[""Bryce McCloud (1975, born Nashville, TN)""]"
,"Burg, Patricia Jean","Canadian artist, born 1934",Patricia Jean Burg,"[""Burg, Patricia Jean (Canadian artist, born 1934)""]"
,"Burke, G.",,G. Burke,"[""Burke, G.""]"
