qid,label_en,description_en,instance_of_uuid,instance_of,sex_uuid,sex,occupation_uuid,occupation,occupation_ref1_hash,occupation_ref1_referenceUrl,occupation_ref1_retrieved_nodeId,occupation_ref1_retrieved_val,occupation_ref1_retrieved_prec,birthdate_uuid,birthdate_nodeId,birthdate_val,birthdate_prec,birthdate_ref1_hash,birthdate_ref1_referenceUrl,birthdate_ref1_retrieved_nodeId,birthdate_ref1_retrieved_val,birthdate_ref1_retrieved_prec,birthplace_uuid,birthplace,birthplace_ref1_hash,birthplace_ref1_referenceUrl,birthplace_ref1_retrieved_nodeId,birthplace_ref1_retrieved_val,birthplace_ref1_retrieved_prec,deathdate_uuid,deathdate_nodeId,deathdate_val,deathdate_prec,deathdate_ref1_hash,deathdate_ref1_referenceUrl,deathdate_ref1_retrieved_nodeId,deathdate_ref1_retrieved_val,deathdate_ref1_retrieved_prec,deathplace_uuid,deathplace,deathplace_ref1_hash,deathplace_ref1_referenceUrl,deathplace_ref1_retrieved_nodeId,deathplace_ref1_retrieved_val,deathplace_ref1_retrieved_prec,works_in_collection_uuid,works_in_collection,works_in_collection_ref1_hash,works_in_collection_ref1_referenceUrl,works_in_collection_ref1_retrieved_nodeId,works_in_collection_ref1_retrieved_val,works_in_collection_ref1_retrieved_prec,citizenship_country_uuid,citizenship_country,citizenship_country_ref1_hash,citizenship_country_ref1_referenceUrl,citizenship_country_ref1_retrieved_nodeId,citizenship_country_ref1_retrieved_val,citizenship_country_ref1_retrieved_prec,ulan_uuid,ulan,ulan_ref1_hash,ulan_ref1_retrieved_nodeId,ulan_ref1_retrieved_val,ulan_ref1_retrieved_prec
,Andrea Andriani,Italian printmaker,,Q5,,,,Q11569986,,,,,,,,1584,,,,,,,,,,,,,,,,1610,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q38,,,,,,,,,,,
,Anton Wierix III,Flemish printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1596,,,,,,,,,,,,,,,,1624,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Hinaya Ryuho,book artist,,Q5,,Q6581097,,Q56884373,,,,,,,,1599,,,,,,,,Q17,,,,,,,,1669,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Tōteki Unkoku,painter,,Q5,,,,Q1028181,,,,,,,,1606,,,,,,,,,,,,,,,,1664,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Jacques Prou,French printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1620,,,,,,,,,,,,,,,,1683,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q142,,,,,,,500124831,,,2021-01-27,
,Shugaku Watanabe,painter,,Q5,,,,Q1028181,,,,,,,,1644,,,,,,,,,,,,,,,,1734,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Baisetsudo,book artist,,Q5,,,,Q56884373,,,,,,,,1751,,,,,,,,,,,,,,,,1764,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Jacques Couche,printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1759,,,,,,,,Q28520,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Lemercier,French printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1770,,,,,,,,,,,,,,,,1930,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q142,,,,,,,500050139,,,2021-01-27,
,Charles Clayton,British printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1771,,,,,,,,,,,,,,,,1930,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q145,,,,,,,500080867,,,2021-01-27,
,Friedrich August Schlegel,German artist,,Q5,,Q6581097,,Q1028181,,,,,,,,1828,,,,,,,,,,,,,,,,1928,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q183,,,,,,,500091512,,,2021-01-27,
,Sugawara Hakuryu,painter,,Q5,,Q6581097,,Q1028181,,,,,,,,1833,,,,,,,,Q1192050,,,,,,,,1898,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q17,,,,,,,,,,,
,August M. Young,painter,,Q5,,Q6581097,,Q1028181,,,,,,,,1837,,,,,,,,,,,,,,,,1913,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Jean-Baptiste-Clement Bourne,printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1844,,,,,,,,,,,,,,,,1866,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,George Etta Brinkley Cohen,American artist and philanthropist,,Q5,,Q6581072,,Q7541856,,,,,,,,1854,,,,,,,,Q23197,,,,,,,,1930,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Chikuyôdô,printmaker,,Q5,,,,Q11569986,,,,,,,,1860,,,,,,,,,,,,,,,,1890,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Peggy Smith,"American painter, active 20th century",,Q5,,Q6581072,,Q1028181,,,,,,,,1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,500055676,,,2021-01-27,
,Arthur Anselm Orr,English glass painter and draftsman,,Q5,,Q6581097,,Q1028181,,,,,,,,1868,,,,,,,,,,,,,,,,1949,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q145,,,,,,,500108104,,,2021-01-27,
,Fred Westphal,"German artist, active 20th century",,Q5,,Q6581097,,Q11569986,,,,,,,,1871,,,,,,,,Q183,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q183,,,,,,,500082407,,,2021-01-27,
,Richard Mueller,printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1874,,,,,,,,,,,,,,,,1954,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Bernice M. Branson,American printmaker,,Q5,,Q6581072,,Q11569986,,,,,,,,1882,,,,,,,,,,,,,,,,1936,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Earl A. Warner,American drawer,,Q5,,Q6581097,,Q15296811,,,,,,,,1883,,,,,,,,,,,,,,,,1918,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Allen Ross Pittman,American printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1883,,,,,,,,,,,,,,,,1969,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Lawrence Harris,printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1885,,,,,,,,,,,,,,,,1970,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,William Crawford Young,"American illustrator, active 1940",,Q5,,Q6581097,,Q11569986,,,,,,,,1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Alfred Orr,"American painter, graphic designer, and illustrator",,Q5,,Q6581097,,Q11569986,,,,,,,,1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Childe de Rohan d'Harcourt,drawer,,Q5,,Q6581097,,Q15296811,,,,,,,,1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Melville Thomas Wire,American painter and printmaker,,Q5,,Q6581097,,Q1028181,,,,,,,,1887,,,,,,,,,,,,,,,,1966,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,500335773,,,2021-01-27,
